评论,时间,点赞数,标签
看了up以往的视频数据 后面几条视频的数据并不是很高 但感觉up的视频质量挺好的 智齿智齿[打call],2023-01-17 01:39:59,35,0
实际上今天我们的身体就是长期一步步被大自然所改造这样的。原始人的嗅觉听觉远比现代人类好的多,2023-02-04 13:55:07,8,0
感染了以后没力气了[保卫萝卜_哭哭],2023-01-17 01:24:26,20,0
后面一大段都是瞎哔哔,2023-01-17 11:55:11,12,0
羊后一个月还在咳，昨天去医院检查，ct发现阴影了，肺炎[无语],2023-01-17 01:22:53,20,0
你好回啊,2023-01-17 00:04:00,25,0
[打call]数据很有感染力。就喜欢看这种摆数据说事实的好科普,2023-01-17 02:22:57,26,0
疫情啥时候能结束啊[大哭][大哭],2023-01-17 01:24:47,10,0
哦,2023-01-17 01:30:42,22,0
影响我吃肉蛋奶吗,2023-01-17 16:31:54,13,0
2:02 奥密克戎Omicron的字幕是拼写对的，之后视频中的拼写为Omicorn。善意的提醒纠错。[脱单doge],2023-01-17 05:41:19,16,0
up关于ICU病床的数据用的是2021年的，2022的数据是不是还没有出来。我在人民日报的报道中截到了一个数据，但这个数据是不是包含了可转换ICU病床呢？麻烦up主核实一下,2023-01-18 00:39:31,4,0
凌晨发可还行,2023-01-16 19:32:36,8,0
你还知道更新啊！,2023-01-17 03:46:29,9,0
感觉做的数据展示之类的没问题，就是聚焦点可能没有太出彩，对疫情传染泛泛而谈，很多内容是其他媒介反复宣传或提及的。可以深入讨论疫情高峰时间等等数据，做个对比之类的也不错。我猜这个视频可能很早就打算做了，然后现在才发出来，没有赶上时候,2023-01-17 18:15:26,10,0
根本不用担心，没啥影响,2023-01-29 04:45:50,6,0
你们有没有心脏刺痛的[大哭]我只要半躺着或者一口气爬五楼（我家在五楼）心脏就会好痛，像被好几根针扎了似的。,2023-01-25 02:07:12,6,0
我超！回？,2023-01-18 14:21:10,6,0
我的嗅觉啥时候能恢复，生洋葱都吃不出味儿[生气],2023-01-18 06:17:17,6,0
12月9日阳了，感觉阳了一个月，胸闷气短的后遗症才慢慢消失[藏狐],2023-01-17 00:19:00,18,0
气虚了，找个中医调理下，不难,2023-01-17 04:51:04,1,0
一个月也可能是在吸收中吧，听大夫怎么说怎么办，会好的,2023-01-17 03:56:23,0,0
只要没有细菌感染，会慢慢好吧,2023-01-17 04:13:40,0,0
回复 @sunzn2001 : 中粒淋巴双高，是细菌感染没错。,2023-01-17 04:18:53,0,0
哈哈哈哈哈哈,2023-01-17 02:20:24,0,0
爱吃吃，与我无关,2023-01-18 03:35:07,18,0
奥米花[脱单doge],2023-02-04 11:07:30,0,0
有很多临时搭建的，只能勉强用于抢救的呼吸机床位。实际上因为是临时搭建，用的原来的普通病房，氧气管路压力是超负荷的，不是长久之计。,2023-01-18 01:48:40,5,0
我们的数据来源应该是国民医疗总支,2023-01-18 03:36:12,5,0
回复 @蓝图BluePrint :[OK],2023-01-18 05:12:21,0,0
我自己的想法，听听就好,2023-01-17 18:17:09,0,0
文案在放开前写完,2023-01-18 01:51:42,1,0
自从阳了我就没跑过步了，每天只能散散步。稍微剧烈的运动心脏就会刺痛[大哭],2023-01-25 02:08:14,1,0
去查下心肌酶吧,2023-01-25 11:32:41,1,0
我,2023-02-01 17:36:40,0,0
我大概恢复了一个月才正常,2023-01-18 10:55:02,0,0
喝点老白京豆汁儿吧,2023-02-04 13:12:04,0,0
是需要这么个过程,2023-01-17 00:36:28,0,0
我还阴着。我身边可能就我一个阴到现在的。也没啥别的，就是疯狂洗手，狂戴口罩。去年10分来我们单位的小屁孩，相当一部分现在都不知道我长啥样。N95就没摘过。,2023-01-17 00:44:01,2,0
回复 @槑的肥喵 :鹰派路过。同事们都杨康了劝我取下n95，没搭理他们，现在变成了孤家寡人，因为我上班不喝水不抽烟，基本上不上厕所，好像这样也挺好的，反正大部分都是无效社交,2023-01-17 01:50:31,0,0
兄弟真挖吗兄弟[吃瓜],2023-01-27 19:28:16,85,0
xdm别急，挖挖楼主的背后公司和融资方,2023-02-02 03:38:40,113,0
感谢置顶，回 味无穷。,2023-02-02 12:05:19,51,0
兄弟真挖吗兄弟[吃瓜],2023-01-27 19:28:16,85,0
xdm别急，挖挖楼主的背后公司和融资方,2023-02-02 03:38:40,113,0
感谢置顶，回 味无穷。,2023-02-02 12:05:19,51,0
