评论,时间,点赞数,标签
很对对，很明显中国人比俄罗斯人更爱俄罗斯🇨🇳❤️🇷🇺,2022-07-07 10:01:56,395,0
作为黑龙江人我只能说难绷,2022-09-27 23:45:21,131,0
哈哈吃瓜吃到自己头上了，兄弟们[歪嘴],2022-12-03 06:39:06,290,0
疫苗不是都打过了吗还在防控是不信任祖国的疫苗吗,2022-09-03 06:20:14,163,0
不愧是环球网，热评控的真好,2022-07-04 17:17:10,383,0
一生要强的爸爸，我能为你做些什么？😭😭,2022-09-02 04:54:09,136,0
莫斯科人口密度是北京三倍,2022-09-16 15:24:30,220,0
俄罗斯的老人和小孩子咋办啊[大哭][大哭][大哭],2022-07-04 08:26:36,207,0
我也不想辩论了，看乌克兰大捷和俄罗斯大捷了4个月，看两边负面新闻也看了4个月，两边都不行[无语],2022-07-02 01:48:30,307,0
奉劝俄方回归到正确的道路上！,2022-09-01 20:14:03,117,0
全世界只有一个了,2022-07-08 12:52:08,344,0
反转了，其实照片里面都是美国[doge],2022-07-04 00:20:13,166,0
事实上在这之前俄毛感染就是世界第二了，但是嘛 咱总是聚焦在应该聚焦的地方了了,2022-07-03 05:35:08,214,0
都是美国的错，如果美国不封锁他们经济大帝哥哥也不会不得不这样做，以后俄传染给我们的人都要算在美国的头上清算[微笑],2022-07-02 04:51:06,238,0
怎么都沒人陪我闹了,2022-08-28 19:11:19,181,0
谁还记得非洲猪瘟是从俄罗斯传过来的[热],2022-09-05 03:20:24,124,0
是不是不符合小朋友们对普京大帝的印象了 这就删除视频[傲娇],2022-07-06 07:59:29,301,0
WTF？怎么连你也弃疗了？,2022-07-01 13:09:17,224,0
感谢还在嘴硬送上的飞机,2022-07-03 08:15:54,213,0
耗材！俄罗斯这么做自有它的道理，美国都摆烂多久了，俄罗斯现在才放开，俄罗斯赢！,2022-07-09 15:02:51,185,0
两极分化,2022-07-07 14:10:24,1,0
黑龙江旁边原来全是我们的领土啊。。。。,2022-09-28 13:42:49,21,0
回复 @南辞丶时光 :别说黑龙江了，说说45年红海军企图驻军旅顺港,2022-11-14 11:03:08,22,0
有的没打过的,2022-09-03 14:42:26,1,0
回复 @宇智波暮云 :没打过的只是极少数,2022-09-05 03:19:22,16,0
当时记得打疫苗就是为了群体免疫吧,2022-09-07 16:23:48,5,0
现在评论区已经翻车了[doge],2022-07-05 16:57:20,35,0
马上要实名了[doge],2022-07-10 05:06:23,1,0
回复 @SR-supersolo :马上要实名了[doge],2022-07-13 16:01:35,1,0
[doge]看时间顺序[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][初音未来_大笑][初音未来_大笑][初音未来_大笑][初音未来_大笑],2022-12-09 03:42:11,0,0
那些都是普京的耗材[奸笑][奸笑],2022-07-05 10:45:22,111,0
你不会真觉得得上就四八[给心心],2022-07-15 02:17:26,0,0
已经准备给乌克兰人国籍了,2022-07-16 01:08:22,3,0
没意思了,2022-07-02 02:03:53,17,0
赞同,2022-07-02 08:56:53,1,0
赞同,2022-08-30 16:04:45,1,0
你是懂发言的,2022-09-02 08:19:31,7,0
[doge]看时间顺序[奥比岛_击爪][初音未来_大笑][初音未来_大笑][吃瓜][吃瓜][调皮],2022-12-09 03:42:24,0,0
你号要没了[doge],2022-07-09 09:54:38,53,0
早说嘛，不然我怎么开口骂[doge],2022-07-08 05:10:19,9,0
早说啊，我直接开启（）模式,2022-09-02 06:33:07,0,0
经典嗓门小的被无视,2022-07-10 07:00:47,3,0
[doge]看时间顺序[初音未来_大笑][初音未来_大笑][初音未来_大笑][初音未来_大笑],2022-12-09 03:38:18,0,0
你怎么不去当俄罗斯雇佣军啊🤣🤣🤣,2022-07-02 05:26:38,71,0
不谈美国不会说话了🤣,2022-07-02 06:29:10,68,0
[doge]看时间顺序[吃瓜][吃瓜][奥比岛_击爪][奥比岛_击爪][吃瓜][吃瓜],2022-12-09 03:41:55,0,0
你还有钱发，大伙一分都没有诶。,2022-08-31 01:10:10,30,0
没钱誰闲的蛋疼找事啊,2022-08-31 02:19:51,7,0
回复 @独特的毒 :这么好的生意怎么没钱赚[傲娇],2022-09-01 10:55:02,4,0
我以为俄罗斯从来就没有过防疫,2022-07-07 01:13:04,1,0
俄罗斯防和不防似乎没啥区别…,2022-07-07 02:42:07,3,0
符合啊，本来就应该这样,2022-09-02 12:40:42,0,0
经济顶不住啦，不是每个国家都是中国,2022-07-01 13:11:08,78,0
回复 @幻言丶 :第九版防疫指南出台，十四天变七天，接着国家卫健委发布立刻纠正疫情地区人员随意隔离，再到这个工信部要求「通信行程卡」取消星号标记。,2022-07-01 13:14:47,46,0
俄罗斯防疫一直很拉跨其实,2022-07-01 13:24:45,14,0
[doge]看时间顺序[吃瓜][初音未来_大笑][初音未来_大笑][吃瓜][吃瓜],2022-12-09 03:42:18,0,0
晚输也是赢[星星眼],2022-07-09 15:30:35,29,0
赢,2022-07-10 01:46:43,1,0
特大贏[星星眼],2022-07-16 06:16:21,2,0
