评论,时间,点赞数,标签
二刷,2023-01-23 07:09:03,2,0
今年回家，高速公路旁的坟包多了不少。,2023-01-23 10:59:47,12,0
阳过，一个月了，现在时不时鼻子有点麻，嗅觉灵敏度下降对我来说有好也有坏，起码帮舍友家猫铲屎的时候我连口罩都不用戴了[笑哭]覆水难收，希望这道坎这次算是迈过去了，无论怎样，人生有多少个三年耗得起啊,2023-01-23 08:04:55,4,0
电影票房一路高歌猛进[无语][无语],2023-01-23 08:08:57,14,0
最可怕的就是人心。当阴的人是少数的时候 阴的就是有病的,2023-01-24 14:29:14,14,0
我就当搞笑了，我就问大学怎么防的住？需要营业的商家和店员怎么防，好像带个口罩就无敌了，但我现在也就只能带个口罩。,2023-01-23 08:17:16,18,0
我24小时下班，你还让我花半小时给手消毒[捂脸]我只想嗦完这碗粉去睡觉[辣眼睛],2023-01-23 14:33:20,4,0
本人普通防疫吧！就是尽量宅家，但出去买菜还是要的。有时也坐公交车。戴口罩，回家就马上洗手。就这些措施。周围基本阳了，我还是阴的。可能跟我有原发性慢性荨麻疹有关?,2023-01-23 14:13:06,10,0
春节以后没有人评论？,2023-02-08 00:19:11,1,0
up，我是在刚放开时候关注你的，那时候很认同你的观点，当然现在也认同你的主要观点，但是你视频最后那句，“放下争端，重新达成共识，并且不想再参与这些无聊的争论”，这就有点又当又立了，当初谁在视频里呼吁斗争的，当然我不想说你是拱火，但面对你如今的话我只能良好的认为你是人格分裂，最后祝好,2023-01-29 02:45:32,7,0
过敏性鼻炎太难了，因为就算戴口罩也需要时不时摘下来处理鼻涕[tv_大哭],2023-01-25 01:53:28,1,0
有些人要一整天都跟人接触，不是所有人都能只在必要的时候出门，防护很重要，但有些群体是防不住。,2023-01-25 01:24:14,1,0
不是喜欢不喜欢防疫，而是家里有老人和孩子啊,2023-01-25 00:14:11,1,0
上班后。学生上学后。基本上就gg了。除了基因不阳的。躲得了初一躲不过十五。不过戴口罩还是要继续的。,2023-01-24 16:19:23,9,0
"咨询一下,1个月大概会消耗多少升酒精?[tv_惊吓]",2023-01-24 11:03:12,1,0
很多人得了以后更觉得是小感冒[笑哭],2023-01-24 01:50:15,7,0
https://b23.tv/BV16Y4y1o7mE 无技巧，纯感情,2023-01-24 01:37:25,1,0
家里有两个老人真是差一点啊 奶奶血氧掉到了70多啊不发烧不咳嗽家里人都没注意，差一点啊……,2023-01-23 13:33:20,8,0
我只能接受,2023-01-23 10:37:56,1,0
我无法阻挡楼体内的感染,2023-01-23 09:33:43,8,0
对啊，我刚才就去看电影了[吃瓜],2023-01-23 08:15:14,1,0
毕竟有带节奏的嘛,2023-01-25 11:16:16,0,0
搜一下桌面空气净化器和车载空气净化器。如果能发动全班或者全宿舍或者店主，那就更好，如若不然，管好自己就行，只是效果会差，少吸一点是一点吧——相关文献请移步拍帮主和三个老爸的公众号查阅，有效。,2023-01-23 11:50:49,4,0
