评论,时间,点赞数,标签
有些人什么时候能明白叶舒华努力三观又正，承认别人的优点这么费劲吗？,2022-01-31 14:30:31,15,0
刷出息了[OK],2022-01-31 02:22:12,14,0
才发现是新闻号发的视频呢[笑哭]这是我们女娃家的忙内叶舒华，来自台湾省的臭屁小孩儿[抠鼻]目前在韩务工,2022-02-04 16:22:25,13,0
我还以为是粉丝搬了视频，定睛一看，新闻？？！！,2022-01-30 17:14:32,13,0
韩国防疫部长叶舒华！,2022-01-30 15:25:12,11,0
戴口罩不会死，不戴口罩是真的有可能死，想死的人咱也是没办法,2022-01-30 15:21:23,11,0
好家伙，竟然在这里看到了刷,2022-01-30 15:12:50,11,0
我整个傻眼诶!嘿嘿，好好监督你五个姐姐戴口罩!,2022-01-30 15:07:22,10,0
"嘿，很抱歉打断你🤚
耽误您20秒时间
如果可以的话
请你点进去看看这位父亲
@15花开    
关注一下河南南阳二中的校园恶劣事件
也许你的这一眼
就会让真相大白
拜托了（转）

注：朋友，我的本心只是想去让更多人知道，请各位不要误会这是道德绑架啊！ ",2022-01-30 17:46:54,9,0
所以说这姐们到底d不d啊🤔,2022-01-30 05:57:35,9,0
哈哈哈刷好可爱,2022-01-30 14:28:36,8,0
你们这些人真的很机车诶 一万六的确诊,2022-01-30 14:18:08,8,0
你们真的以为痊愈了就好了吗？非典时期那些痊愈的人留下了各种后遗症，老了轻轻磕到骨头就碎了，很多人痊愈都有各种各样问题，她们是女idol，要唱要跳，一旦感染新冠就很麻烦了，搞不好舞台上表演一下腰都痛的不行，早早退圈,2022-02-01 07:21:50,7,0
进来前真以为是防疫部长的…原来是艺人啊[鼓掌],2022-02-01 07:41:01,6,0
太好了！什么时候两千万！,2022-01-31 07:44:04,6,0
"中国国家防疫部驻韩国分部负责人
椰树花女士

“当年老子教你们怎么打仗，今天就教你们怎么防疫！站在山坡底下学着点儿啊！”",2022-01-31 05:10:03,6,0
刷还细心教学了怎么戴口罩 口罩大了怎么戴口罩哈哈哈哈哈哈,2022-01-31 01:53:44,6,0
一直好喜欢舒华,2022-01-30 15:56:44,6,0
哈哈哈哈舒华[打call][打call][打call][笑哭],2022-01-30 14:40:32,6,0
有粉丝去签售会见舒华 说自己是北京来的，舒华称那个粉丝为老乡,2022-01-30 11:36:49,57,0
"以及 有时候在直播和综艺中，主持人会说雨琦和舒华是""两位中国人""，舒华没有什么异常反应",2022-01-30 11:38:37,51,0
她微博认证中国艺人，可以自己去看看！没什么好说的啊。,2022-01-31 10:54:35,13,0
