评论,时间,点赞数,标签
🇨🇳威武！,2020-03-18 09:43:36,3,0
中国🇨🇳[支持][支持],2020-03-18 09:43:26,3,0
无悔入华夏[呲牙],2020-03-18 09:42:11,3,0
粪坑找金？,2020-04-02 22:49:22,2,0
只有共产党才能拯救旧中国！！！只有新中国才能拯救全世界！！！[响指][热词系列_奥力给],2020-03-18 16:00:53,2,0
战忽局怎么干的？[doge],2020-03-18 12:23:52,2,0
中国🇨🇳棒棒哒！,2020-03-18 10:53:04,2,0
什么叫国际巨星？（战术后仰）[doge],2020-03-18 10:02:13,2,0
NB！,2020-03-18 10:00:14,2,0
对比图笑死我了,2020-03-18 10:00:18,2,0
什么叫中国🇨🇳，爱国情怀高涨，激动哭了,2020-03-18 10:00:12,2,0
我是中国人！我爱自己的祖国！,2020-03-18 09:59:27,2,0
中国NB！,2020-03-18 09:58:49,2,0
粪坑里挑评论，小编辛苦了[鸡腿],2020-03-18 09:54:58,2,0
幸好我在中国！,2020-03-18 09:43:09,2,0
尼们也只能羡慕羡慕[OK][OK][OK],2020-03-18 09:41:47,2,0
真·希望在中国,2020-03-18 09:41:36,2,0
高端人才欢迎，拖后腿的不欢迎,2020-03-18 09:41:21,2,0
快来[给心心],2022-09-13 04:27:34,2,0
物竞天择，智者生存[doge],2020-04-02 01:57:27,1,0
煩不煩，[笑哭]看到好幾個這種評論了，抄什麼抄，到處抄評論,2020-03-19 09:21:11,0,0
