评论,时间,点赞数,标签
iPhone用户充电头首选品牌就是小米紫米[大笑],2022-07-28 02:23:55,9,0
"『Anker安克正式发布7款氮化镓充电新品』
Anker安克今日召开2022旗舰新品发布会，正式发布了7款新品，包括4款充电器、2款移动电源和一款插座。（图二图三）
4C1A 150W 充电器首发 589 元，65W 2C1A 型号首发 299 元，140W 单 C 口型号首发 539 元。
（信息来源:酷安）",2022-07-27 13:14:05,9,0
用过Anker上一代氮化镓充电器，确实小巧散热好,2022-07-27 12:33:47,9,0
"其实yysy，anker的质量确实挺好的，至少我买的这几个他们家的东西没出过问题
[OK]",2022-07-27 12:07:39,8,0
充电最多省一个小时。我他妈充电都没有一个小时。[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]滑稽他妈跟滑稽开门滑稽到家了。,2022-07-29 12:26:27,8,0
不是，现在搞个充电头也能开个发布会吗？,2022-07-27 16:28:24,8,0
"我自己现在有120w一个，67w两个，20w一个，33w一个[藏狐]
买个几千块的手机充电器都没有怎么能怎么扣呢[藏狐]",2022-07-27 15:45:52,5,0
140w，节省1小时？坏了现在充电已经实现秒冲了么[doge],2022-07-27 12:41:30,5,0
一直觉得anker比原装充电器好用,2022-07-27 12:19:29,5,0
百度:大家别学我,2022-07-27 12:11:11,5,0
不明觉厉，安克第一代氮化镓产品我买了三年了，现在的技术已经看不懂[微笑],2022-07-27 12:05:16,10,0
我IQ9  120w边玩边充要冲几个小时才能充满[藏狐]我现在对这些快充真的麻木了,2022-07-27 12:01:52,5,0
正在开的华为发布会，明天就应该出了吧？[嗑瓜子],2022-07-27 12:00:57,8,0
营销成本最后都要消费者来分摊，广告做的越多性价比越低，我反正买这类东西优先看紫米红米,2022-07-29 04:27:47,10,0
02:01[害羞][害羞][害羞],2022-07-27 12:04:21,10,0
阿短，华为发布会搞快点[打call][打call][打call],2022-07-27 14:46:57,7,0
（阿短不会是库存视频吧[doge]）华为发布会在线等，挺急的[妙啊],2022-07-27 14:40:33,6,0
关于各家找各种理由取消充电头充电线,2022-07-27 14:36:05,6,0
00：16 “新的充电器放在包装盒里几乎不用”，我草,2022-07-27 12:28:15,7,0
今天晚上12点前我要看到鸿蒙3的视频[OK],2022-07-27 12:19:03,6,0
是的，,2022-07-29 05:00:14,0,0
是不是有一种可能，我就是一说啊，出问题都已经发不出声了,2022-07-27 12:45:06,4,0
回复 @糖醋麻辣味洋芋花 :他意思不是在说质量差的的都被炸死了么,2022-07-28 17:22:07,1,0
回复 @无风之地_ :当充电器是炸弹呢一出事直接送走,2022-08-13 03:46:34,0,0
永 动 机,2022-08-04 14:18:45,0,0
：1,2022-07-29 12:28:42,0,0
那必须的[吃瓜],2022-07-27 16:49:01,0,0
140w充电也就十分钟左右,2022-07-28 07:03:00,0,0
你为什么不放下来等十几分钟，充满再玩呢？现在的手机快充，边玩边冲的功率全都跑不满啊。,2022-07-27 12:06:24,9,0
亮屏充电哪家都不高的，何况现在夏天的天气温度较高还边玩边充[吃瓜],2022-07-27 15:08:47,2,0
我的建议是买两个手机轮换用[吃瓜],2022-07-27 12:13:40,2,0
并没有[热],2022-07-29 04:30:29,0,0
你不对劲🥵,2022-07-27 12:07:55,2,0
疑车无据[捂眼],2022-07-29 07:40:10,0,0
简直厚颜无耻[笑哭],2022-07-27 12:42:00,1,0
