评论,时间,点赞数,标签
加油吧,2023-03-18 13:57:20,1,0
手机平板耳机手表都是华为的，加油，干翻苹果,2023-03-14 17:26:25,1,0
麒麟重现之日！,2023-03-06 15:09:04,1,0
遥遥领先！冲,2023-02-15 09:19:50,1,0
[支持],2023-01-21 09:20:20,1,0
希望下一部手机 真能说出那句遥遥领先吧 虽然现在 舆论走向已经不对了 加油吧[难过],2022-12-30 14:52:23,3,0
大格局！,2022-11-28 01:36:40,1,0
他头发白了,2022-10-20 13:46:47,1,0
咱们大胆一点儿，畅想一下Mate60能不能用上5G[脱单doge],2022-10-06 23:43:15,1,0
大嘴，我想听遥遥领先。,2022-10-06 21:18:15,1,0
我买了p50pro支持一下,2022-10-03 12:38:40,1,0
支持支持支持,2022-09-30 08:49:23,1,0
苏坡法斯特掐鸡,2022-09-29 14:01:32,1,0
麒麟回归那天，必入一手RS,2022-09-28 17:47:33,4,0
我等你涅槃重生的凤凰芯片[大哭][大哭][大哭],2022-09-28 16:06:31,1,0
这家伙可是拿过国家科技进步奖的…,2022-09-27 22:20:19,3,0
现用华为nova9，华为啥时候出新5G啥时候换,2022-09-27 07:08:03,3,0
遥遥领先,2022-09-27 06:19:51,4,0
刚买的P50，MATE50我是真的抢不到啊。。。,2022-09-26 23:03:08,4,0
mate50流光紫到手，诶嘿,2022-09-26 14:29:40,7,0
骁龙八＋,2023-02-09 15:09:19,0,0
言语中充满着自信，可惜现在听不到了,2022-10-04 15:47:42,0,0
回复 @AtomicOMB :？,2022-10-09 05:42:31,0,0
很好买的呀，我也就象征性抢了一下mate50，已经加价转手了,2022-09-30 12:33:26,0,0
你好棒给你点赞,2022-09-27 08:07:23,0,0
