评论,时间,点赞数,标签
提词器也是小米的，跟雷总声带不兼容,2022-07-14 13:59:31,7,0
我以为是恶搞，没想到是真的,2022-07-05 14:03:33,7,0
谁特么买小米啊！谁特么买小米啊！,2022-05-22 16:46:10,7,0
雷总，怎么把心里话说出来了？都是外人，一吐为快，怎么了？[doge],2022-01-02 08:04:48,13,0
其实这句话硬要拗，也能拗过来    我们不期待米粉们的期待，我们会成为更好的自己，回报广大用户的XXXXX,2022-01-03 13:45:07,12,0
雷军内置了MIUI1系统，出bug了[doge][doge],2022-12-05 04:39:49,6,0
@励志上树 @哼唧的冰激凌,2022-11-18 11:31:15,1,0
我们绝对不过辜负米粉的期待！雷军是想表达这个意思吧？,2022-10-01 06:25:30,6,0
绝不辜负米粉的姑父,2022-04-26 02:22:36,6,0
期待雷总继续给我造便宜又好用的手机，这部用了四年了，不卡不烫电池耐用，就是内存有点不太够了。下一部手机还要换3000元的小米[嘟嘟],2022-01-02 02:17:29,14,0
雷军自己都出BUG了,2022-01-22 09:57:31,8,0
安安心心搞小米贷款吧 比这个收益多 对吧,2022-01-18 07:19:37,10,0
哪有什么米粉，不过都是些穷人罢了,2022-03-15 13:10:54,8,0
不奇怪  这个雷军搭载了MIUI12.5增强版,2023-01-07 08:44:05,10,0
雷军说这话不管是嘴瓢还是吐露心声都无所谓吧，他说的5年内投入多少多少钱研发我也就是看看，毕竟搞研发不是三两天就能看到结果的，谁知道他要研发个啥呢？不用急着下定论。目前作为消费者看得见摸得着的也就新手机的硬件性能和软件调教了。我也很好奇那所谓的万物互联是个啥，做得怎么样了。,2022-01-03 04:08:20,10,0
看眼神,2021-12-30 15:53:13,7,0
我求求你了，看看小米12p天玑版吧，优化差的一批，游戏卡的一批，后悔死了,2022-09-19 14:20:03,7,0
都是外人一吐为快怎么了[doge],2022-01-01 14:42:09,10,0
众所周知，雷电将军是个人偶，所以出个bug很正常对吧[doge],2022-01-06 15:36:50,5,0
我们期待小米不辣么烫手和烧WiFi，说的很真实,2022-11-11 12:50:47,5,0
回复 @丶小天哥丶 :索尼的设计不太适应,2023-03-02 03:18:07,0,0
回复 @-瑶玲啊瑶玲_ :没人买索尼压根没见过人用索尼手机,2022-05-14 13:09:31,0,0
回复 @-瑶玲啊瑶玲_ :反正就是穷[doge],2022-03-20 14:25:07,0,0
万物互联就是让你买一堆小米的设备,2022-01-16 04:49:11,1,0
忍一忍就过去了,2023-01-02 11:11:58,0,0
咋还把心里话说出来了呢？[doge][doge],2022-11-16 23:21:22,0,0
