评论,时间,点赞数,标签
快到冬天了，潮汕仔的战衣可以安排上了[脱单doge][热词系列_妙啊],2022-09-07 05:26:41,43,0
新哥们这么用力过猛啊，一直在扭头，表情也忒浮夸了，看着很不舒服,2022-09-07 05:36:12,41,0
哦豁 还真是[doge],2022-09-07 05:24:24,35,0
我也不是好奇哈，就是杠哈，你们怎么还没发布iphone 14promax 1Tb紫色顶配 非海南免税版的视频，不会是没抢到吧琼比[doge],2022-09-19 00:48:51,9,0
在这里，我真的得到了快乐，尼玛像看综艺一样[点赞][点赞],2022-09-07 12:15:55,9,0
这期简直笑死了，哈哈哈哈哈哈哈哈，赞,2022-09-07 11:40:50,11,0
还有个主要主要功能没提啊！还没央视讲的清楚BV1AG411V7DV,2022-09-07 06:02:19,23,0
本以为是整活 没想到苹果今年真这么做了[doge] 60hz大屏 a15芯片 真就清库存呗,2022-09-08 10:52:20,19,0
"卫星通话只支持美国和加拿大
A16的性能也有提，比A13提升40%（没错，就是和A13比）",2022-09-08 10:42:50,8,0
热男还是保守了，人家直接soc都可以不更新的[藏狐][doge],2022-09-08 02:10:00,8,0
好耶，后年就能有长截图了,2022-09-07 07:18:26,8,0
手机壳已买,2022-09-07 05:43:40,9,0
他他他，叫什么名字啊，我给忘了，多会儿从testv来到热男的，好久没看了,2022-09-07 05:39:47,8,0
我不是杠什么，要是有朋友把壳子拆下来，发现你不是顶配，那不是很尴尬？,2022-09-07 05:38:53,16,0
苹果最牛的地方不是他的硬件和软件，而是他的客户，只要有人看到吐槽苹果，就会有人出来让别人反思是不是你自己的问题。[辣眼睛],2022-09-08 11:19:41,14,0
那个新来的黑衣服的演的太浮夸了[doge],2022-09-07 06:06:22,10,0
新人好出戏哦，应该是普通话太好了[笑哭],2022-09-07 12:06:24,16,0
黑衣小哥表演略用力了一些，如果不太用力 自然点，会更好 热男就是玩真实那感觉。音量也可以稍微控制一下。,2022-09-09 02:26:11,6,0
WWDC2024那点真的绷不住了,2022-09-08 12:26:56,6,0
预言家还是保守了，就加了个药丸动效[喜极而泣],2022-09-08 00:33:43,6,0
回复 @蛋疼的欧尼酱 :他唯一问题是长相过于正常,2022-09-07 06:04:26,22,0
[doge]普通话太标准了 融不进去,2022-09-07 05:41:51,7,0
回复 @kevinlli8 :哈哈哈哈哈哈哈哈哈哈哈哈对哦画风不同反差感,2022-09-07 06:16:00,4,0
校长，这是否符合你对未来的想象[脱单doge],2022-09-07 05:40:39,8,0
不觉得很酷嘛校长[doge],2022-09-07 05:48:02,7,0
回复 @神奈川犬浪里 :太酷了,2022-09-07 05:59:09,3,0
回复 @热男HotGuys :下次一定[脱单doge],2022-09-07 13:59:38,1,0
三连了吗[脱单doge],2022-09-07 13:51:58,0,0
a15滞销帮帮库克吧，不涨价≈降价我葱爆[吃瓜],2022-09-08 11:28:45,3,0
没办法，竞争对手没了，开始摆烂了,2022-09-09 20:44:33,1,0
不开玩笑，真的很谢谢你,2022-09-07 05:45:29,2,0
回复 @热男HotGuys :不开玩笑，真的嗨好看[热词系列_知识增加],2022-09-07 06:34:41,1,0
回复 @热男HotGuys :你做12的我也买[妙啊],2022-09-07 11:54:07,0,0
回复 @bili_81372434929 :我一眼就认出来了[OK][OK]但记不起来叫啥，只是前几天看testv的视频说有人走了,2022-09-07 06:48:00,0,0
回复 @骷骷髅髅 :对对对，好久没看两边的视频了,2022-09-07 06:47:08,0,0
播音员？,2022-09-07 05:42:46,0,0
建议焊死,2022-09-07 17:27:05,1,0
[doge]你可以在手机后面再给一个。,2022-09-07 16:24:34,1,0
回复 @东方粉 :菊花不知道，但粗粮和果子真的这样[笑哭],2022-09-08 11:31:14,3,0
其实红米也是，只要有人吐槽红米，就会有米粉出来辩护这么便宜这么高的性价比要什么自行车，不满意去买一万块钱的苹果华为啊,2022-09-08 11:22:23,3,0
回复 @东方粉 :对没错，是华为叫吴京拿枪指着我的头叫我买的，这评论满意不[藏狐],2022-09-08 12:43:33,1,0
完全就是喊,2022-09-07 06:42:27,1,0
颜值过关就行了 吸引女粉,2022-09-07 06:51:37,0,0
我也觉得是这个原因哈哈哈哈,2022-09-08 17:41:27,0,0
能否联合蓝朋友TV送一台14[脱单doge][脱单doge],2022-09-07 05:27:08,14,0
为什么没有13mini的，看不起mini嘛,2022-09-07 05:31:27,29,0
回复 @田鼠三元一只十元三只 :笑死了 我也是mini,2022-09-07 05:37:26,8,0
能否联合蓝朋友TV送一台14[脱单doge][脱单doge],2022-09-07 05:27:08,14,0
为什么没有13mini的，看不起mini嘛,2022-09-07 05:31:27,29,0
回复 @田鼠三元一只十元三只 :笑死了 我也是mini,2022-09-07 05:37:26,8,0
