评论,时间,点赞数,标签
三分钟我要知道她的所有资料[doge],2022-11-21 15:07:10,8,0
oppo的A系列跟vivo的y系列懂得都懂,2022-11-21 12:18:03,5,0
OPPO 你是懂主持人的[doge],2022-11-21 11:55:48,8,0
什么处理器？,2022-11-21 11:06:03,5,0
屏幕比x40强 起售价同配置贵100 但是品牌力 见仁见智[doge],2022-11-21 10:56:46,9,0
"能对的过荣耀的X30/X40或者其他695不？
我感觉可能不大行。",2022-11-21 10:46:14,5,0
阿短的语气 活脱脱一痴汉,2022-11-21 10:39:06,9,0
腿的发布会[打call][打call][打call],2022-11-21 10:36:16,10,0
我的评价是宋大腿又输又赢[doge],2022-11-21 10:37:12,5,0
所以说，为什么不买realme10pro+?[思考],2022-11-21 10:43:41,8,0
让你的新机把    主持人掏出来,2022-11-23 16:04:29,4,0
腿的发布会,2022-11-22 14:18:35,4,0
我单方面宣布扁平的宋大腿不敌更有曲线的豆大腿[脱单doge],2022-11-21 15:32:39,8,0
友友们，这个小龙695跟田鸡1080比哪个好啊？[笑哭],2022-11-21 14:50:04,4,0
@滑溜的肥皂 @SthMax @mabang @creator_z 看绿厂新品,2022-11-21 13:26:12,3,0
我还是觉得宋大腿好，不忘初心，牢肌使命！,2022-11-21 13:08:42,4,0
宋大腿老穿裤子这我没法买iqoo啊[滑稽][滑稽],2022-11-21 13:01:09,4,0
你是来看发布会的吗，我都不想说破你→_→,2022-11-21 12:46:50,4,0
有一说一，这个产品经理的气质和大腿有一拼,2022-11-21 10:59:22,4,0
宋妹！ 马上过来和我去领证，不然我就和豆豆走了哦！[脱单doge],2022-11-21 10:58:43,4,0
回复 @晨曦--暮雪 :B站就抽奖用，抽到6级的。,2022-11-21 14:10:34,0,0
回复 @_桃乃木香奈_ :我是说，你的号这么就变成只有抽奖的了[喜极而泣][喜极而泣][喜极而泣],2022-11-21 13:50:50,0,0
回复 @晨曦--暮雪 :。。说到你痛处了吗，不会想买这个吧,2022-11-21 12:18:16,0,0
强的地方多了，双扬声器，X马达，67w充电，nfc,2022-11-21 11:21:23,4,0
单说配置可以,2022-11-21 10:52:28,0,0
没售后[doge],2022-11-26 04:13:04,0,0
天玑的貌似更强一点,2022-11-21 14:57:57,2,0
这俩只能说卧龙凤雏，拉不开太大差距。天玑理论性能强一些，但在这种中低端手机上，我还是比较相信骁龙的调教。,2022-11-22 09:22:00,1,0
回覆 @夏雨虫子还能叫我蟪蛄 :我就是note11pro，不打游戏还挺均衡的,2022-11-21 16:20:30,1,0
我只是随口说说，没想到你还真搞出来了[笑哭],2022-11-21 11:10:58,24,0
回复 @有钱了买下地球 :你还真的“水了”一期,2022-11-21 11:15:40,0,0
居然能保持五五开，绝了[吃瓜],2022-11-21 15:43:07,4,0
我只是随口说说，没想到你还真搞出来了[笑哭],2022-11-21 11:10:58,24,0
回复 @有钱了买下地球 :你还真的“水了”一期,2022-11-21 11:15:40,0,0
居然能保持五五开，绝了[吃瓜],2022-11-21 15:43:07,4,0
