评论,时间,点赞数,标签
哎哟！不装高冷了，iOS也食人间烟火啦[doge]？,2022-09-09 14:56:24,4,0
还不还的，苹果我也不用，我怕不知道什么时候就被监听,2022-09-08 09:58:58,4,0
怎么能是抄袭，必须是重新发明啊[吃瓜],2022-07-17 23:41:04,4,0
这   这不是侏罗纪世界三里大反派？？？,2022-06-27 03:26:12,4,0
大郎，该嗑药了[微笑],2022-06-27 00:36:40,2,0
坚果r2用户暴风哭泣,2022-06-25 02:20:31,2,0
尽然还是刘海屏,2022-06-16 23:16:42,2,0
[妙啊]所以安卓为什么不抄苹果然后反杀？既然是被抄的立场，应该很容易吧,2022-06-12 17:03:42,4,0
真的拉,2022-06-09 13:25:00,2,0
对刘海的蜜汁执念[辣眼睛],2022-06-08 23:47:08,4,0
库克发布会都是跟你学,2022-09-13 01:56:47,4,0
iPhone就差个小窗了[捂眼]快把Flyme小窗模仿一下，iPhone直接无敌，期待一下[打call],2022-06-09 07:49:28,4,0
不知道为什么，我刚刚从红米换成了iPhone，但是从操作习惯到UI几乎一模一样，除了手机快了很多其他的让我感觉我就像没换手机一样。除了旁加载没了。,2022-06-11 12:36:03,4,0
都买了。电脑m1的续航。。。在学校一天也就打6个小时的csgo，只剩12格电，ipad玩120帧原神真的香，但是温度40+很烫,2023-03-21 11:49:32,1,0
哇！在这些设计之前我都看过，我是不是很厉害[呲牙],2023-01-06 08:43:16,1,0
天天看库克，越看库克越像里皮,2023-01-05 15:37:56,1,0
我在想象用Mac book玩游戏是什么样的[tv_doge][tv_doge],2022-12-29 23:50:51,1,0
口头禅希望卖爆卖爆,2022-11-21 12:17:06,1,0
@短的发布会 没工作了[脱单doge],2022-11-21 02:54:21,1,0
"课代表来啦~
天天借鉴我，今年还回去？三分钟带你看苹果2022开发者大会

一、目录
ios 16
1️⃣可以在锁屏界面体验表盘

一、目录
ios 16...",2022-10-13 02:35:03,1,0
同r2，你好你好,2022-06-27 14:57:10,1,0
華為mate50（😋）,2022-09-09 09:58:47,0,0
回复 @邪王珍视明 :评测很明显，画质12su好一点，苹果胜在稳定性，总的来说极速12su适合日用，苹果适合视频博主和视频创作者,2022-08-17 02:46:00,0,0
个人感觉这年头ios在国内没有一些旗舰机的优化安卓系统好用，甚至差距还不小。但是苹果的硬件和算法还是牛的。摄影摄像即使最近发布的主打摄影的小米12s ultra某些方面也被13pm吊打。,2022-07-08 09:51:27,0,0
