评论,时间,点赞数,标签
卢总看了头都快秃了吧[妙啊](相互竞争，做好产品),2022-10-21 12:56:58,20,0
你这深夜运动人像它正经嘛[脱单doge],2022-10-21 12:44:50,6,0
这苹果肌我看着害怕,2022-10-21 10:33:16,6,0
其实还可以的，9000+芯片，两千多块钱,2022-10-21 10:35:34,20,0
我突然发现，iQOO10是120w闪充，跟小米的210w一样是九分钟呀[捂眼],2022-10-31 10:54:16,9,0
该说不说，neo7这价格至少是堆料堆出来的，不像国内某些厂的手机价格是靠卖情怀卖宣传堆出来的=。=,2022-10-21 11:39:38,2019,0
k50至尊版和neo7咋选？,2022-10-21 11:13:51,23,0
2999顶配入手[脱单doge],2022-10-25 03:35:34,5,0
嘶，手持neo3有点心动了，用了几年了虽然还是挺流畅的，就是电量掉的有点快了……而且这次8+256也没破3000，就是没有3.5耳机孔[雪未来_堆雪人],2022-10-23 07:50:14,5,0
联发科今年可得谢谢vivo，vivo是第一款把天玑9000用到旗舰上的（x80），证明天玑影像也可以，现在又把天玑9000+用到新机，证明天玑打游戏也可以（neo7）,2022-10-23 02:33:42,16,0
国庆买的neo6哭晕在厕所[doge],2022-10-22 14:20:16,5,0
谁关心发布手机？只关注宋大腿[呲牙][OK],2022-10-22 05:08:22,5,0
别的不知道，但这次的散热肯定好[藏狐],2022-10-21 11:18:58,21,0
说明散热有改进[脱单doge],2022-10-21 11:10:50,18,0
我怀疑，宋大腿出来就是为了诱惑阿短做发布会的,2022-10-21 10:44:36,17,0
一加ace pro，红米K50至尊和Iqoo neo7买哪个？,2022-10-21 10:36:46,5,0
所以索尼到底还有多少766和改款,2022-10-21 10:39:26,16,0
vivo，做米粉心中最酷的公司,2022-10-22 02:31:32,8,0
"虚假的K50Ultra：K50至尊版
真正的K50 Ultra：Iqoo neo7换个2K屏[脱单doge]",2022-10-22 00:50:17,8,0
iQOO 10赛道特别版和曼岛特别版呢？[脱单doge],2022-10-22 00:19:37,13,0
被友商给鞭策了。[滑稽],2022-10-21 13:09:10,5,0
回复 @麦德伯堪科维奇 :卢总：一年不鞭策友商，友商就变成这个样子[吃瓜],2022-10-21 14:26:24,5,0
不是九分钟充一半吗[doge],2022-10-31 15:03:32,0,0
江湖妖人，妖言惑众，9分钟冲一半怎么让你说成冲满了？,2022-11-02 05:02:31,1,0
知道自己产品力不行，慌的降价[doge],2022-10-21 11:54:23,81,0
唉，其实麒麟还在的时候荣耀作为子品牌性价比还是很高的，我的荣耀10用了4年，又是摔水泥地又是进水的，一直用到内存快满，可惜现在性价比完全不行了。刚刚预订了neo7，什么时候麒麟回来了希望能重回以前吧，到时候一定买一台,2022-10-21 11:55:30,220,0
回复 @我分不清啊 :我的荣耀20pro这两天开始无限重启了[笑哭],2022-10-21 13:46:42,7,0
neo7，蓝厂售后蛮不错的，不急的话等等对Neo7的第三方评测,2022-10-21 11:27:18,29,0
当然是neo7，两家售后都不能比，而且小米11的例子还在眼前[惊喜],2022-10-21 11:40:52,22,0
回复 @NeoSYX :如果我双十一买，价格会有变化嘛？[脱单doge],2022-10-21 18:28:50,1,0
现在300券用不了了,2022-10-26 15:40:02,0,0
回复 @就是来看电影而已 :京东给我打电话说plus卷用不了，但是会给个3000-300的卷一样用[脱单doge],2022-10-27 10:25:00,0,0
没必要，我以前也是没有耳机孔就不换手机的。现在有耳机孔天天上班用蓝牙耳机，真香！打游戏外放，蓝牙不管多贵还是有延迟没办法[脱单doge][脱单doge],2022-10-24 02:55:47,0,0
回复 @舞琻 :其实就是学生党和上班的区别，我现在也是上班了突然感觉没什么吸引力了，还是去买了iqoo10,2022-10-24 06:21:57,1,0
