评论,时间,点赞数,标签
这手机早发一个月就好玩了[滑稽]，坐看机圈,2022-10-01 08:03:43,10,0
civi系列发布会为什么不是@cloud米米 配音,2022-10-01 06:31:13,24,0
始终第一线跟上苹果的步伐,2022-10-01 12:52:25,59,0
主持人有种瘦脸版的冰冰的感觉，不过少了些可爱。,2022-10-01 06:57:27,11,0
我的脸好看（指居中双挖空）,2022-10-01 06:28:48,24,0
有一说一，主持人是真的好看[微笑][星星眼],2022-10-01 06:38:04,8,0
除了主持人 没有能看的[doge],2022-10-01 06:51:19,26,0
冷知识：这手机是单扬声器还是塑料中框[doge],2022-10-01 07:12:54,10,0
我的V20刚发布时候，挖孔屏那个骂！现在药丸还搞居中[辣眼睛][辣眼睛],2022-10-01 06:54:38,22,0
不懂就问：这手机药丸里又不像苹果一样有其他传感器，为啥不做成双挖孔,2022-10-01 06:50:21,27,0
苹果是有人脸识别才这么大，小米这两个摄像头中间那么大空位有啥？，直接并起来放角落了不好吗,2022-10-01 06:29:01,14,0
主讲人真不错，对了，这发布会发布的什么来着？,2022-10-01 08:04:18,21,0
[doge]因为小米也知道，线上看发布会的，肯定大多数是男生,2022-10-01 09:09:26,17,0
"假如灵动岛之后的安卓挖槽屏也卖得不错
那之后的安卓主流屏幕形态我不太敢想了",2022-10-02 17:44:28,10,0
明明是线下机，他甚至不敢778G卖4000！他真的我哭死,2022-10-01 14:48:08,34,0
小米王冰冰,2022-10-01 08:08:39,6,0
不是灵动，是心动[热词系列_知识增加]💓,2022-10-01 06:52:16,6,0
富士康流水线里面绝对有各大厂商的卧底[笑哭],2022-10-01 06:43:15,25,0
怎么这么像王冰冰[吃瓜],2022-10-01 06:24:19,6,0
oppo：po友，这个可不兴李易峰啊,2022-10-01 07:01:18,8,0
要把伤害降到最小。[doge],2023-02-15 15:34:19,0,0
他不敢的，就是要等着苹果发了才发，小米一向如此[嗑瓜子],2022-10-03 07:43:29,0,0
那就真有意思了,2022-10-03 05:41:25,0,0
小米11今年再掀波澜，害怕请教主过来的话太敏感了吧？本来就群情激愤，再一听到教主的玉音，估计一点就炸了。,2022-10-01 18:28:58,0,0
牛逼 安卓几年前都有药丸挖孔了你告诉我这叫抄苹果?  苹果也不是药丸啊，它是感叹号,2022-10-01 14:03:16,26,0
"回复 @Gimtiu : 左华为,右三星,中苹果[疑惑][疑惑][疑惑]",2022-10-01 15:34:17,14,0
从今往后药丸被华为、苹果、三星承包了，除非你放小号[喜极而泣],2022-10-01 18:33:10,6,0
回复 @网虫 :但是它的听筒和没有一样,2022-10-01 08:56:15,2,0
听筒双扬,2022-10-01 07:59:44,2,0
回复 @网虫 :并不是。,2022-10-02 02:27:03,1,0
可是左上角挖孔真的很好看啊 我就不喜欢居中挖孔[doge][doge][doge],2022-10-01 06:55:47,1,0
回复 @胶囊猪 :对啊,2022-11-07 13:38:30,0,0
今年再看，V20可是遥遥领先的。感叹号模组引领苹果和谷歌，还有灵动胶囊。[滑稽][滑稽],2022-10-01 18:47:27,0,0
答：前摄双摄的话已经有华为和三星证实，药丸是最优解，但挖孔已经很碍眼了，俩洞你能膈应死,2022-10-01 06:53:34,19,0
那不就成了鼻孔屏了,2022-10-01 07:01:45,6,0
K30普通版就是双挖孔，中间是能显示和触控的，但是也做成了黑色,2022-10-01 07:12:46,4,0
你以为传感器模组就开孔那么大[tv_白眼][tv_白眼],2022-10-01 09:41:38,7,0
并起来放左边说抄华为，放右边说超三星，放中间说抄苹果感叹号。,2022-10-01 07:22:16,7,0
回复 @小仲们办卡了吗 :以前挖槽的时候都知道中间丑，现在有人洗“放中间自拍更好”[藏狐]这个我是觉得真的拉[藏狐],2022-10-01 11:49:41,3,0
王冰冰,2022-10-02 00:59:13,0,0
他确实没那个实力[抠鼻]还有水军味太冲,2022-10-01 15:55:20,7,0
确实没那实力,2022-10-01 14:51:27,7,0
去线下买的，要是有四千预算，tmd会看小米吗[脱单doge],2022-10-12 03:11:57,5,0
之前爆料都是感叹号，只不过是软件优化成药丸,2022-10-01 08:04:56,5,0
