评论,时间,点赞数,标签
@你的工具人老公 哇，好多颜色啊,2021-07-20 06:08:52,1,0
@_大锦鲤_ 来看看,2021-07-19 14:40:09,1,0
@_大锦鲤_  红轴,2021-07-19 13:16:25,1,0
老师老师，我的黑轴键盘某两个键失灵了，看网上的方法说用细牙签戳那个月牙，我戳完确实好一点了但是很快又不行了，怎么办[难过]不想因为两个轴放弃一个键盘(不支持热插拔),2021-07-19 09:30:45,1,0
老板大气[热词系列_知识增加][热词系列_知识增加],2021-07-19 06:10:04,1,0
有省流助手吗？,2021-07-19 04:26:01,1,0
@你的工具人老公 学习,2021-07-19 04:11:33,1,0
[打call]来了来了，一通知就来了,2021-07-19 03:21:51,1,0
想问一下，哪个轴的质量能好一些？就是平时玩游戏，偶尔会打字做表啥的。现在用的50包邮那种[笑哭],2021-07-18 11:50:35,1,0
爷的省流助手呢？[藏狐],2021-07-18 04:27:34,3,0
噪音不同,2021-07-18 04:15:31,1,0
up采访的时候，不应该直接问用键盘吗，这样会给人一种推销的感觉，最好是先说明来意,2021-07-17 12:34:08,1,0
[妙啊]跪求up拆解释一下血手幽灵的光轴,2021-07-17 12:31:30,1,0
把一颗樱桃轴混30颗不一样的轴里 请用按找出来[doge]，找不出来就是钢筋,2021-07-17 12:29:36,1,0
就喜欢这种量化的分析,2021-07-17 12:28:23,1,0
金士顿水轴可以的,2021-07-17 12:24:02,4,0
佳达隆Pro建议up主试试。真的超级牛逼，而且不贵,2021-07-17 12:03:17,3,0
办公室就是要用声音大的轴，这样摸鱼才爽[doge],2021-07-17 10:57:04,1,0
用惯了薄膜，机械以前淘汰的玩意，没想到这么火[doge],2021-07-17 10:49:31,1,0
直接学焊接换个轴[doge],2021-07-19 10:37:18,1,0
某宝电烙铁带焊锡二十块钱 自己换一波就行了,2021-07-19 12:29:35,0,0
回复 @清枫s :谢谢谢谢,2021-07-21 05:56:28,0,0
阿米洛玫瑰红樱花粉也不错,2021-07-20 00:20:57,0,0
回复 @丨无名小卒丨 :谢谢,2021-07-19 10:29:35,0,0
回复 @局大老猫 :彳亍,2021-08-08 07:31:28,0,0
来了，省流助手:关掉视频不看[藏狐],2021-08-08 05:19:39,0,0
"来了

省流助手：360p",2021-08-01 07:04:08,0,0
回复 @暴走么么茶 :还用拔轴器哒?我拔键帽没次都能把轴拔下来 哈哈,2021-07-20 04:41:16,0,0
光轴都是热插拔的，买个拔轴器螺丝刀就能拆了。,2021-07-19 18:39:22,0,0
手坏了轴都不一定坏系列[吃瓜],2021-07-18 16:42:18,0,0
挺好区分的[呲牙]弹片弹簧音最大的那个就是[笑哭][笑哭][笑哭],2021-07-18 03:33:39,1,0
如果是客制化常见的大厂轴体，那还是很好区分的，放在耳边，有弹簧声的就是樱桃轴[doge][doge],2021-07-17 21:02:40,1,0
回复 @暴走么么茶 :我上手的 感觉贼爽。  特别佳达隆轴按键帽边角业很顺滑,2021-07-20 15:11:07,0,0
pro设计问题容易卡轴心，第二代还是有问题，还是老佳达隆便宜好用，除了废手工，没什么缺点了。,2021-07-19 18:30:18,0,0
推荐BOX翡翠，不用谢，我叫雷锋。,2021-07-19 18:36:43,1,0
如果想获取视频中观纬测评的完整测试数据，可加粉丝Q群：796351002,2021-07-16 11:58:40,1,0
回复 @热点科技 :我只想看keystone lekker2 和apex pro的数据,2021-07-16 13:53:54,1,0
如果想获取视频中观纬测评的完整测试数据，可加粉丝Q群：796351002,2021-07-16 11:58:40,1,0
回复 @热点科技 :我只想看keystone lekker2 和apex pro的数据,2021-07-16 13:53:54,1,0
