评论,时间,点赞数,标签
牛👍,2022-11-26 16:34:59,0,0
成本大概多少钱[滑稽],2022-11-26 09:35:38,0,0
淘宝上以前有个40块24键自定义键盘，现在涨到90了😤,2022-11-26 06:47:09,0,0
马克[喜欢],2022-11-26 06:45:36,0,0
相当于直接给了一个客制化的目录，点赞,2022-11-26 05:28:12,0,0
UP主加油！看好你噢~,2022-11-25 23:51:18,0,0
求一个大佬带我怎么复刻（最好是发个视频，只需要跟着你点然后付钱的那种）,2022-11-25 09:27:58,0,0
上小黄鱼吧,2022-11-25 03:26:54,0,0
UP主加油！看好你噢~,2022-11-24 20:15:08,0,0
UP主加油！看好你噢~,2022-11-24 17:34:43,0,0
固件加个模拟Radial Controller的功能就好玩了[doge],2022-11-24 13:24:39,0,0
大佬，大概一套要多少米,2022-11-24 04:02:45,0,0
大佬，请问元器件一般是在哪采购的呀？可以直接在力创商城下单吗？,2022-11-24 02:09:00,4,0
旋钮可以组合设定么？1+旋钮，2+旋钮这种的,2022-11-23 17:31:34,0,0
好厉害！ 感觉挺有意思,2022-11-23 17:20:16,0,0
学生党，麻烦给邮200块钱再塞个键盘寄来[doge],2022-11-23 16:01:02,0,0
键帽哪里买呢,2022-11-23 11:35:46,1,0
建议量产开卖 我这种fw做不出来[保卫萝卜_哭哭][保卫萝卜_哭哭],2022-11-23 10:14:14,1,0
希望能从up，学到更加多diy的东西,2022-11-23 07:29:00,0,0
UP主加油！看好你噢~,2022-11-23 06:24:43,0,0
因为用了32U4有点贵，成本大概100左右，要是换apm32就便宜了,2022-11-28 07:18:26,0,0
回复 @悦诗风吟er :76块我买的,2022-11-27 03:41:41,0,0
回复 @箫剑1325133 :拼多多还有一个三模61键的键盘，说不定也要涨价了,2022-11-27 03:41:10,0,0
回复 @箫剑1325133 :我买了一个还想再买结果涨价了[doge],2022-11-27 03:35:09,0,0
回复 @楚来啦 :三维猴打印10×10厘米以内的可以免费打样,2022-11-27 06:06:44,2,0
回复 @田不辣V :壳怎么白嫖[脱单doge],2022-11-27 01:18:53,0,0
PCB和下壳都能白嫖，成本大概不到100,2022-11-24 05:59:18,0,0
我大部分都是在淘宝买的,2022-11-25 03:24:06,1,0
可以，但是立创会贵一点，不嫌麻烦的话可以淘宝买比较贵的元件，成本会更低。,2022-11-24 16:09:13,1,0
旋钮可以指定按键宏，比如左转CTRL+C 右转CTRL+V,2022-11-24 01:43:25,0,0
键帽是XDA高度的虚拟战争,2022-11-24 01:44:06,0,0
那就直接上百元了,2022-12-08 12:12:20,0,0
