评论,时间,点赞数,标签
这玩意性价比并不高。你要是说500多块比它质感还差的，确实有不少，但是400区间比它好的，也不是没有,2022-12-05 04:31:09,1,0
求兄弟们推荐一个机械单手键盘，预算100-200,2022-09-02 04:25:19,2,0
再好，买不到有什么用呢,2022-08-26 13:49:30,1,0
京东抢购四分钟就没了……,2022-08-27 16:07:10,2,0
"我是搞得2K显示器，感觉这个尺寸很少有商家做2K画质的，但是我的桌子比较小刚好只能放24寸的显示器，我看到很多人都在推荐这款显示器，刚好我有个朋友入手了这款显示器，然后我就问他体验，他说非常不错，然后利用老用户给新用户推荐，在商家的优惠上他还额外给我返现了20元红包
https://www.bilibili.com/video/BV1GP411K77e/",2022-12-26 13:02:19,2,0
499对我来说太贵了,2022-09-10 11:57:45,2,0
但是腹灵cmk98也就贵了二百多块钱啊,2022-08-25 11:51:13,1,0
这要500？你说笑得吧，对得起标题么，最多199,2022-10-29 17:31:25,7,0
来了来了,2023-03-16 16:33:38,0,0
大佬有便宜的三模  键盘吗,2023-03-16 15:21:57,0,0
这个咋说呢个人使用了一段时间，快银轴手感和声音都很舒适，注意没有侧面数字键对玩游戏很友好，打字码字办公慎重考虑[脱单doge],2023-03-16 03:54:01,0,0
键盘的usb口能接鼠标吗,2023-03-15 14:54:58,0,0
银子充足还是上CK75吧,2023-03-15 02:11:24,0,0
yysy，玩游戏的话没有小键盘输入账号密码不得痛苦死？,2023-03-12 14:57:34,0,0
"xdm,600左右推荐一个线性轴键盘，声音好听一些，质感不错的，主要还是打游戏[星星眼][脱单doge][2023][doge]",2023-03-12 09:48:22,1,0
买了退了，主要是聚合物电池确实没有防刺板。考虑到电池基本上永远在放电或者充电的状态，总感觉心里哪儿哪儿有点不舒服。对于聚合物电池来说，安全性还是很重要的。,2023-03-04 10:55:24,0,0
多少钱,2023-03-03 08:52:06,0,0
iPad可以用吗？,2023-03-01 09:45:26,0,0
本人码农，前几天刚入手，别的毛病没有，就是太灵敏了，之前一直用的笔记本键盘，突然换这个疯狂打错字，手感和声音是真不错，电量续航也OK，就是现在打字得小心翼翼的慢了很多，估计再用一用，熟悉了会好一些吧[藏狐],2023-02-28 17:34:26,0,0
"反正就办公偶尔打字..机械太吵虽然好看。
自己还是最喜欢K380的手感。mx key是感觉都没k380舒服....",2023-02-25 05:20:19,0,0
回复 @天然无为YU :厂家钱到位了,2022-12-06 02:42:21,2,0
为什么好多up主全说是性价比之王,2022-12-05 06:52:51,0,0
RK R87单模版,2022-09-02 04:31:18,1,0
回复 @住在小帐篷的飘 :哪里买啊，为啥淘宝旗舰店没有买[无语],2022-11-04 07:53:45,0,0
回复 @愿有情无累 :比艾石头好多了,2022-10-07 17:20:20,0,0
四分钟？我说一个数，5秒！就放500台出来，tnnd熊[辣眼睛],2022-08-28 01:00:01,0,0
太难了,2022-08-27 21:56:10,0,0
你预算多少，推荐RK R87,2022-09-10 13:47:15,0,0
"对啊200-300呢，一把性价比键盘的钱。
k75的饰板是是塑料的，加上复古白的颜色就给人感觉一种玩具塑料感，不讨喜。而cmk98无论配色还是金属饰板都给人感觉品质感比较高，比较讨喜。当然两者大键都是第一梯队的，K75有HUB,还有轴下垫，内部用料比CMK98要好。",2022-08-25 13:40:14,1,0
建议你去PDD买个得了,2022-11-28 07:31:57,4,0
回复 @xiaoshen0944 : 这钱干嘛给pdd赚自己做一个不花钱,2022-12-30 02:27:18,1,0
回复 @Tsukiko筒 : 笑死，哈哈哈哈,2023-03-17 01:58:00,0,0
我看大家说，性价比，时间可以抚平一切，大厂商，开始下山整活了,2023-03-17 02:27:24,0,0
200以内，不着急折腾，我可以等的，一年两年的，,2023-03-17 02:25:56,0,0
最好是全键位的108啥104的,2023-03-17 02:26:16,0,0
可以呀,2023-03-15 15:23:54,0,0
lz,2023-03-13 13:58:46,0,0
图阁T9,2023-03-12 12:52:18,0,0
可以,2023-03-01 12:47:47,0,0
习惯就好,2023-02-28 23:52:05,0,0
