评论,时间,点赞数,标签
挨打快乐轴[妙啊],2022-09-02 18:28:52,4,0
确实是能用到大学毕业，能不能活到大学毕业我就不知道了🤷‍♂️,2022-09-07 02:18:50,6,0
用上了，已经在挨揍了[doge],2023-03-15 15:45:58,2,0
大学用的键盘不是更应该选声音小的吗？[热][热],2023-01-04 01:55:14,2,0
哥们你是没上过大学么，这轴这么大动静咋可能给室友留下好印象。。。找抽啊ヽ(`Д´)ﾉ,2022-12-21 01:45:07,2,0
我们宿舍全是青轴捏[脱单doge],2022-09-18 11:20:21,2,0
自己在家玩玩这个得了，到了宿舍脑袋怕不是会被挂在阳台上（悲,2022-09-09 12:09:05,5,0
好印象：指“这个舍友好欠揍”的印象,2022-09-04 14:30:58,5,0
室友：小伙子什么轴啊？来一拳？,2022-09-03 10:51:47,5,0
"up up,套件是啥[tv_doge][tv_doge][tv_doge]",2022-09-03 07:53:40,2,0
收藏了[doge],2022-09-03 03:01:13,2,0
早上8点起来用，督促舍友早起[脱单doge],2022-09-02 13:38:49,5,0
直接配top铜定，起飞,2022-09-01 15:49:56,2,0
买前替舍友思考下，如果天使在你左右，球球选个金粉高抬贵手,2022-09-01 15:25:33,5,0
我买过的轴就没有一个能一个不坏撑2年[辣眼睛],2022-09-01 15:23:52,2,0
这种不知道搭配什么套件合适,2022-09-01 08:51:30,4,0
已经用上了，室友很喜欢。[提摩西小队_来了][提摩西小队_来了][提摩西小队_来了],2023-03-01 17:38:32,1,0
爵橛子,2023-02-24 11:44:10,1,0
谢邀，大一入的极地狐，现在舍友判了一个，剩下4个保了[吃瓜],2023-02-02 11:42:17,1,0
《提高社交牛逼症》,2022-12-20 09:13:24,1,0
感觉拿来在家用 听起来还是很舒服的,2023-03-23 02:52:05,0,0
选有声段落，舍友物理交流就拉他入坑，最后集体污染,2023-01-07 12:22:15,0,0
无所谓了已经，舍友两个用青轴的。然后我就从红轴换成极地狐轴了，以毒攻毒,2023-01-22 17:06:36,0,0
我就是啊  还是铝坨坨  声音没多大,2022-10-12 13:02:03,0,0
金粉声音也挺响的，宿舍用还是静音轴吧，什么浅云冰静都不错[笑哭],2022-09-03 07:09:22,1,0
回复 @睡倒一万年 :雀食，为了舍友的耳朵连夜买了把小袋鼠[脱单doge],2022-09-05 09:59:05,0,0
