评论,时间,点赞数,标签
鼠圈真怪，前年都是实用为主gpw撑起半边天，今年开幕直接黑红墓碑竞技鼠，这边直接首发限定,2023-02-12 10:53:37,4,0
省流：2299！！！[doge][doge][doge],2023-02-11 13:05:10,5,0
有线mini149[辣眼睛],2023-02-11 11:53:24,3,0
现在罗技304完美改毒蝰mini早就在DIY里流传开了,2023-02-11 17:51:49,3,0
[C酱兔兔纪念装扮_鹅鹅鹅]图一乐 https://b23.tv/GYO8hLx,2023-02-11 11:36:31,2,0
一个都抢不到的东西，喷他干嘛[笑哭][笑哭][笑哭],2023-02-12 04:06:42,1,0
鼠标只考虑400以下的[藏狐]键盘600以下的[吃瓜],2023-02-12 02:17:04,1,0
你也不能按照每克来算，不然CPU不就是天价了吗。。。,2023-02-12 01:06:14,1,0
赛钛客rat8已经习惯了[doge]这么轻的鼠标没兴趣（主要是买不起）～,2023-02-11 19:20:22,1,0
[笑哭]我外设比电脑贵，280屏幕2000，梨花木客制化1200，鼠标雷蛇2k那款刚出的时候买的600，鼠标垫也是好几百，电脑显卡1500,2023-02-11 17:34:23,1,0
自从买了2000块的scuf手柄之后，突然觉得2000块的鼠标没啥了[笑哭],2023-02-11 15:40:27,1,0
测试市场反应！为后续高价格产品铺路,2023-02-11 15:36:18,1,0
买洞洞鼠的人家里都是一层不染的吧,2023-02-11 12:53:25,1,0
我把标题看成了无毒版……,2023-02-11 12:21:58,1,0
终于出了吗？等了几年了，可是我买不起[委屈][委屈][委屈],2023-02-11 12:00:08,1,0
这鼠标我绝对不考虑，一看手感就不好，而且很难清理,2023-02-11 11:33:18,1,0
希望雷蛇滚轮别那么拉跨,2023-02-11 10:45:39,1,0
看完我觉得下单549的sora!!![吃瓜][吃瓜][吃瓜],2023-02-11 13:09:37,1,0
"手头就拿着款镂空鼠标 主玩fps视角转动特别频繁的情况下这种设计对手腕真的很友好
不过这款卖2k＋也太吓人了 是我手上的十倍",2023-02-12 05:14:48,3,0
可能别人面向的就不是我们这些普通用户吧   我换个巴塞利斯终极版八百左右都心疼了好久好久[笑哭],2023-02-11 11:54:58,6,0
cus there's no good game to play,2023-02-12 18:31:47,0,0
谢谢你，猫爷[doge],2023-02-11 13:14:31,0,0
回复 @不良人天导星 : 能不能自己上tb官旗看一下现在的价格，pdd现在连崭新的mini都买不到了。。。这款好像停产了。,2023-03-10 10:02:49,0,0
回复 @bili_42500932945 :去年都有  什么时候活动价没有啊  现在更低,2023-03-10 05:07:46,0,0
回复 @艾瑞莉娅゜ : 大哥你自己上官旗看看什么价格，99都是什么时候的事情了。,2023-03-10 04:20:19,0,0
成本算下来才400，要是自己有技术，还能更低,2023-02-11 18:06:59,0,0
鼠标只考虑300以下的，键盘只考虑90以下的[doge],2023-02-12 05:04:14,0,0
回复 @Don_Just_Don :就...比较的时候用他的卖点来换算价钱嘛，你说cpu一线程等于多少钱我肯定没意见呐（不咋懂cpu）所以拿鼠标一克多少钱换算也没问题噻awa,2023-02-17 20:53:06,0,0
回复 @宇语欲 : 鼠标以轻为卖点啊。。。你也不能这么比理论上同样的价格那当然是越轻越好,2023-02-17 20:23:20,0,0
有没有一种可能，CPU不以重量为卖点[Cat2_Nyampage],2023-02-12 03:25:15,0,0
[doge]赛钛客四代同堂加配重块，一用别人鼠标直接没感觉太像假的,2023-02-11 19:21:44,0,0
回复 @xiaz1990 :算了！购买4台ps5了[笑哭],2023-02-11 16:02:56,0,0
要不你先来个4090？,2023-02-11 15:53:54,0,0
毒蝰mini的手感还是很好的,2023-02-11 11:56:17,0,0
限量版是炫技产品[UPOWER_686127_开怀大笑],2023-02-11 11:55:47,0,0
回复 @bili_273144804 : 都已经出到479了，500以上还有差别吗？？？[笑哭][笑哭][笑哭],2023-02-11 13:23:41,0,0
上手就知道，小作坊的味道,2023-02-11 13:12:54,0,0
479买的，500以上真不配,2023-02-11 13:12:33,0,0
