评论,时间,点赞数,标签
903，在gpw之前的王者。,2023-02-17 16:56:32,0,0
用着最舒服的感觉还是雷蛇，握持手感特别好,2023-02-17 15:24:01,0,0
我当时贴了好久，看起来挺帅的，最后上手玩的时候各种不适，两天后直接撕了。,2023-02-17 13:48:21,0,0
G102有推荐吗[doge],2023-02-16 17:08:54,0,0
我右键都搓掉了皮了 又不能拿502粘[doge],2023-02-16 09:30:21,0,0
G502X我贴过，贴完之后感觉手感怪怪的，又给撕掉了,2023-02-15 05:33:58,0,0
G903 这鼠标我觉得挺好的，重量和 G502差不多。关键是续航是真的久,2023-02-15 05:20:14,0,0
个人建议：防滑贴可以选泰坦军团家的，并不是打广告。用了一年半，汗手，大拇指那块防滑条已经磨毛了，左右键依然很新，上个礼拜刚换的，没留胶，鼠标跟新的一样。至于鼠标脚垫，我用过玻璃的，太滑不适应，手感变了，换回原装的了,2023-02-14 15:57:32,0,0
有903的玻璃脚贴了吗,2023-02-14 12:04:18,0,0
G903我目前用过扒握里最舒服的一款鼠标，抓握的太伤手腕了，用不了,2023-02-13 01:17:42,0,0
油手,2023-02-12 12:45:50,0,0
贴了手感的确好,2023-02-12 06:26:15,0,0
同款903,2023-02-12 06:00:28,0,0
有链接吗？[doge],2023-02-12 05:08:14,0,0
皮肤一沾，价格往上翻一翻[doge],2023-02-12 03:16:17,0,0
鼠标没电了会自己锁人[吃瓜],2023-02-11 10:47:01,0,0
[doge],2023-02-10 05:26:08,0,0
你这个会有at立场嘛[doge],2023-02-10 04:04:09,0,0
[doge],2023-02-10 02:59:27,0,0
这可不便宜啊,2023-02-10 02:18:27,0,0
有的,2023-02-17 02:13:07,0,0
回复 @9CB5D5 :[tv_思考][tv_思考],2023-02-15 07:19:36,0,0
[2233娘_卖萌]哥们打错啦，是泰坦国度，泰坦军团是卖显示器的,2023-02-14 22:08:00,0,0
我超，脚贴真贵，68,2023-02-15 04:51:48,0,0
泰坦国度有,2023-02-15 04:24:36,0,0
我几个月前还没找到有卖的,2023-02-14 12:04:30,0,0
回复 @只因你呔媄 :ck75,2023-02-22 06:27:53,0,0
键盘是哪款啊,2023-02-22 04:50:20,0,0
十分想贴了,2023-02-12 06:00:39,0,0
回复 @我的头究极铁 :确实[笑哭]还容易积垢,2023-02-12 01:01:09,0,0
这贴纸贴完应该挺废人吧[doge],2023-02-11 19:24:57,0,0
