评论,时间,点赞数,标签
用过公司老总的人体工程学键盘，看上去歪七扭八的，实际使用好舒爽,2023-03-03 23:38:42,1,0
现在键盘不都这样吗 我是不会告诉你我拿到手了十几种背光特效玩了半小时[脱单doge],2023-02-26 18:40:03,1,0
这不是乔布斯唯一指定转世灵童的创世神作嘛，被人抄了嗷[脱单doge],2023-02-24 11:43:59,1,0
我一个邪键仙表示很nice,2023-02-22 04:11:19,1,0
有感应灯的键盘不是早就有了吗？网吧里全是这种，便宜的很,2023-02-19 17:08:58,1,0
这是放在案板上的？这灯好好看啊 这键盘按钮半透明吗 好好看啊,2023-02-16 00:46:12,1,0
虽然但是为什么偷家里砧板[doge],2023-02-15 13:59:21,1,0
就一把啊⚆_⚆,2023-02-08 02:26:04,1,0
我的评价是:少见多怪,2023-02-04 01:54:57,10,0
Alice配列啊,2023-02-03 18:28:38,1,0
你这声音听着跟狂魔哥似的,2023-02-03 16:46:31,1,0
飞猪手,2023-02-01 19:08:29,1,0
十几年的fps玩家了，键盘不斜着根本不会打游戏，这个看着其实挺顺手的，如果不是日常使用不太方便之前我也入了[笑哭],2023-02-01 15:16:47,1,0
斜了，但没完全斜[doge],2023-02-01 05:27:21,1,0
舍友的键盘托是啥 蹲一个同款[脱单doge],2023-02-01 04:39:21,1,0
普通人遇到键圈玩家belike,2023-01-31 13:17:27,5,0
甚至手托都是专门的,2023-01-31 11:48:20,1,0
up还是太年轻了，这RGB都是好几年前的东西了[吃瓜],2023-01-31 09:14:47,22,0
akko透明键帽,2023-01-31 08:50:42,5,0
诶 卧槽 灯为什么会亮！？[doge],2023-01-31 07:02:56,5,0
是这样的,2023-03-16 02:53:09,0,0
木头的垫手腕的东西，之前tb看到过,2023-02-16 16:19:26,0,0
其实是做作,2023-02-14 02:08:42,1,0
阁下一定才高八斗学富五车,2023-02-11 23:48:46,1,0
我的评价是不如李楠,2023-02-15 10:40:10,0,0
看满离,2023-02-03 18:37:08,0,0
回复 @白徵明 : [東雪蓮_流汗],2023-02-02 11:08:00,0,0
你再骂[東雪蓮_气昏],2023-02-02 10:25:08,0,0
Alice反而更适合日常打字，特别是标准打字,2023-02-05 03:21:51,0,0
alice不适合打游戏的人群，配列特殊[无语],2023-02-01 21:02:57,0,0
怎么会啊，这个除了不好带出门之外，打字习惯之后是非常舒服的,2023-02-01 18:30:20,0,0
