评论,时间,点赞数,标签
来了，祝大家新年快乐[打call],2023-01-21 09:59:12,4,0
diy键盘用了大半年的ttc hey轴十几个键开始双击，拆开轴体用酒精棉片擦拭两个金属片的触点之后就好了[doge],2023-01-21 09:58:37,4,0
我的8.0用了好多年了[doge],2023-01-21 09:56:00,4,0
"大一买的国产凯华轴，一百块的机械键盘，七年了，还在我的办公室服役[吃瓜]
毕业那年买的ikbc，两百块的机械键盘，四年了，还在我的主力机服役[吃瓜]
讲真，稍微贵一些的机械键盘不折腾真的几乎能把我送走",2023-01-21 10:00:39,12,0
新年快乐055~[doge],2023-01-21 09:48:21,2,0
感觉键盘轴体的改进就像在水cv论文的我？,2023-01-21 09:55:38,12,0
055试试新出的极地狐v98Pro，我真的按上去就爱上了,2023-01-27 23:47:21,3,0
cherry的根本问题是模具一直用用到都出弹簧音了还不换模具，因为寿命高就这样摆大烂被玩家放弃也算是活该,2023-01-24 10:06:03,9,0
"玩到现在手里七八个键盘了
只有车厘子的轴真给坏了……
不排除是其他轴体我都选的比较贵
但是车厘子的质量也真没他们吹的那么好",2023-01-22 05:43:56,11,0
轴坏了你是轴的受害者，可以随意换你是热插拔的受益者，两者相互独立，互不干涉。樱桃轴同样可以买来热插拔。,2023-01-22 03:41:37,9,0
樱桃目前唯一的价值是作为机械键盘买家的入门砖，买着买着发现好像其他键盘都比樱桃的功能/可玩性/性能/个性 强一点[笑哭],2023-01-21 11:50:57,3,0
"“拍拍”
“诶，你怎么在用祭品啊[doge]”",2023-01-21 11:25:47,3,0
弹幕说的：进可丢人下分，退可摸鱼滑稿   要笑死我哈哈哈哈哈哈,2023-01-21 10:56:34,9,0
乱七八糟的轴搞不懂，自己觉得好用就是好轴[doge],2023-01-21 10:00:22,3,0
除夕快乐！！！[打call],2023-01-21 09:55:47,3,0
来了，55翻我[喜欢][喜欢],2023-01-21 09:53:54,5,0
来了，新年加班的up,2023-01-21 09:45:19,3,0
不如买本绿镖，送显示器送CPU还送一套系统[脱单doge][脱单doge][脱单doge][脱单doge],2023-01-22 03:06:29,7,0
我之前看到热插拔的宣传也感觉维修很方便，直到我的雷蛇键盘“1”双击，申请售后以后jd直接给换新了，我突然觉得热插拔毫无必要[doge]换一个新轴哪有换一把新键盘好,2023-01-22 04:07:39,4,0
有点可怜，官号不敢下场了。,2023-01-21 10:25:51,7,0
我买啥轴都是直接买一百多颗，留着备用，谁知道就是不坏，金粉都用了1年多了也不坏急死我了[doge],2023-01-23 08:05:47,0,0
"我的鸭子9087蛇年限定到现在十年了都好好的，头七年每天五小时以上游戏时间（除了abs键帽第二年就秃了[辣眼睛]）
感觉它真能把我送走[doge]",2023-01-30 15:21:16,1,0
还好你没买早年的凯华轴，我14年在机械键盘吧中的一把凯华青轴的键盘，各各轴体基本都不行了，会焊接都懒得换轴了,2023-02-15 14:54:27,0,0
回复 @不学无术的真懒人 : [doge]我的马年限定也还好好的，灯都没坏。,2023-01-31 12:38:44,0,0
新年快乐！,2023-01-21 10:55:18,0,0
回复 @天然卷的傢伙 :我现在在敲，享受[暹罗猫小豆泥 · 遇见泥_爱了爱了],2023-02-02 06:57:30,0,0
我的是大年三十前一天到的[doge],2023-02-02 06:56:24,0,0
这入门砖多少有点高了，键盘入门难道不是低价键盘吗[捂眼][捂眼],2023-01-21 13:05:22,1,0
回复 @CrystalSkys :七八年前我买的樱桃青就两百多不算低价嘛[tv_doge],2023-02-06 15:32:18,0,0
普通消费者/数码爱好者对机械键盘的认知大多从樱桃起吧，还有就是樱桃轴也算入门轴……？,2023-01-21 14:10:10,0,0
回复 @林捂捂 :55新年快乐！！,2023-01-21 23:38:58,0,0
新年快乐！！,2023-01-21 10:52:46,0,0
热插拔的优势其实是diy，随意混搭轴体、更换轴体。新出的轴体听说不错，买4个回来试试；键盘用腻了，键帽、轴体挂闲鱼卖掉，买一套新的试试，成本一定低于换一个全新的键盘。如果自己不想折腾，热插拔对比焊接就没有明显优势,2023-01-28 05:43:12,4,0
回复 @Lois1919 : 新键盘送过来的时候把旧键盘取走的，无缝衔接。而且就算提前取走的话找把备用键盘顶两天就完事儿了，jd物流正常最多隔日达。而且我这种不玩键盘的都有四把键盘，玩客制化的只会更多吧[脱单doge],2023-01-24 15:48:15,1,0
时间成本大啊。,2023-01-24 12:57:08,0,0
