评论,时间,点赞数,标签
真实了[笑哭],2023-02-01 10:56:31,1,0
左边那个是什么,2023-01-31 15:54:19,2,0
京东自营买的有线，盒子坏的269亏吗？,2023-02-28 08:09:57,1,0
高贵的无线版用户,2023-02-28 07:45:42,0,0
"中间刹车已经被我玩坏，金属滚轮生绿锈。
右侧边摩擦凹点。",2023-02-28 00:30:33,0,0
我的已经左键断触了,2023-02-27 16:38:20,0,0
这样急停会容易坏吗,2023-02-26 08:51:48,0,0
不应该是配重拉满吗(=・ω・=),2023-02-25 01:36:18,0,0
擦滚轮的时候才这样玩,2023-02-24 08:53:12,0,0
我hero，劝大家别玩，我把滚轮玩出异响了[辣眼睛][辣眼睛],2023-02-24 01:43:33,0,0
100多打折买的502hero(･∀･),2023-02-23 03:39:12,0,0
这个滚轮转这么快正常吗[笑哭] 我那个也转的飞起,2023-02-22 22:34:45,0,0
没加配重都困得不行,2023-02-22 12:12:30,0,0
满配重用了七八年，拿其他鼠标的感觉就像空壳一样，毫无手感,2023-02-22 05:42:33,0,0
从17年用到上个月终于扛不住中键失灵了[捂脸],2023-02-19 18:59:39,0,0
鼠标垫哪买的[doge],2023-02-19 10:06:44,0,0
哈哈哈哈我也喜欢这么玩~,2023-02-18 06:02:47,0,0
下面几个按键改声音大小上面两个改灵敏度中间该音乐播放暂停,2023-02-18 03:10:04,0,0
我无聊会把侧键扣下来放手里盘,2023-02-17 00:54:37,0,0
家附近网吧就是这个鼠标，玩穿越吃鸡啥的总是自动换枪，点子不好的十年套餐[捂脸],2023-02-14 10:46:52,0,0
回复 @䚒蓟醪 :配重块的盒子,2023-02-01 00:33:06,1,0
习武之人的核心,2023-02-02 17:38:28,0,0
那是习武之人锻炼神器[doge],2023-02-01 01:14:04,0,0
回复 @致爱丽丝的一封尾羽信 : 真的g了,2023-03-22 13:29:23,0,0
亏了，我京东自营全新只要219,2023-03-22 02:39:21,0,0
回复 @吃牢饭的打工人 :6，g502我只听过有升级版没听过有阉割版,2023-03-10 20:24:33,0,0
谁让你买无线[脱单doge]有线才200多点,2023-01-31 16:45:49,30,0
回复 @cnnnnncnn :狗屁王预算害得加一百多 而且我不怎么玩fps[妙啊] 狗屁王外观还没g502好看,2023-02-01 01:00:44,8,0
g502无线现在也不算贵了，但选择gpw会更好，原来用有线的太重了，换了gpw玩fps都不马了[吃瓜],2023-01-31 17:42:50,9,0
谁让你买无线[脱单doge]有线才200多点,2023-01-31 16:45:49,30,0
回复 @cnnnnncnn :狗屁王预算害得加一百多 而且我不怎么玩fps[妙啊] 狗屁王外观还没g502好看,2023-02-01 01:00:44,8,0
g502无线现在也不算贵了，但选择gpw会更好，原来用有线的太重了，换了gpw玩fps都不马了[吃瓜],2023-01-31 17:42:50,9,0
