评论,时间,点赞数,标签
[妙啊]万金油我选502or903，无极滚轮yyds，但是打竞技游戏轻鼠标确实yyds,2023-03-01 10:18:29,1,0
这就能水一起视频 真下头的UP主,2023-03-01 02:09:28,1,0
说话清楚一点就好了 含含糊糊的懒音 提点意见,2023-02-28 07:57:56,1,0
唯一的缺点就是打油和略重的问题,2023-02-26 17:03:38,1,0
拖尾音+气泡的UP，好难受。。。。。,2023-02-26 16:10:56,1,0
说了个啥？,2023-02-26 11:17:34,1,0
不知道有没有人用G703的，我是用了好几年觉得完全没啥毛病，除了鼠标中键会双击，有没有建议换什么比较好？,2023-02-26 15:36:59,1,0
gpw好不好用我不知道，但是g502对我这种手大的人真的太友好了,2023-02-28 06:53:54,1,0
19年入的，使用频率不算高，左键已经时不时连击了。要说手感，也没好到无人能及的地步，在就是microUSB充电口，能换个C口就好了,2023-03-12 16:01:53,1,0
402→903然后降级到304，贵也不一定适合自己，毒蝰和gpw都不太适合就没入手,2023-03-02 01:56:59,1,0
罗技鼠标啥都好，就是那个软件啊，我绷不住了[辣眼睛],2023-03-10 08:47:38,1,0
好不好用去看看世界上对鼠标移动精度要求最高的游戏csgo职业哥用的啥，很明显gpw和2代仍然很不错。,2023-02-26 00:30:23,1,0
我有gpw和gpw2代，如果能把gpw的按键改为光学按键，我绝对买爆。他的连点是真的难受。,2023-03-01 11:31:55,1,0
说实话 GPW就那样  罗技、雷蛇在我心中是不如冰豹的  [吃瓜],2023-02-23 17:23:11,1,0
正在用GPW忘记几年了,2023-02-24 11:20:32,1,0
早晚都得双击，一个都跑不了！[微笑],2023-02-24 18:09:50,1,0
打油不好用,2023-03-01 12:12:35,1,0
接口改成lightning,2023-02-23 01:00:40,3,0
19cm大手适合嘛,2023-03-25 16:48:00,0,0
你是真的懒啊！！！[笑哭],2023-02-22 13:21:53,5,0
我感觉这个要看dpi，本身dpi很低的情况下选择轻鼠标是对的，像我这种dpi接近3000的，用轻鼠总感觉很飘，不稳定,2023-03-09 21:09:38,0,0
灵敏的 毒蝰万金油 gpw根本打不过,2023-03-02 09:29:20,0,0
感觉毒蝰蝰蛇这些更好，但是就是没多少人用,2023-03-19 23:36:40,0,0
回复 @逆风的海帆 :那就说明模具还是不行，GPW天天被喷拉胯，但就是职业哥用的多，说明万金油模具还是挺好用,2023-03-20 00:17:18,0,0
