评论,时间,点赞数,标签
屏幕越大高刷更明显,2021-12-15 07:18:37,1,0
我管你多少刷，在我30hz屏幕里多少都是30hz[doge],2021-11-30 07:13:56,1,0
就这就这就这[嗑瓜子][嗑瓜子]小伙子120hz就满足了啊？,2021-11-15 08:35:43,1,0
哪一年的ipadpro，2021还是2020版本。,2021-11-30 07:56:25,1,0
你说120丝滑，谁还没120啊，关键人家的价格还没那么智商税,2022-12-23 15:29:35,1,0
视频不就60帧，看了个寂寞[无语],2022-01-15 15:00:45,1,0
什么壳,2022-01-24 11:02:35,0,0
iPad Pro掉帧挺严重,2022-01-22 15:34:49,0,0
请问任务栏最右边那个咋设置的鸭？[藏狐],2022-01-14 10:15:32,0,0
60hz升到120没感觉，但是用习惯在换回60觉得真的卡,2022-01-12 12:35:32,1,0
ipad就是充电这一块太恶心了，其他还好,2021-12-24 03:54:48,0,0
为什么13的高刷和ipad的高刷差这么远，怪不得苹果手机这么久才出高刷，库克是想告诉我们苹果的手机上高刷没用,2021-12-14 14:43:01,0,0
hi问一下桌面那个怎么设置,2021-12-14 13:44:04,0,0
我的是20版的pro,2021-12-13 10:04:20,0,0
我都不敢升级[doge],2021-12-10 09:47:06,0,0
ipad的电池容量多少，续航怎么样,2021-12-10 06:55:48,0,0
这个小组件是怎么让它随便摆的呀，我就只能放在最左边那一列……,2021-12-10 01:31:21,0,0
感觉自己手里的Air4不好了[藏狐][藏狐],2021-12-08 12:38:08,0,0
左上角那个芯片显示怎么调啊,2021-12-08 11:43:34,0,0
掉电也是真的快,2021-12-07 13:49:41,0,0
还有30hz的屏幕？,2021-12-01 08:01:28,0,0
回复 @这个人真的很神秘 :他可能说的是视频帧率[doge],2021-12-03 11:03:23,0,0
难不成你给我改一个144hz的[doge],2021-11-15 08:43:16,1,0
21年的，视频里面不是有一个m1嘛,2021-11-30 16:33:04,0,0
2021,2022-02-03 13:13:22,0,0
哈哈哈，确实,2022-05-20 11:47:05,0,0
尴尬住了[tv_doge],2022-02-03 13:13:42,0,0
嗯 毕竟B站压缩太迷了[藏狐],2022-01-24 11:51:19,0,0
哪个？,2022-02-03 13:13:55,0,0
11寸是8600毫安左右，最近才入的pro[tv_doge],2022-02-22 02:55:48,0,0
我也,2022-01-03 05:27:22,0,0
