评论,时间,点赞数,标签
20块卖了台“电脑”，还送货上门，我都不知道自己图什么,2023-01-30 08:03:31,20,0
想在闲鱼建便宜的洗洗睡吧，贪便宜只会被骗[大笑]👉,2023-01-29 14:47:50,46,0
"我年前遇到过一种诈骗方式，它要你加它其他联系方式（qq偏多），不在平台沟通的就是规避平台追踪，被骗了就没有保障了。
另外在qq上沟通的一律当骗子，它们会制作一个九成接近的假平台网页（只有支付界面能支付，其他链接都是没用的或者假的，比如网页地址，打开APP，查看卖家等等都是不能跳到闲鱼里面看的就是骗子）
最重要的是尽可能的不要相信真的可以低于二手平均价格一大截的商品，九成骗子，我的建议是可以在平台上如果多次出现超低价商品（可能几天看都会找到的那种，而且是不同卖家的），就跟所有商家多次沟通，询问商品情况，绝不能着急给钱（不要相信手快有，手慢无）。问的商家多了，你就会发现可能全都是同一个骗子，你就可以顺手举报了（什么芝麻信用都是假的）。
以上是我交了两千块从骗子那里学到的一些防诈方式。
另外警察送给我一份礼物，电信诈骗找不到金额线索的（收款人银行卡号），即使立案了也不会帮你追钱，只会好心提醒你以后不要被骗了
再者骗子怎么取钱，现在一堆交友软件可以进行充值提现，骗子骗你支付实则是让你在软件上充值（充之前你很难看出真假），然后进行提现，那些软件平台也不会帮你追的（平台要你提供警方的搜查令之类的东西，警察不会出的）
最后假客服，商品无法发货，快递员找不到什么的就不多说了",2023-01-30 01:37:17,18,0
从不捡漏。甚至加价。,2023-01-29 04:14:12,18,0
这视频说的跟没说一样，正常人谁都知道这一些,2023-01-28 22:38:06,28,0
之前卖个iPad，还在保。因为买新平板了就想快点出手，价格标的低，刚发出去就被拍了，不得不佩服贩子的手速[喜极而泣],2023-01-29 06:05:46,17,0
主要是闲鱼里贩子真的太多太多，最辛苦的事情就是找个人卖家这件事情,2023-01-29 17:15:59,38,0
[喜极而泣]在闲鱼，你甚至能把别人不要的东西改造一下让主人继续使用[doge]问就是我在闲鱼做床垫改造，笑死,2023-01-30 03:15:55,16,0
我27元淘到iPhone5s有锁[doge][doge][doge]（包括运费12元[笑哭]）,2023-01-29 01:45:49,15,0
我东西就卖便宜了，还寻思咋那好卖。有次卖几年不穿的衣服，买家说她蹲了好几年终于有人卖了，她很高兴。本来我是要拿去回收站的,2023-01-30 06:19:29,37,0
"蹲电脑配件方法还有一种：以电脑主板b350为例，几天前的b350普遍250上下，但是如果去搜索b350然后把价格压到最高200元结果大部分都是坏的、有问题、贩子卖\收以及挂贴的
这时候可以试试搜索1600套装或者其他的cpu型号套装 然后看看550元左右的，一般都是b350的版+u，那时候1600的市场价350上下，再问问卖家单主板出不出，一般190左右就可以拿下,这种方法对于现在amd主板涨价想低与市场价购买的人有点帮助
（我就是用这种方法的，前几天刚收了一块华硕b350plus）[脱单doge][脱单doge][脱单doge]",2023-02-02 14:10:21,14,0
现在闲鱼都是传家宝，建议去拼多多，拼多多能买到全新的，闲鱼估计还得加价[doge],2023-01-30 12:00:48,14,0
大家就不要学这种人了，脾气不好的会直接开骂,2023-01-30 08:10:18,42,0
咸鱼上卖的比拼多多还贵……有那时间我去干点啥都比看咸鱼贩子文案强,2023-01-29 11:39:47,37,0
我50淘的iPhone20promax[doge],2023-01-28 21:26:01,14,0
有机器人吗？我发东西都秒拍铁机器人，我也想加入[星星眼],2023-01-28 17:54:02,15,0
[笑哭]我妹在闲鱼花3000+买了个全新的美容仪，我觉得是那个批次的东西有问题，来来回回换了3个，都是坏的，两年过去了，钱也没退回来，美容仪也不能用，投诉到闲鱼也没用，只把卖家账号封了...,2023-01-30 10:29:34,13,0
我还是很喜欢咸鱼的。电脑衣服鞋子都在这里面购买。作为一个没有收入来源的大学牲，一件100多元的二手棉袄（其实还是很新的）质量相当不错，比自己买品牌货便宜太多[热词系列_身体健康],2023-01-29 11:02:12,34,0
还有一点很重要，不能犹豫，我好几次，遇到便宜的辣鸡，犹豫了一下，就没了。😂,2023-02-13 04:35:49,12,0
"买了个手表，被我砍到300元
用的第一天，第二天没什么问题
用了一个星期就炸了
好一个98新",2023-01-29 06:02:50,31,0
回复 @冷雨寒心 : 他这意思是各个部件分开买价格协商吧，设的低价可能是为例引流,2023-01-30 15:23:25,2,0
回复 @冷雨寒心 :一台电脑的网吧[doge],2023-01-30 10:43:08,1,0
开网吧,2023-01-30 10:06:01,0,0
不会啊 你没有捡漏过 没有真正体会过,2023-02-13 19:01:28,2,0
确实,2023-02-01 03:41:19,1,0
回复 @bili_45332051889 :昨天蹲到了一台  [吃瓜],2023-02-14 16:04:59,0,0
您好，需要老玩具吗？童年回忆吗？价格从优[脱单doge][脱单doge][脱单doge][脱单doge]闲鱼：怀旧拾光堂,2023-01-30 01:19:40,1,0
有钱啊[酸了],2023-01-29 12:51:57,1,0
"+1,s9e,450我加价格，她不愿意，算成功下车",2023-01-29 13:08:41,0,0
第一次接触闲鱼的人还真的不知道，用惯了淘宝之类的会以为对买家保护很好放松警惕，但是闲鱼上的东西鱼龙混杂所以说这些还是有必要的,2023-01-29 03:29:29,42,0
回复 @小小眼-下士 :对我就很有帮助！话说有的店家买的东西很便宜还包邮那亏不亏啊[哦呼],2023-01-29 05:12:58,5,0
"回复 @Deerain_ : 那得看平均价钱，还得看成色和配套，成色好的就贵反之就便宜，还有东西有没有配套，例如手机有没有充电器等，配套越多越贵，反之也是。这个是浮动的价钱，你不懂那东西可能觉得便宜，懂的就可能觉得贵。之前有个拍卖剪线键盘，我们所有人都是心理定价两百左右的，竞拍也是在这水平来回，后来就来了一个人直接开了三百，我们都在下面留言区都留：大佬！大佬！
其实都是说这个不懂行，价给高了如果翻车就亏死了。",2023-01-29 13:48:28,4,0
虽然我不用闲鱼偶然看到这个视频但是之前我看到过一个视频价格比市场价底的话都是机器人秒拍的,2023-01-29 06:14:23,2,0
都是机器抢的。,2023-01-31 06:49:42,0,0
对啊,2023-02-16 06:23:23,0,0
回复 @下沙不下雪 : [喜极而泣]接盘的买家：什么破电脑！（继续挂咸鱼）,2023-02-01 05:20:54,8,0
回复 @阙阙的定制床垫 :没，其实我拿到跟原卖家说的不符的就一个扬声器问题，但是新的买家只是拿来码文字，就刚好，他也挺开心的[脱单doge],2023-02-01 05:27:04,2,0
我之前咸鱼100收了个笔记本想自己用，结果到处都是问题，清个灰转手加价卖掉了[脱单doge],2023-02-01 03:59:59,1,0
卧槽,2023-02-22 15:53:20,0,0
"蹲几年。。。这是多念念不忘啊。
估计每次衣柜打开看见大号衣服就耿耿于怀。",2023-02-08 04:59:00,7,0
回复 @爱吃跳鱼的罐头 :外披，她之前在海鲜市场买了个大号的不合身，一直耿耿于怀，碰巧我出小号的还很便宜（￣▽￣）,2023-01-30 09:51:34,7,0
我喜欢香薰蜡烛，有款蜡烛绝版了，之前买了三个，现在没事就会去闲鱼搜一搜还有没有出的,2023-02-09 15:50:12,2,0
而且还特别理直气壮的[笑哭],2023-02-14 03:45:23,0,0
雀氏,2023-02-01 05:53:36,0,0
哈哈哈哈哈刚从上面评论看到五千直接往一千砍的[初音未来_大笑],2023-01-30 10:54:06,21,0
哈哈哈 我也遇到过一个 但他上来说话还算客气，标价一千七的键盘 直接对半砍，说自己手头不宽裕，也给我整笑了，好声好气解释了这个价格我不会出的，让他去买别的键盘[吃瓜],2023-02-03 10:54:21,2,0
这算啥，我一个952挂140同城自提价全好，一个********甚至要100自提，我当时挺后悔没把他引到医院挂科去[星星眼],2023-02-05 11:09:40,1,0
还有pdd直发的[吓],2023-01-30 09:23:18,6,0
回复 @乌樋 : 遇到过,2023-01-30 14:08:54,0,0
回复 @谢老板家儿子 : 模型机[脱单doge],2023-01-31 13:55:10,0,0
50？？,2023-01-31 13:54:48,0,0
加入了是能赚佣金？,2023-01-29 16:44:44,0,0
我没有，不过闲鱼确实很多机器人,2023-01-28 17:56:56,0,0
我在闲鱼 同城买了一套书柜一个衣柜 500 还是漆面的 花100找了个三轮车拉回家了 这在家具城得卖2000左右[笑哭],2023-02-08 21:47:28,2,0
确实，闲鱼穿的东西还挺不错，和店里面挂出来那种差不多，价格直接少很多[doge],2023-01-29 15:16:50,2,0
回复 @起司老板 :闲鱼里的日用品和家具什么的是在是实惠，我前段时间在闲鱼淘了一台茶吧机，全新的价格还只有原价的一半,2023-02-01 13:42:58,1,0
是的，上次一个高达五算450商家455，考虑买不买的时候就没有了,2023-02-16 15:28:14,0,0
"回复 @那可是你呀 :谢谢关心，人没什么事
当时早上起来闻到一股焦味，看了一眼手表
才发现手表屏幕都炸到半开了
充电线的触点都融化了
不敢再买二手的东西了",2023-01-30 21:52:14,16,0
98新（指1998年崭新出土[脱单doge]）,2023-02-03 04:21:33,10,0
[囧]炸了，人没事吧,2023-01-30 05:49:19,4,0
