评论,时间,点赞数,标签
我建议一定要去线下看手机，你在线上视频里看真的看不出来手机和手机之间的做工差距,2022-05-26 10:26:43,7,0
越不做本土化就越没销量，越没销量就越不想做本土化，这就是死循环，要训厂商要么训用户,2022-05-25 17:38:34,6,0
s8u好啊，我买s7+，因为没钱[doge],2022-05-25 16:28:26,4,0
这玩意超贵的。。。。赶紧三连了,2022-05-25 12:33:39,4,0
把爱留在SAMSUNG！,2022-05-25 12:15:49,4,0
好久没有人做三星平板的视频了[打call],2022-05-25 12:02:58,4,0
三星板子是有平行视界的，这几天已经适配qq和钉钉了，只是三星自己没有开放功能入口，需要自己调出来，而且bug有点多，但还算能用吧[虎年],2022-07-15 03:35:07,6,0
只要三星出平板就说安卓平板机皇！三星看苹果出个12寸的三星直接整个14寸的。苹果看三星整14寸的，直接来个16寸的。以后宣传标语都想好了，100寸大平板，大屏更舒适，办公更便捷。[笑哭][笑哭][笑哭],2022-05-26 11:13:39,6,0
我刚换的n20u想把键盘换成长按字母变成标点符号的该怎么设置啊[笑哭],2022-05-27 15:18:32,6,0
看到三星这个平板的样子，感觉都能折叠起来用，感觉屏幕太大了。你说以后会不会有折叠平板。[doge],2022-05-25 13:26:09,4,0
xdm，我想问一下现在有没有可以插电话卡可以打电话的平板,2022-05-25 13:10:12,4,0
画画应该整个clip studio来，够专业，而且屏幕越大越好，s8u真是太合适了。,2022-05-25 13:02:48,6,0
平板实用性怎么样，Spen看起来流畅度挺好的，值不值得冲一波～,2022-05-25 12:00:48,7,0
iPad Pro用户表示不设密码就不用抬起来解锁了，但转方向还要抬一下就很难受,2022-05-25 13:22:15,7,0
叫好，但是能叫座吗,2022-05-25 12:14:35,5,0
和iPad比有哪些优缺点[思考],2022-05-25 12:03:54,7,0
如果买平板我选择华为，因为我用华为手机传东西特别方便[doge],2022-05-25 12:12:52,9,0
手持m1 iPad Pro12.9，看到这个发布又入了个s8u顶配，圆满了我一直想要的超大屏安卓平板。不过性能确实是硬伤，说这u是旗舰吧，确实是，不过嘛都懂。。打游戏没法跟m1比，剪视频，更没得比。但这屏比列用+14.6寸，窄边框，用起来确实爽，习惯之后再看iPad Pro你会觉得又小又方[笑哭][笑哭]。而且很多软件不需要像苹果那样搞跨区账号下载，光这点安卓是用着比苹果爽太多了。dex模式习惯了之后轻办公方面比现在的iPados好用太多太多。虽然顶配是只有16+512，不过他可以加1t的内存啊～这不性价比一下就拉上来了？[doge]。某些厂商说插内存卡是低配机还有洗地的人，劝你好自为知[doge]。如果没有用过平板的话，那我建议还是买iPad Pro11寸的。有条件的人且有iPad Pro又以前用过安卓的，那我是很推荐这个，会给你很多意想不到的惊喜。。,2022-05-26 06:05:06,29,0
这平板买来肯定不是用来上淘宝，浏览网页的。都是用来画画，创作的高端用途。,2022-07-11 08:46:00,3,0
oppo应用商店内存爆炸，建议安装华为应用商店[doge],2022-05-29 05:37:34,3,0
是的。。东西贵不贵。。一模就能摸出来这东西确实是贵的。。。性价比那些东西一摸就知道是廉价的！！,2022-05-27 07:40:14,5,0
回复 @wgwgwg曼巴 :我前几天去小米店，小米手机带静电，吓死我了,2022-05-27 12:52:52,1,0
有些人偏偏中意小米华为,2022-06-11 07:31:01,0,0
其实就是不在乎中国用户，曾经国内销量第一的企业都不重视自己重要的收入来源，别人要自杀，还拦不住你有什么办法,2022-05-28 02:27:36,1,0
醒醒 7＋和8＋差不了多少，除非二手或者水货,2022-05-26 02:18:28,2,0
没人捉吗？,2022-07-14 04:48:35,0,0
能打电话，配手写笔的电视。[滑稽][滑稽],2022-06-09 08:52:05,1,0
三星键盘吗？在“三星键盘设置－布局－替代字符”里面,2022-06-06 14:36:44,1,0
回复 @乃琳今晚吃珈乐 :三星使用手册,2022-09-15 16:00:04,0,0
这个尺寸折叠悬停起来，直接一半当屏幕，一半当键盘，确实挺合适的。,2022-06-09 08:41:20,1,0
