评论,时间,点赞数,标签
散热无敌，试一下超频吧,2023-01-04 06:57:25,7,0
不是真的有人在手机上玩泰拉瑞亚嘛，根本操作不来,2023-01-04 05:08:28,2,0
求链接哈哈哈哈哈哈哈哈,2023-01-02 01:26:53,2,0
什么？这不是平板，这是一条压缩毛巾，你看它遇水后变大变高[doge],2023-01-01 05:22:31,15,0
为什么会说不卡顿，这不是肉眼可见的卡顿吗？[笑哭],2022-12-29 14:30:12,7,0
哪买的（ 刷debian能当网站机用 cdn回源公网带端口就行（,2022-12-29 08:27:34,6,0
up底部的虚拟按键是软件实现的，还是系统实现的[微笑],2022-12-26 12:47:25,2,0
上链接可以吗up，我想改成外接屏[脱单doge],2023-01-04 05:25:10,7,0
请问一下，如果自己想搞一个这种的东西，从无到有，大概要干会哪些技能？（除了焊接选材）,2023-01-05 11:34:44,5,0
乌克兰战损平板[热词系列_知识增加],2023-01-03 11:58:03,3,0
@开箱嘤嘤怪,2023-01-03 07:11:24,3,0
安卓6.0.1，16gb内存的平板路过,2023-01-01 14:35:50,3,0
炸药非常危险，但十分有效[doge],2022-12-28 05:12:18,8,0
应该是给物联网设备用的安卓开发开发板把[doge],2022-12-26 04:23:55,5,0
车机[doge],2022-12-26 03:44:59,5,0
安在厚书里面可以摸鱼[doge][doge],2022-12-25 09:41:58,3,0
一位靓仔点赞路过,2022-12-25 06:01:53,3,0
你敢看它敢炸[doge],2022-12-25 10:50:48,8,0
有阿，不包邮,2023-01-19 13:43:32,2,0
什么?这不是平板，这是压缩毛巾...不好意思走错片场了[doge],2023-01-10 09:08:27,2,0
嘣。。。。。。。。。。。。。。。。。。。。。。。。。。。。蓝星毁灭,2023-01-04 06:59:05,0,0
啊，其实也还好[脱单doge],2023-01-04 05:15:13,0,0
没了呀,2023-01-02 01:33:32,1,0
这只是刚开始有点卡，后来就好了[脱单doge],2022-12-29 21:15:02,1,0
某🐟[doge],2022-12-29 08:28:50,0,0
回复 @Fiuka :好的，多谢老哥,2022-12-27 11:35:52,1,0
回复 @Mmmmmkm :可以啊，等等[呲牙],2022-12-27 05:53:16,1,0
回复 @Fiuka :可以分享一下嘛[口罩],2022-12-27 04:48:50,1,0
没了，我这个是屏幕是七寸的，分内屏外屏，你可以去搜一下七寸显示屏和七寸外屏( ゜- ゜)つロ,2023-01-04 06:09:42,2,0
回复 @Fiuka :好的，谢谢up[脱单doge],2023-01-04 06:18:41,1,0
回复 @12071111 :毕竟果真10元的话，这么大的屏幕还是触屏简直太划算了,2023-01-04 05:44:01,1,0
电路图，P C B，layout，原料表，配件规格书，Bios适配。每一个都是航空母舰的学习路线，建议买电路板，买买配件组装一个。,2023-01-09 03:35:18,2,0
回复 @沉醉的女人 :好吧，倒也是这么回事[笑哭],2023-01-09 13:51:32,0,0
回复 @江影飞尘 : 买买配件组装一个，就跟台式电脑一样。从无到有的话，每个协议，每个标准都是几千页的学习资料。包括为什么要选用这个电阻，那个电阻，乱七八糟。最后就变成了，拧螺丝，没有任何意思，毫无快感可言。如果感兴趣的话，加入一个笔电公司去学习一下，也是拧螺丝的。,2023-01-09 13:02:01,0,0
不对不对[doge],2022-12-26 04:42:01,0,0
不对[doge],2022-12-26 04:42:08,0,0
现在可以投两个了[呲牙],2022-12-29 02:19:32,26,0
我试了，投一个投两个都失败，什么？我没有币？不可能！绝对不可能！,2022-12-29 13:19:43,113,0
回复 @Q群管家BOT :我还有1500多个币[脱单doge][脱单doge],2023-01-01 01:29:06,3,0
phigros！说真的，我想看这个[脱单doge],2023-01-05 15:37:53,7,0
回复 @Y沂先生Y :查了下，安卓4.4最高支持Phigros v1.4.2,2023-01-09 13:39:47,1,0
phigros！说真的，我想看这个[脱单doge],2023-01-05 15:37:53,7,0
回复 @Y沂先生Y :查了下，安卓4.4最高支持Phigros v1.4.2,2023-01-09 13:39:47,1,0
现在可以投两个了[呲牙],2022-12-29 02:19:32,26,0
我试了，投一个投两个都失败，什么？我没有币？不可能！绝对不可能！,2022-12-29 13:19:43,113,0
回复 @Q群管家BOT :我还有1500多个币[脱单doge][脱单doge],2023-01-01 01:29:06,3,0
