评论,时间,点赞数,标签
md我弟初中，学校喊他们统一买了个2000多的平板，结果根本没用，而且卡的一批，然后没过好久他们校长贪污被抓了[呆][捂脸],2022-11-23 12:59:09,2,0
太真实了，上次我舍友在拼多多300也买了一个视频里一模一样的平板，他开箱的时间我们的反应也和视频里一样,2022-11-23 10:05:33,2,0
商家含泪挣200[滑稽],2022-11-22 10:23:46,2,0
我在学校门口二手机小卖部花300买了个16G的iPad，主要是拿来打音游，打phigros，orzmic，arcaea，kalpa都不卡(能打kalpa我是没有想到的)，感觉比在拼夕夕买的板子要强[脱单doge],2022-11-20 11:46:29,5,0
我记得可以装linux。我还焊了个1T的u盘和网口上去，当个ftp服务器。,2022-11-20 04:43:46,2,0
石家庄GC职业技术学院会计电算化班让统一买的平板比这还卡 尺寸也更小 800块 必须买,2022-11-17 12:17:25,6,0
真的不推荐pdd买电子产品，之前百亿补贴买了个冰柜，回来机体就严重受损，商家都不管，还是平台介入，官方售后介入最后才给退的，要不运费我们还得承担[辣眼睛][辣眼睛][辣眼睛],2022-11-16 04:35:48,8,0
额…其实没觉得哪里好笑，这不是完全能预见的结果么，就和咸鱼上卖那些所谓女生自用的笔记本电脑一个套路,2022-11-10 09:13:49,6,0
300块你还想买的有苹果平板一样的性能呀,2022-11-09 14:01:22,2,0
还不如我12年299买的平板呢,2022-11-07 05:31:48,4,0
书白读了，,2022-11-06 14:17:27,2,0
如果是同学辛辛苦苦买的就别笑人家了[笑哭]，毕竟有就不错了,2022-11-06 09:02:59,5,0
这和平台没关系，你去tb和jd花300块钱买平板也是一样的,2022-11-06 08:46:44,7,0
我闲鱼买了个三百多的海信，拿来看网课的，很流畅，王者都能流畅玩,2022-11-06 06:25:03,5,0
真的是一分价钱一分货[笑哭],2022-11-06 03:34:11,2,0
笑死  系统都更新不了,2022-11-04 23:37:48,2,0
一听就是河源老乡了[脱单doge],2022-11-04 17:26:13,2,0
咸鱼捡了个200的2+64的魔改小米平板2，上网课推gal用的[吃瓜]，目前体验良好[呲牙],2022-11-04 15:04:46,2,0
客家话吗,2022-11-04 14:38:26,7,0
@小白开箱,2022-11-01 02:30:47,4,0
含泪赚250吧[doge],2022-11-25 19:56:13,0,0
回复 @澜汐Easule :air1？,2022-11-21 13:01:11,0,0
现在我录视频都是用的这个板子，能活到属实非常不容易了(),2022-11-20 11:47:08,0,0
回复 @わたし成歩堂龍之介 :你是懂某些学校的[吃瓜],2022-11-18 00:38:30,0,0
嘴里都是学习，心里都是生意。,2022-11-17 22:56:48,0,0
我现在这个一加8t，搁pdd2200买的，后壳摔稀碎，屏幕都没碎，甚至没贴膜[脱单doge],2022-11-21 08:10:14,1,0
也看商家吧，我pdd买的平板还行,2022-11-25 12:00:00,0,0
是的,2022-11-07 01:24:41,0,0
回复 @955KEEP :真的 你可以在b站搜一下，海信e22,2022-11-07 09:16:06,0,0
不可能吧。玩王者还流畅,2022-11-07 01:21:07,0,0
[脱单doge][脱单doge][脱单doge][脱单doge],2022-11-07 01:27:09,0,0
