评论,时间,点赞数,标签
"抽奖原则：
①永不缺席[doge]
②有奖必抽[doge]
③想要中奖[doge]
④完全在意结果[doge]",2023-03-25 00:17:11,1,0
生日当天就中一个呗[脱单doge][脱单doge][脱单doge]刚好手机刚碎[脱单doge][脱单doge][脱单doge],2023-03-25 01:24:19,1,0
随手参加，主打的就是一个参加。。。,2023-03-24 21:08:27,1,0
又来做分母了,2023-03-25 14:25:36,1,0
"非酋抽奖：
1.抽奖从不缺席[脱单doge]
2.抽奖从未中奖[笑哭]
3.妄想逆天改命[滑稽]",2023-03-25 05:34:46,2,0
想要台vivo 来刷你的视频。,2023-03-25 00:37:21,1,0
既然是给学生福利能不能把主播时间放到假期,2023-03-25 00:54:55,1,0
主打一个陪伴,2023-03-25 07:33:32,1,0
"非酋抽奖：
1.抽奖从不缺席[脱单doge]
2.抽奖从未中奖[笑哭]
3.妄想逆天改命[滑稽]",2023-03-26 01:26:58,0,0
"非酋抽奖：
1.抽奖从不缺席[脱单doge]
2.抽奖从未中奖[笑哭]
3.妄想逆天改命[滑稽]",2023-03-26 01:12:39,0,0
主打的就是一个做分母[脱单doge],2023-03-26 02:50:10,0,0
主打一个忍不住,2023-03-24 23:14:45,1,0
我比较好奇，为啥这么多up，都没有出华为的，感觉好怪啊，我还挺想要华为的平板和耳机,2023-03-24 18:22:18,1,0
莫辜负我滴朋友,2023-03-26 03:03:36,0,0
"非酋抽奖：
1.抽奖从不缺席[脱单doge]
2.抽奖从未中奖[笑哭]
3.妄想逆天改命[微笑]",2023-03-25 18:50:52,0,0
"①永不缺席[doge]
②有奖必抽[doge]
③想要中奖[doge]
④完全在意结果[doge]",2023-03-24 15:39:37,1,0
让我提前看看我的iphone,2023-03-25 22:56:25,1,0
中不了[酸了][酸了],2023-03-24 14:02:27,20,0
"①永不缺席[doge]
②有奖必抽[doge]
③想要中奖[doge]
④完全在意结果[doge]",2023-03-24 15:13:18,1,0
"非酋抽奖：
1.抽奖从不缺席[脱单doge]
2.抽奖从未中奖[笑哭]
3.妄想逆天改命[滑稽]",2023-03-25 15:36:15,0,0
一直参与直到中奖为止！[tv_抓狂][tv_抓狂],2023-03-24 12:18:17,5,0
大伙可以晚点填；上次都是5位数的中奖了且都是4w以后的；建议等两天填写[OK],2023-03-24 13:50:58,38,0
回复 @画中的你不说话 : 被你发现了漏洞了,2023-03-25 01:10:36,3,0
一直参与直到中奖为止！[tv_抓狂][tv_抓狂],2023-03-24 12:18:17,5,0
大伙可以晚点填；上次都是5位数的中奖了且都是4w以后的；建议等两天填写[OK],2023-03-24 13:50:58,38,0
回复 @画中的你不说话 : 被你发现了漏洞了,2023-03-25 01:10:36,3,0
