评论,时间,点赞数,标签
1099要啥自行车[doge],2022-11-05 09:37:03,20,0
00:45(｀・ω・´),2022-11-05 09:32:09,6,0
穷鬼，有什么二手苹果商家或者店铺靠谱的推荐吗[笑哭]除了鱼,2022-11-05 09:30:33,29,0
对于我来说这个价格一点购买欲望都没有，要么加钱买米板5性价比更高，要么省钱买小新pad或者酷比魔方，反正就只能看看视频，谁不是一样看呢。,2022-11-06 04:03:21,13,0
开头的雪山超级壁纸怎么弄得哎[星星眼]（手持5p）,2022-11-05 10:11:32,5,0
但是平板没必要省那点钱呀，买一个能用好多年，还是处理器好点寿命久点。,2022-11-05 12:46:56,15,0
"可惜联发科不好刷机。
MIUI太臃肿了！
类原生才适合中低端U。
小米平板5，目前正在观望",2022-11-05 15:53:19,7,0
握起你手中的触控笔，做点有意义的事情吧[大哭],2022-11-06 13:22:08,15,0
"真的好真诚，设身处地的为他人着想，说的太好了，你一定可以成为百大up[支持],加油[打call]",2022-11-06 03:09:13,5,0
这个级别的金属机身换成塑料机身成本不就下来了？竞争力更强了。或者把剩下来的成本加到支持手写笔上,2022-11-06 02:58:17,14,0
我看up有这么多平板，也不需要这一个，实在不行抽个粉丝送了吧[吃瓜][吃瓜],2022-11-05 18:09:57,5,0
可是我的手机8+打阴阳师某些活动都会卡，入门平板更跑不动了,2022-11-05 15:05:34,10,0
"别让我在看到这个机器了
手持小新pad2022
太酸了！！！",2022-12-27 03:23:15,3,0
1000块的红米平板，定位就是上完课+看视频用的，性能也没有完全拉胯，打打一些游戏也是能打，这个价位给的还是挺可以的了,2022-11-21 05:28:26,3,0
红米能不能用电容笔,2022-11-15 05:10:10,3,0
如无必要，勿增实体,2022-11-13 17:17:01,3,0
泡面盖温度很高，别用平板盖，得不偿失，小米平板5直接后盖给你鼓起来,2022-11-11 01:09:10,9,0
这平板定位就是去它喵的生产力，买来只为阿B爱奇艺。,2022-11-06 15:14:12,9,0
我的华为平板买了几年单纯用来看漫画。。。。。。。。。,2022-11-06 14:48:17,3,0
我们都45º人，在卷和躺之间反复横跳[脱单doge],2022-11-06 02:09:28,3,0
等等更香，估计两月以后就能1K以下,2022-11-05 14:23:38,1,0
回复 @视界之外的人 : 不必2月，首发那两天，pdd就可以领券4+128做到999,2022-11-06 03:16:29,0,0
感觉不如600的小新pad2022 。体验没啥差别 ！,2022-11-06 07:24:56,1,0
别的不知道，少于3000别买2手苹果,2022-11-05 09:38:06,3,0
二手苹果水太深,2022-11-05 09:51:31,4,0
二手水果水太深了，老老实实在正规的地方买吧[无语],2022-11-06 11:19:19,1,0
用特定版本的壁纸就可以在LCD上使用不能息屏显示的超级壁纸,2022-11-06 02:44:12,1,0
回复 @顺滑好心情 :昨晚我试过了，它壁纸横屏之后变得奇奇怪怪哈哈哈哈哈哈哈,2022-11-06 03:02:21,1,0
还不是因为穷,2022-11-05 12:55:03,3,0
你用好多年的目的是？省钱还是？你今年花1099买，明年起码能出5 600吧？你就损失了400，也享受了简单娱乐，这玩儿就是见仁见智而已，每个人需求和看法都不一样,2022-11-11 06:35:50,1,0
米板4的660不玩游戏的话，现在一样用[脱单doge],2023-01-30 21:29:34,0,0
金属换成塑料的成本省不了几十块钱，但会拉低购买欲,2022-11-06 04:28:33,9,0
成本下不了太多,2022-12-04 10:07:40,0,0
支持手写笔是营销策略，不是技术问题,2022-12-04 18:12:04,3,0
手机散热不行,2022-11-05 15:32:37,0,0
[疑惑]小米12S和红魔都是8加，小米12是六边形战士，红魔是性能狂魔，[吃瓜]小米12元神54fps红魔一直59fps,2022-11-05 16:02:34,0,0
说实话，挂网课的荣耀平板7，联发科G80，可能是我没注意，但阴阳师没什么卡过的印象[笑哭],2022-11-05 17:46:55,0,0
最开始，我也买了小新2022，看了会漫画，居然死机了，立马退了，换其他品牌了,2023-02-14 14:30:30,0,0
回复 @北望京烟 :？？？我有评价红米和小新哪个好吗？我只是说了一句他两的不同之处好吧。还有我还真有小新，目前没遇到什么问题，下次麻烦先理解一下再发言[呲牙],2023-01-06 05:24:16,0,0
"回复 @周星星同学请坐下 :您是真就纯云啊，买一个拿到手看看，一千块的东西，这屏幕只能看视频，我买来也只看视频
就这，还经常有断触误触的情况，不影响我看视频，但影响系统操作",2023-01-05 16:12:59,0,0
不能,2022-11-15 13:05:06,0,0
有故事呀[脱单doge],2023-02-08 10:20:08,0,0
