评论,时间,点赞数,标签
名字[doge],2023-03-25 12:54:31,1,0
没有5G，还是遗憾。,2023-03-23 12:10:08,3,0
何同学，别装啦，人人都知道是你了,2023-03-25 13:29:05,0,0
可惜没有5G[tv_委屈],2023-03-23 14:42:42,1,0
说实话，没有以前的感觉了。我不是很清楚到底是什么原因，但反正就是，感觉没有以前的那种热爱了（=owo=）,2023-03-24 11:25:49,0,0
"从外折变内折，从大屏没摄像头到挖空，从楔形设计回归到平均的机身设计

华为一直走在“正确”的道路上[妙啊]",2023-03-24 03:08:56,0,0
进步太大了，反而不敢买，要做等等党,2023-03-25 13:20:49,0,0
后置像红米都被各种删帖,2023-03-23 13:21:52,1,0
这个是给老板用的，不是给《苹果粉丝群》的【发廊妹/学生妹】用的,2023-03-25 06:57:17,0,0
这后摄造型梦回红米note9Pro,2023-03-23 13:29:03,1,0
芯片5g其实没那么在乎，刷个视频看看网站，多说斗个地主麻将。用过折叠屏的都知道防水多好使，就三星的防水,2023-03-25 00:19:10,0,0
我觉得不如厚积薄发等哪天麒麟回归再来个一鸣惊人，现在出些4G手机终归是小打小闹，没多少消费者买账[嫌弃],2023-03-24 13:59:59,0,0
要是上麒麟，那将是绝杀。可惜没法上，痛起来了,2023-03-24 15:27:43,0,0
这东西一般人用不着 主要是看文件方便,2023-03-25 14:01:27,0,0
这个视频没开声音看到画面第一眼就觉得是何同学的视频诶,2023-03-25 13:29:45,0,0
何同学你挺忙呀，忙到主号都不更了,2023-03-25 13:59:26,0,0
不管你做的多轻薄，反正我要加个厚重的两面壳,2023-03-25 14:00:38,0,0
[脱单doge]网上华为骂的凶！商城屁也抢不到！说好都不买的哪！,2023-03-25 13:10:13,0,0
应该是第一个有防水的折叠屏吧[吃瓜],2023-03-25 13:24:13,0,0
我疯掉了。手里的matexs那年17999原价买的 怎么后来出的都又便宜又好用啊[笑哭],2023-03-25 13:59:52,0,0
害，根本不在考虑之内，毕竟冰激凌4g不限量套餐还是挺香的,2023-03-23 13:05:00,0,0
华为外折和内折是Xs和X两个系列[笑哭],2023-03-24 13:23:54,1,0
正常人都可以看出来后置是模仿相机的，哪个红米有这个精致啊，,2023-03-23 16:19:21,4,0
"这种对称的背面不是从mate20浴霸开始的吗？
对称又圆圆的摄像头不是从mate30花洒开始的吗？40变成星环，怎么是红米？",2023-03-24 01:09:13,5,0
回复 @江南小米椒 :还记得以前说30那代开始的圆环贼丑，后来那个12也开始用圆形设计的摄像模组[吃瓜][吃瓜][吃瓜]真香警告,2023-03-25 14:46:07,0,0
比红米那个看起来高端多了，何况红米那个也是按mate30改的,2023-03-26 04:03:55,0,0
华子不是早就说开始研究6g了嘛，就是不知道射频芯片能造出来不,2023-03-24 15:32:16,0,0
不做就落伍了，而且还要养着原料供应商的技术迭代。,2023-03-25 14:14:31,0,0
渠道，品牌，企业组织和供应链条，重建不是一句话就能搞定的,2023-03-25 14:26:17,0,0
大号玩具啊，喜欢电子产品的很难忍得住,2023-03-25 23:34:00,0,0
