评论,时间,点赞数,标签
国产牛逼,2023-03-25 11:43:55,0,0
安卓机天下第一好吧,2023-03-25 10:07:30,0,0
华为确实好用[doge],2023-03-25 04:40:46,0,0
还是我的iPhone12mini好,2023-03-25 02:00:15,1,0
不如我的华为[呲牙],2023-03-25 03:07:29,1,0
别的不说，华为真好用[脱单doge],2023-03-25 03:40:19,0,0
开机动画都比华为久，你们拿什么和华为打啊？[doge],2023-03-25 12:21:58,0,0
支持华为,2023-03-25 13:44:16,0,0
看来都在用华为啊,2023-03-25 08:37:38,0,0
加油华为 加油拆那,2023-03-25 09:33:19,0,0
华为就是好用[打call],2023-03-25 06:01:39,0,0
还是我的iPhone好,2023-03-24 11:18:38,1,0
连用什么手机都骄傲了吗？特别是三星的[喜极而泣],2023-03-25 07:00:49,0,0
我记得当年三星和苹果好像还有互黑广告[笑哭],2023-03-25 04:54:53,0,0
改开机动画还是很容易的只要root一下就可以了[吃瓜][吃瓜],2023-03-25 05:05:09,0,0
安卓系统也不是中国的…鸿蒙是,2023-03-25 10:53:42,0,0
apple neo5 使用600天 丝滑得一批,2023-03-25 12:35:16,0,0
不如这个,2023-03-25 11:19:36,0,0
我在这里求一个这样的视频[doge],2023-03-25 09:44:13,0,0
不是撒尿？[doge],2023-03-25 08:07:09,0,0
手机型号右边那个笔是做什么的？[doge],2023-03-24 13:46:31,0,0
回复 @觉゜ :用来记录手机名称的，不然忘了自己手机叫啥名那多尴尬[doge],2023-03-24 13:54:13,0,0
回复 @觉゜ :这个型号的手机带笔，土鳖[doge],2023-03-25 04:25:22,0,0
你是买，还是卖呀,2023-03-24 06:42:32,1,0
回复 @我是啥233 :卖,2023-03-24 07:56:36,0,0
你是买，还是卖呀,2023-03-24 06:42:32,1,0
回复 @我是啥233 :卖,2023-03-24 07:56:36,0,0
