评论,时间,点赞数,标签
想问一下 为啥前天在这办了一个联通的那个云雾卡 然后前后有俩人都来给我送卡？ 第一个送来后激活了给工作人员微信付了100 第二个送来的就不要了 然后刚一看联通app发现话费倒是有100 但是流量只有不到100g 跟宣传的203g不符啊 而且不是说有200分钟的免费通话时间吗…怎么也没看到…是被送卡的坑了？第二个来的还穿了个京东快递的衣服 是不是第二个才是正确的？,2023-02-10 18:39:48,2,0
我还在用很久以前99块超出20g限流的无限流量套餐[笑哭],2023-02-02 17:00:48,4,0
19块100g，不过只能用五六个月 以后再换,2022-11-27 04:30:42,2,0
码住 刚充了300的卡 等用完了再来,2022-11-24 14:28:02,2,0
为什么我买移动的卡网速这么慢啊，叫什么悟空卡，好坑,2022-11-24 10:25:25,2,0
这种真的恶心，朋友当时要买还好我细看了，我给他找的物联卡,2022-11-24 10:00:15,4,0
还是喜欢以前5块钱一个月的,2022-11-02 07:41:05,4,0
"我是大一学生，关于这个梦想卡，我们学校快递员不能走动只能送到驿站，怎么激活？
我放寒假回家用不了那么多流量，可以不交月租吗？
我一直不交月租一直欠费，是会一直让我欠着还是会销卡呀？如果自动销卡的话几个月欠费会销？",2022-09-30 08:46:59,4,0
为什么我订的是梦想卡却显示是电信星卡？[无语],2022-09-24 11:37:47,2,0
已经四天了，还在审核，后来的希望慎重考虑吧,2022-09-24 05:29:37,4,0
一直想换卡，但是能不能换卡不换号啊，太麻烦了,2022-09-23 02:06:41,2,0
清河卡梦想卡这些，好像都是从一个基础套餐（比如月租69，30g通用流量，20g定向流量）升级到150g流量这种，这个升级只持续一年吗，页面上没写一年后套餐内容是什么，是可以继续有150g还是会变回基础套餐[思考],2022-09-23 01:44:10,2,0
上次订的卡已经过了10天了还没发[微笑],2022-09-18 16:09:34,2,0
"上当了怎么办，（联通100g,20元），真没想是文字游戏，最可恨的是我这儿没有联通基站，5g变2g.交了一百元只能认了，现在想吧损失降到最小该怎么办！[tv_难过]",2022-09-18 15:59:47,4,0
清河卡到底有没有合约呀？,2022-09-18 14:46:20,2,0
移动学霸卡4年套餐到期了，推荐一下后面报什么套餐好,2022-09-18 11:41:08,2,0
想问一下up，本人是大学生，在北京用什么纯流量卡会顺一点，更划算一点，平时上课打游戏啥的,2022-09-18 08:48:46,2,0
你好我请问一下 在淘宝或是抖音上9.9有一个月一百g的流量 那种卡还得让我在他们网页或者他们那种app上充值 可以用吗那种的,2022-09-18 08:40:37,4,0
9月11号申请的星奏卡能发货吗？[脱单doge],2022-09-18 07:19:25,2,0
星秦卡咋办理嘞，是一个卡会送到家吗？纯小白不懂[打call],2022-09-18 06:37:24,2,0
回复 @百發八中 :运营商发货时随机发jd/sf/ems这三个快递，你私信发一下申请时的联系号码，我帮你查查看是什么情况，记得备注一下问题,2023-02-11 02:12:59,0,0
回复 @流量卡表哥 :已私,2023-02-11 16:22:46,0,0
[doge][doge][doge],2023-02-03 01:33:44,0,0
[脱单doge][脱单doge],2022-11-30 09:48:40,0,0
[脱单doge][脱单doge][脱单doge],2022-11-25 02:10:23,0,0
习惯就好,2022-11-25 01:34:33,1,0
五格满，四个变弱，三格开始卡，二格一格也就打个电话了,2022-11-26 14:36:33,0,0
那就是4g的,2022-12-01 04:42:36,0,0
物联卡不太好诶[脱单doge],2022-11-25 02:09:41,0,0
那个是保号吧[大哭],2022-11-02 07:52:22,0,0
回复 @流量卡表哥 :我现在移动的8元套餐，照样打电话,2022-11-28 15:49:19,0,0
回复 @流量卡表哥 :不是，是套餐，有通话时间的,2022-11-28 15:48:36,0,0
快递员上门到，在学习就要去驿站，月租每个月都收，一年合约，要自己注销哦，电信没有欠费三个月自动注销哦[脱单doge],2022-09-30 10:13:20,1,0
星卡流量版（59）就没错[脱单doge],2022-09-24 12:11:23,1,0
嗯，你的意思是说卡没有错，是吗？,2022-09-24 12:27:42,1,0
回复 @流量卡表哥 :为什么我办的星卡只有20通用30定向   能改吗[笑哭],2022-09-30 16:22:46,0,0
你申请了不是百分百过审核的，很多因素可能导致不能发货比如你当地运营商政策不允许，或者诈骗发生比较多的地区，又或者疫情，甚至您写错信息都可能不发货。没有发货并不是您想的那样，还望您理解[脱单doge],2022-09-24 06:13:26,0,0
所以大家谨慎下单，申请失败了你都没有任何通知，只能干等着，期间也不好继续选择其他卡，我只能说谨慎下单吧,2022-09-25 01:55:41,4,0
发货了吗，我一直显示地址异常[无语][捂脸],2022-11-07 16:39:56,0,0
双卡手机可以看看【不换号还有100G流量，保号套餐➕流量卡副卡保姆级教程，这期移动联通电信套餐推荐，看完帮你省下一栋房-哔哩哔哩】 https://b23.tv/4IlOJTF,2022-09-23 02:18:58,2,0
回复 @流量卡表哥 :[doge],2022-09-24 03:51:51,0,0
回复 @流量卡表哥 :那先携号转网到电信，岂不是还能省点,2022-09-28 14:37:43,0,0
梦想卡可以长期，只是第二年贵一点，要参充值活动,2022-09-23 02:18:28,0,0
回复 @流量卡表哥 :梦想卡，限流吗？,2022-09-23 11:54:28,0,0
那就是没了[大哭],2022-09-18 16:18:28,0,0
没有合约就注销呗[大哭],2022-09-18 16:18:20,1,0
联通手机营业厅就有预约销户啊,2022-09-18 23:52:24,0,0
没有的[脱单doge],2022-09-18 16:14:38,0,0
回复 @流量卡表哥 :我问过玛卡巴卡流量卡的客服，她说有一年合约[辣眼睛],2022-09-18 23:38:42,0,0
看需求啰，看看评论区置顶的吧[脱单doge],2022-09-18 12:41:12,0,0
回复 @流量卡表哥 :不换卡,2022-09-18 13:19:12,0,0
看你当地基站，每个地方不一样[大哭],2022-09-18 09:44:24,0,0
便宜的离谱的百分百别信，运营商也要赚钱的，低于30 100g直接别理,2022-09-18 15:50:37,1,0
我买的不是预存的应该没事吧？,2022-11-01 14:57:18,0,0
回复 @三国杀之黄忠 :是得用他们的平台充值的那种。,2022-11-01 14:57:33,0,0
他可能是过了审核没有更新（只是有可能），最近竞合期，发货慢，可能要一周发货，不急的话等等看，10天还没到可能就没了[大哭],2022-09-18 07:33:31,0,0
嗯嗯，但是暂时下架了[大哭],2022-09-18 07:32:18,0,0
回复 @流量卡表哥 :[笑哭]难怪我找不到,2022-09-18 07:37:45,0,0
两年之后这个套餐到期之后会变成啥套餐哇,2023-02-24 07:40:16,7,0
回复 @Lil-Gho1st :星元卡可以长期[脱单doge],2023-02-24 07:42:03,2,0
这个卡通用流量一个月只有5G吗？不是130G?,2023-03-01 12:13:13,4,0
两年之后这个套餐到期之后会变成啥套餐哇,2023-02-24 07:40:16,7,0
回复 @Lil-Gho1st :星元卡可以长期[脱单doge],2023-02-24 07:42:03,2,0
这个卡通用流量一个月只有5G吗？不是130G?,2023-03-01 12:13:13,4,0
