评论,时间,点赞数,标签
我真买啊[打call],2023-03-24 02:22:23,56,0
原价买三星的不是真爱粉就是大冤种，喷三星贵的先了解一下渠道价，然后你在跟华为比一下，突然就有了性价比[doge],2023-03-24 12:50:19,4,0
"《熏哥》
07:29 ",2023-03-24 02:51:10,5,0
这啥啊，评论区想看看大家讨论，结果全是晒手机的[尴尬]现在买个手机这么值得显摆了吗？,2023-03-24 13:11:43,8,0
三星基本算小众了吧（国内）[doge][思考]基本没见人拿过（身边）,2023-03-24 03:50:09,5,0
我所谓我全都买,2023-03-24 08:28:01,10,0
你买我不一定推荐，但是真买我买了[脱单doge]等膜到了就开,2023-03-24 04:34:55,14,0
"为啥大家总是纠结goodlock
我觉得完全没必要，年轻的爱折腾的去搞也无所谓
我就简简单单设置一些就够了
从s10到note20u，再到s23u
我就只用过一两个月goodlock",2023-03-24 11:01:15,3,0
你买我推荐，是真滴舒服,2023-03-24 08:20:46,3,0
你买我不推荐，我买我是真的不买,2023-03-24 06:52:54,8,0
离开onehand一个多月了，想它想它，只能说用过one hand之后，再用任何一部手机都觉得缺点什么,2023-03-24 10:39:50,2,0
不懂为啥老是有人对三星手机抱有那么多成见，人家很多地方其实真的做的很优秀啊,2023-03-24 06:42:47,2,0
这必须留个言了[奸笑],2023-03-24 06:57:27,2,0
很好用，非常喜欢[脱单doge],2023-03-25 10:44:20,2,0
在王之蔑视处卡住了[脱单doge],2023-03-24 07:06:07,3,0
s23也很棒，就是没什么人做视频[热],2023-03-24 05:08:18,5,0
我买我真买[明前奶绿_真的假的？],2023-03-24 04:19:59,7,0
玩三星系统要脑子的，门槛有点高，只能给有时间爱捣鼓手机的人用，不适合普罗大众是真的。上个月从s20换到s23u之后，宿舍6个人4个换了同款[脱单doge],2023-03-25 11:29:17,1,0
工读生是真的魔怔,2023-03-26 01:47:59,1,0
我买我也真买[doge],2023-03-24 04:57:48,3,0
卧槽什么富哥[哦呼],2023-03-24 03:21:42,2,0
我买的紫色,2023-03-24 03:46:49,1,0
回复 @菠萝油王子LeungGor :太粉了 驾驭不住,2023-03-24 04:16:39,0,0
哪里买？[喜欢],2023-03-25 18:48:07,0,0
这啥劵阿,2023-03-25 21:27:00,0,0
[doge]如果以后有一天它需要去海鲜市场 请联系我 哦对了  请保护好我的新手机,2023-03-26 02:05:29,0,0
正常晒的还好，有的还特意非要阴阳怪气几句苹果、华为or全部国产机，这种就真的太让人哭笑不得了[笑哭],2023-03-24 17:33:19,3,0
手表的盒子拆了，还有s8u,2023-03-24 08:28:51,1,0
哥，咸鱼号多少?[脱单doge][脱单doge],2023-03-24 16:03:29,0,0
回复 @靓仔005 :[脱单doge],2023-03-24 16:16:01,1,0
14ps买的人是真少,2023-03-24 07:51:12,1,0
同s10换14pro，我买我真不买,2023-03-24 08:37:23,1,0
不喜欢不一定等于成见，就比如苹果用户用不惯安卓的系统不是成见，觉得安卓还想十年前那么卡顿才是成见。,2023-03-24 11:05:23,0,0
所以为啥他们不喜欢三星呢？也是不习惯么？,2023-03-25 07:09:38,0,0
回复 @anneqwe :因为会歧视你啊。为什么不在三星身上找原因？,2023-03-26 03:37:59,0,0
小杯好看 续航也可以  用了一个月真爽,2023-03-24 05:17:53,0,0
回复 @Number-052 :请问刷评论区的时候有没有感觉一顿一顿的感觉，就是翻快一些的时候，我的s23一顿一顿的,2023-03-24 06:13:17,0,0
我没遇到这情况[doge]我平时刷挺快的,2023-03-25 11:26:24,0,0
3+2 再过几年背面是不是得3*3个摄像头[tv_思考],2023-03-24 14:05:10,1,0
回复 @文强华强启强 :想象了一下，感觉好丑[跪了],2023-03-24 15:01:19,1,0
你们宿舍实力可以啊，全换超大杯,2023-03-25 15:27:15,0,0
有眼光[doge],2023-03-25 19:10:54,0,0
