评论,时间,点赞数,标签
坐等结局[doge],2023-01-14 03:30:43,0,0
要是手机直接给我访问并定量删除应用数据，就不会有微信QQ两个“3A大作”,2023-01-14 03:28:16,1,0
有用,2023-01-13 16:37:15,0,0
悲,2023-01-12 09:28:31,0,0
temp,2023-01-09 15:44:54,0,0
download,2023-01-09 15:44:31,1,0
cache,2023-01-09 15:44:03,0,0
别学，你永远不知道哪些无良的APP厂商会把重要文件命名成这些名字,2023-01-09 03:22:37,8,0
srds删完之后表示内存没变[微笑],2023-01-08 08:15:21,0,0
那四个文件全没有怎么办？,2023-01-05 01:52:47,1,0
其他占10G,2023-01-04 15:47:40,0,0
一堆废话，download想不懂你怎么好意思说出来的,2023-01-04 11:21:33,4,0
二万六的点赞，12万收藏。。。这很河里,2023-01-02 07:32:09,0,0
内存和硬盘是两个东西,2023-01-02 03:53:39,0,0
删了1.98gb，谢谢[星星眼][星星眼][星星眼],2022-12-30 14:10:57,0,0
13个g全是系统应用用的[doge],2022-12-27 06:31:42,1,0
我都删完了还是没地方,2022-12-25 12:28:41,0,0
DownIoa,2022-11-13 11:35:53,0,0
我寻思着有些游戏的存档存在手机缓存里。。。[辣眼睛],2022-11-12 11:52:16,2,0
恢复生产设置更好哇[doge],2022-11-11 02:13:42,7,0
我也把重要的文件这么弄了，顺带塞进去nomedia防止被发现[doge],2023-01-19 14:56:20,0,0
