评论,时间,点赞数,标签
没有小米的视频下面还会有人骂小米[吃瓜],2023-03-18 06:20:53,5,0
我iqoo11插帧烫到飞起,2023-03-22 15:49:15,1,0
帮大忙了，我一直都想知道这个原理，之前都是选插帧延迟低的，所以才买了GTneo3，但我感觉还是有流畅性帮助的，可能插帧芯片不一样吧[热词系列_三连][热词系列_知识增加],2023-03-17 14:15:06,32,0
原神插帧确实更流畅，5v5的竞技游戏明显感觉不跟手,2023-03-18 06:30:13,4,0
把独显换成RTX4090再买1999保证很吃香[doge],2023-03-19 14:49:29,2,0
请问能不能测一下视频插帧，看视频用插帧好的时候也是爽的，但目前几乎没有手机宣传视频插帧，以前小米10系列宣传过，但貌似只适配了一小部分机型，之后很多机型虽然有视频工具箱，但插帧开关都是假的，插帧根本不起作用，比如红米小米8+的机型都没适配插帧,2023-03-19 03:36:43,2,0
我用iqoo neo5插帧用起来说实话还行,2023-03-18 04:07:12,4,0
iqoo插幀数出来132帧会不会是480帧的帧率不能整除144的原因导致丢帧了[doge],2023-03-18 02:35:43,10,0
这个插帧的作用大不大是和插帧芯片有关吗，最早是iqoo neo5宣传支持游戏插帧，好像就是有个插帧芯片，但和现在iqoo的新手机的插帧芯片比应该差的多,2023-03-18 03:48:14,6,0
游戏插帧不就是一个噱头吗？那些厂商吹的好像跟物理帧数一样   [嫌弃],2023-03-17 13:56:00,111,0
ios的120hz也不是全局都有的，真希望电脑端迎来120hz，绫人多e几下，加上米卡，物理外挂[妙啊],2023-03-25 18:43:32,0,0
红魔：就这？,2023-03-17 13:28:11,122,0
游戏插针我就真不知道，但是我只能说小米的游戏模式是根本没用，我同学他开了游戏模式和不开游戏模式下帧率都不变，画质也看不出有啥区别，这是真的,2023-03-17 23:16:03,19,0
iQOO就是好，但是不跟手,2023-03-25 12:09:55,1,0
还好我买了iQOO[脱单doge],2023-03-17 23:34:14,135,0
iQOO11pro的插帧给我最明显的体验就是我的神里凌人能多砍一刀[脱单doge],2023-03-18 05:56:46,2,0
手持iQOOneo5插帧对原神有大用，其他fps类的有反效果但是其他fps类游戏不用插帧，帧率也很稳定了,2023-03-18 04:29:09,3,0
iqoo11用户表示，原神60帧画质中都热的爆表，更别说用144插针了，性能模式都不敢开，我是第一期预售买的，一开始还觉得可以，后来慢慢系统更新后手机玩的就越来越热，真是糙了。,2023-03-18 07:18:24,4,0
"iqoo11,插帧原神，升级了系统，须弥非常非常非常的卡，断触，一卡一卡的，不会很热，后面换小米13PRO了，须弥还是有点卡，不知道怎么说",2023-03-24 11:51:35,0,0
用了几部iqoo一直以为插帧就是噱头，毕竟一颗骁龙8+都不能一直保持60帧，一个小独显能比8+强？[哦呼],2023-03-18 11:43:35,2,0
的确，盲猜这波是一加没有认真优化，像极了一加ace不如GTneo3[笑哭],2023-03-17 16:29:18,3,0
同手机感觉插了就流畅了，开了插针屏幕能上90,2023-03-17 16:57:06,3,0
玩枪战游戏比较明显，其他影响好像小,2023-03-18 01:54:49,0,0
玩5v5竞技游戏还需要插针吗？我一直都用60针玩，很流畅，用的iQOO11,2023-03-19 07:20:08,0,0
IQOO11最新的系统版本更新了视频插帧，但是只对3个APP有用，B站，腾讯视频，优酷视频。效果来说是有的，但不如原生60帧，类似电视的MEMC，会出现一些糊帧。或许以后会更新本地视频支持吧，而且目前看来只插到60帧，插不到120帧,2023-03-21 13:58:37,0,0
回复 @xinhe :这个我X80一开始就有,2023-03-26 02:20:24,0,0
哪里开,2023-03-18 04:17:25,0,0
我的是neo5s  888的 开了感觉到王者延迟不跟手 帧数确实上去了 后来我就没用过了 感觉没太大作用,2023-03-18 04:20:17,0,0
回复 @想滚蛋了 :游戏魔盒开,2023-03-18 04:22:07,0,0
后面有解释,2023-03-18 03:00:41,0,0
因为剩下12帧还是复制的，不过这个复制比另外2个少了太多。,2023-03-18 04:19:00,2,0
iqoo neo系列都是独显芯片  IQOO数字旗舰都是V1 V2,2023-03-18 03:59:44,0,0
是的我从8Pro的独立显示芯片Pro换到11Pro的v2，感觉很明显，插帧更稳延迟也不太感觉到了，之前8Pro延迟还是有点高的,2023-03-18 04:28:50,0,0
有些还是认真地在插,2023-03-17 14:08:36,28,0
还是有用的我iqqoneo5插90针真的流畅身边人也看得出流畅不少,2023-03-17 14:20:24,10,0
回复 @千律人偶423号 :+1，就是有一点触摸延迟，但是还好，毕竟不是竞技游戏[doge],2023-03-18 01:03:11,1,0
红魔它一般是直接来，不插[吃瓜],2023-03-17 13:28:47,39,0
红魔7p那会确实干过作弊插帧这种事，不过7sp开始就直接暴力一条线了,2023-03-17 14:44:03,24,0
回复 @好机友姜唯 :8p发布会时有提过稳帧这个东西捏,2023-03-18 02:56:52,0,0
小米那个性能模式还是可以的，给你比较高的调度。游戏模式本身就是调设置亮度分辨率的，没啥加成,2023-03-17 23:27:24,13,0
游戏模式 我用下来就是调度更激进，不容易掉帧，稳定性高一些,2023-03-17 23:37:30,7,0
回复 @断臂の杨过 :我使用的时候，他那个调度怂的一批，功耗还这么高，所以我就基本上没开那个游戏模式了,2023-03-18 00:22:47,0,0
之前我也想买iqoo来着，但是origin的操作逻辑我是学不来[笑哭],2023-03-18 00:18:24,5,0
回复 @orchid小T :听我朋友说太花里胡哨了，有刷机圈的话讲就是给普通人用装满各种功能模块的MIUI[笑哭],2023-03-18 00:38:43,6,0
买来别升级系统就行，我一直都用iQOO，刚买来是哪个系统别升级就行,2023-03-18 03:59:34,1,0
你说高画质热我还信，中画质还热……………,2023-03-18 10:52:47,0,0
玩游戏还是带个散热背夹吧 多少有点用,2023-03-25 17:02:51,0,0
降低分辨率,2023-03-25 17:00:36,0,0
实际上有没有这破插帧芯片都一样，强的还是8+,2023-03-18 14:51:06,2,0
就是噱头，延迟，动态画面模糊，只有静态显示的时候不影响画面效果（都静态了还需要啥插帧提帧），与其插帧还不如直接手动调整降低分辨率稳60玩。,2023-03-22 12:39:30,1,0
回复 @Mg迷迭 :只能说iqoo还好，好歹是真做了。荣耀和1+真是卧龙凤雏，就是吹牛逼，显示帧率上升了，真实帧率还降了（荣耀最离谱功耗还上升了，1加同功耗比原生画面低10几帧的帧数）,2023-03-22 12:45:08,0,0
