评论,时间,点赞数,标签
bgm是什么[doge],2023-03-24 13:54:35,2,0
我从来没坐过飞机，停留在飞机起飞时候还要开飞行模式断网的认知，想问现在还是这样吗[鼓掌],2023-03-25 16:50:36,0,0
无法离地的飞行,2023-03-26 03:33:52,0,0
高铁呢,2023-03-25 14:48:31,0,0
音量键拍照是什么说法,2023-03-26 04:39:39,0,0
迪迦里面那个蝎子怪,2023-03-26 00:19:42,0,0
下次我坐飞机叫上你[doge],2023-03-24 14:04:10,0,0
这是哪里！,2023-03-25 07:49:37,0,0
@机器工具人 听歌识曲,2023-03-26 04:55:31,0,0
@机器工具人 歌曲识别,2023-03-26 02:53:57,0,0
什么手机[星星眼][星星眼],2023-03-25 15:33:37,0,0
拍得好,2023-03-26 00:15:52,0,0
那个水印怎么做,2023-03-24 15:01:43,0,0
全靠后期了,2023-03-24 16:08:25,1,0
不知道以为你偷拍呢,2023-03-24 17:15:18,1,0
三连了[脱单doge],2023-03-24 04:31:00,0,0
谁出门坐飞机会带两部手机呀？[笑哭],2023-03-23 13:24:34,1,0
学习了[打call],2023-03-24 04:14:48,0,0
呃呃,2023-03-25 19:21:14,0,0
welcome home,2023-03-24 15:27:17,1,0
啊 ，我现在才知道飞行模式是上飞机时开的。,2023-03-25 18:49:35,0,0
安排[doge],2023-03-25 21:45:12,0,0
不是不行[doge],2023-03-25 01:46:35,0,0
回复 @中二的范同学 :你这算是迎男[doge]而上,2023-03-25 03:33:24,0,0
最后是川西的格底拉姆[打call],2023-03-25 07:50:32,0,0
"您请求的音乐详细信息如下:
歌曲名:Welcome Home, Son (Remastered)
艺术家(歌手):Radical Face
专辑:Ghost (Anniversary Edition)
请求的时候歌曲已经播放至:N/A(总时长N/A)
谢谢使用!
音乐识别技术由 BiliApi 提供
(本次识别结果来自缓存。若认为视频投稿已经换源导致缓存失效, 请考虑使用-f参数强制识别)",2023-03-26 04:59:43,0,0
是find x6自带的呢,2023-03-25 21:45:36,0,0
赞赞赞[打call],2023-03-24 04:31:20,0,0
都是一部可以完成的[doge],2023-03-23 13:26:13,0,0
可以弄一台小米MIX 2s改成Windows 11系统，用来做后期。电脑太大，太麻烦了。,2023-03-24 12:40:58,0,0
[OK],2023-03-24 04:15:25,0,0
