评论,时间,点赞数,标签
开发者优化是不可能优化的，量太小没收益或者收益甚微，而且还要维护更新，费时费力[歪嘴],2021-08-16 12:08:09,11,0
小米华为的视频底下就是好玩，天天对线[doge],2021-08-16 22:20:51,28,0
哪来那么多华为小米啥的，那个好用便宜我用那个,2021-08-17 01:41:26,6,0
我只想吐槽居然还是USB2.0，我还指望外接HDMI去给人上课呢，结果还得带笔记本电脑[藏狐],2021-08-16 13:04:31,23,0
今天早上去拿的，还不错，不过我这边的小米之家真绝，平板到了充电器没到，过两天我还要在跑一趟[捂脸],2021-08-16 12:49:09,6,0
平板里面空间那么大，上个888感觉散热也压得住？,2021-08-16 13:06:36,19,0
果然绝大部分的正常人都在评论区[藏狐],2021-08-17 03:07:15,8,0
平板要景深有什么用？为了双摄而双摄。。。。。。。。。还不如吧景深换成长焦镜头，学生考研党什么的拍课件都是很好用的，这个景深是在没有看懂。。。。,2021-08-16 18:07:06,25,0
评论区一边倒了啊，你小米板子做怎么样，非拉华为出来鞭尸，格局也就这样了[吐](K30ultra用户，小米6三年机主),2021-08-16 16:57:59,15,0
你家ipad有？既然不说iPad，为什么又说小米？老双标了,2021-08-16 12:40:10,35,0
沙碧米板不支持拓展储存[生气],2021-08-16 13:07:37,10,0
求求那些吹的人去实体店体验一下吧，现在这个优化真的不行（也可能是我个人属实接受不了）笔也是真的有延时，上手体验后就能感受出来，而且不管那个软件。（不知道是不是笔长时间没充电原因）一直都在吹的八扬声器，我一开始听还想吹一下，然后我用我自己小米十放了同一首音乐，我瞬间蚌埠住了。连小米十手机扬声器都没法打。除了价格扬声器体验真的不好。（除非你就是想买回去打个原神，那挺不错，毕节平板散热好不会烫手）（也别说我瞎黑，济南恒隆三楼小米实体店体验结论）,2021-08-17 02:19:22,30,0
不求别的，goodnote marginnote这两个软件放到安卓平板上，立马扔iPad[保佑],2021-08-16 13:09:23,7,0
虽然今年的安卓平板真香。但是我还是选择iPad[doge],2021-08-16 12:07:51,21,0
热评都搁这儿虚空对线呢？[疑惑],2021-08-17 01:54:35,5,0
某些人只能在这自嘲得到安慰了 什么UP养什么粉丝,2021-08-16 16:02:28,48,0
为什么不拆三星TAB S7+,2021-08-16 12:13:33,5,0
买前生产力（            ）[doge][doge],2021-08-16 11:57:45,14,0
好家伙 我就说怎么总感觉vivo那个板子这么简陋，，，，，只能说没有对比没有伤害,2022-04-11 14:51:55,5,0
欢迎来到米家up评论区,2021-08-17 04:19:53,27,0
回复 @YuriMirror :iPad基数那么大，淘宝天猫照样手机版，就是不优化[doge],2021-08-16 13:09:17,6,0
现在安卓平板开始发力，越来越多手机厂商要做平板，这就是逼着软件开发商要适配[doge]不适配就只会被淘汰和骂,2021-08-16 12:39:56,2,0
回复 @Dienon :iPad上的淘宝不是跟华为平板小米平板一个样的吗？HD版的那个阿里早就放弃了。,2021-08-16 13:40:43,1,0
回复 @不在为人方能高人一等 :铁蛋也不少啊[辣眼睛],2021-08-17 00:15:53,5,0
"甚至可以钓鱼🎣
虽然一般不钓[doge]",2021-08-17 10:45:19,3,0
回复 @狗猴大战 :虽然是但是好像豪威被国资全资收购了  虽然沃野说不好这算啥,2021-08-17 23:42:41,0,0
好用有时候不便宜，便宜有时候不好用。。。。而且是多数,2021-08-19 12:13:06,0,0
这个原因是小米的私有协议是pd改，私有协议，pd协议和USB3.0没法和三唯一，只能二选一，小米选择了pd和私有,2021-08-16 19:42:26,2,0
我的联想小新padPro是USB3.0，支持HDMI[doge],2021-08-16 13:27:13,2,0
小新Padplus和pro支持USB3.0视频输出，我就在用[脱单doge],2021-08-16 13:10:05,2,0
回复 @ICER艾思 :啊这[惊讶],2021-08-16 14:46:47,0,0
回复 @你不会忘记我的对吧 :不懂哦[藏狐],2021-08-16 13:21:32,0,0
回复 @木木MOTO :不是的，好多都是分开发,2021-08-16 13:09:02,0,0
回复 @米家智能电动汽车 :直接换金属后盖就解决散热了,2021-08-16 14:35:10,3,0
我好像在小米评测看了。不知道是不是。原神54升，温度不超过40度。[歪嘴][响指],2021-08-16 14:49:51,1,0
造价就高了撒。而且大部分平板性能其实都够用。卖贵了就不好卖。,2021-08-16 14:29:41,1,0
平板后置应该是超广角和潜望长焦两个镜头就可以了，景深就是用来凑数的。,2021-08-16 18:42:18,4,0
潜望是不可能的，现在潜望都没下放到中低端，中低端即使有潜望那素质也拉到不行[笑哭],2021-08-17 01:02:08,2,0
回复 @晓羽君9420 :看看小米的财报就明白了，它手机业务毛利率非常低的。,2021-08-18 12:48:21,1,0
回复 @阿伟念旧人 :表述事实＝海啸[捂眼][大笑],2021-08-17 01:40:33,12,0
好家伙，你这备注真灵性。。。你去看看别的视频底下，小米都快被喷死了，要不是销量世界前几，我都以为小米倒闭了,2021-08-16 18:45:38,7,0
回复 @GRAY-啊 :海啸年年有，今年特别多[偷笑],2021-08-17 02:32:42,5,0
震动吗？说这话的，都是华为的粉，因为主流平板产品，只有华为有，独树一帜，不吹这还吹啥？,2021-08-16 13:26:13,17,0
