评论,时间,点赞数,标签
xdm，我笔记本的显卡驱动装不上，但是各种检测软件都能识别到我的显卡，请问是什么情况,2022-08-28 10:04:04,11,0
省流助手：倒卖二手机却被寄回，维修厮大意失眠三天，最后换电阻轻松秒杀,2022-08-27 03:04:57,27,0
看到插电显卡寄我的本能反应是这个https://b23.tv/BV1FU4y1E71J [doge][笑哭][笑哭][笑哭],2022-08-27 03:21:30,11,0
up回收电脑主机吗？要是手的话以后更新电脑的时候打算卖掉老主机,2022-08-28 02:08:59,7,0
一次不差，都在撤硕[疑惑],2022-08-27 03:01:53,7,0
刚进厕所打开b站，直接就看到了，还是一分钟前的，维修厮怎么知道我什么时候上厕所[doge],2022-08-27 02:58:52,13,0
看来老丝还是有点儿真东西的[doge],2022-08-27 05:50:09,9,0
笔记本充满电，关机马上开机，电池就变成80%，大家知道这是什么问题吗？,2022-08-28 14:41:17,5,0
Bug复现才是好的。莫名其妙正常才是最难受的,2022-08-27 17:21:04,9,0
我以前第一台戴尔的笔记本.插了充电器打游戏很卡.不插充电器直接巨流畅.去官方检修也查不出原因.[微笑],2022-08-27 16:29:31,8,0
我有一台电脑，开机一直滴滴滴的响，然后自动关机，之前花五百块修了一次没弄好，还有酒[嗑瓜子],2022-08-27 09:57:54,5,0
神舟的电脑不要碰，容易碰到锻炼本。,2022-08-27 08:47:01,11,0
"我的Z7M-CT5NA买回来后，每年都会出现相同的问题，开机后风扇狂转同时伴有蜂鸣报警器的嘀嘀嘀的声音，响一段时间后就关机了，我反复开关机近一个小时了都还是这样的，昨天刚把机器寄返厂维修了。
今年是这机器的第三年，也是这机器因为同样的毛病去的第三次维修[热][大哭]",2022-08-27 07:22:29,5,0
"老厮二手电脑在哪里卖的啊,我想去搞一台",2022-08-27 03:53:45,5,0
DDR RAM的分壓最好不要用電阻。用regulator 比較好。,2022-08-27 03:50:19,5,0
昨晚没更新我一整天都没上大号（wc），结果刚才有感觉了，上厕所就更新了，还好还好没有便秘[脱单doge][脱单doge][脱单doge],2022-08-27 03:07:16,9,0
2021年入了一台z8-ca5nb，到手一个月就掉显卡驱动，重启又能打驱动，只能说这是神舟的老毛病了,2022-08-27 04:48:25,8,0
兄弟们，昨天我的小新也出现这种情况，刚开机啥都没干突然蓝屏关机，我重启发现核显 独显全部是禁用状态，我电脑是不是出问题了,2022-08-28 05:55:31,4,0
老厮换镜头了吗，还是擦干净了镜头,2022-08-27 12:52:34,8,0
二手贩子×  二手机延保✓,2022-08-27 04:28:38,4,0
也是这个问题,2022-08-28 10:05:11,1,0
什么电脑,2022-09-04 18:05:23,0,0
回复 @NotF_404 :我跟你情况一模一样。也过了质保。售后一问就让换主板,2022-09-04 11:20:05,0,0
电池跪了。。。,2022-08-31 00:14:45,0,0
这叫该换电池了,2022-08-30 07:56:45,0,0
电池寿终正寝,2022-08-28 18:29:03,0,0
你这笔记本怎么反着来啊？[喜极而泣],2022-08-27 16:38:27,1,0
那估计就是电阻挂逼了,2022-08-27 17:15:06,0,0
这种情况大概率是你在开机过程中插冲电器导致的，要么开机前插，要么完全开机过一会儿再插,2022-08-28 08:05:51,0,0
矿船的名号可不是白叫的[嗑瓜子],2022-08-27 10:38:27,0,0
回复 @幸亏下课 :唉，返厂吧。我20一次，21一次，22今年这是第三次，今年是过保修期了，机器刚寄过去还不知道维修需要多少钱呢[热],2022-08-27 07:33:55,0,0
我也一样的毛病[笑哭]，我放了两个月没用一开机就和你说的情况一样[大哭],2022-08-27 07:26:23,0,0
这不就矿机吗,2022-08-31 10:38:40,0,0
我想卖,2022-08-27 10:01:41,0,0
Ldo貴啊，電阻才幾個錢[doge],2022-08-27 13:10:47,0,0
回复 @翠园中心 :快一年了，我真的讨厌这些麻烦事唉,2022-08-28 11:29:53,1,0
我也是小新经常蓝屏习惯了已经,2022-09-15 07:52:17,0,0
可以直接售后,2022-08-28 09:30:27,0,0
