评论,时间,点赞数,标签
是的，买了显示器过来评价，更快模式的鬼影看了三天，整的人眼睛疼，出门都没法聚焦，一直搞不懂为啥，这下知道了[大哭],2023-01-07 02:15:55,4,0
你们有没有听到后面有电流声,2022-11-12 04:30:52,4,0
和飞利浦那款怎么选,2022-06-15 13:04:24,4,0
能测一下新出的X32 FP吗？,2022-06-12 16:24:10,4,0
lg中国是真的贵，27gp95r卖4999。我在lg德国官网买gp950只要4900。,2022-06-12 12:23:47,6,0
六月初天猫旗舰店包完美4649。[支持],2022-06-12 09:59:28,4,0
PS5每次打开关闭游戏都会黑屏一两秒，是HDR的原因吗？,2022-06-12 09:33:37,4,0
已经用了一个星期了，个人感觉很满意，打apex也非常爽，看HDR电影也很不错。亮度非常给力！优点可以说盖过缺点了。,2022-06-12 06:59:26,9,0
小雪人升级后更专业的测评第一次给了gp95r足以证明这款显示器的水平[高考加油],2022-06-12 06:50:05,10,0
血书LG C2 42寸,2022-06-12 05:18:48,6,0
退了京东的95r买了雪人家的279M1rve,2022-06-12 04:44:09,6,0
希望市场来个 去rgb流大降价 一个rgb灯就值9000块钱。世界上最贵的小灯了吧。感觉rgb灯就是涨价的营销手段看看小米无rgb一股清流。,2022-06-12 06:02:01,6,0
弹幕有些人，天天挂灯挂灯的，被洗脑了？,2022-06-12 04:31:10,9,0
居然还是这种辣鸡侧入分区调光，真有你的LG,2022-06-12 06:19:11,6,0
显示器评测区的李荣浩，好评！,2022-06-21 10:34:14,5,0
已经你们家订货了，希望你们不要不识抬举，赶快给我发货，不错的话。再搞一台[doge],2022-06-15 20:17:50,6,0
测试了老头环HDR和大表哥，感觉暗部细节不太行啊。和旁边的索尼电视比暗部细节都丢失了，这还比950好，那950得啥样[笑哭],2022-06-12 08:57:30,6,0
怎么说呢，没用过GP950，直接上的95R，暗部细节如果是开HDR模式我玩大表哥基本没有,2022-06-12 04:25:59,5,0
还是得说一下 这个4k160会不间断的偶尔黑屏1秒，根本没发日常用[辣眼睛],2022-06-12 04:06:10,5,0
"[高考加油]一人血书
优派VX2880-4K-PRO-2
2499的4K144HZ还是牌子的显示器这个价格",2022-06-12 13:13:10,6,0
千万别用更快,2023-01-07 02:16:07,0,0
有，显示器开机一会就启动哒哒哒的声音，关闭显示器哒哒哒一会才停下。好像是那风扇声音。,2023-03-21 22:01:57,0,0
新买的 我新买的有 之前的没有,2022-11-15 05:24:49,0,0
有！而且还有风扇的声音，塑料味吹出来，有点难闻！[思考],2022-11-13 16:05:41,0,0
都一样，你还可以看看外星人，联想啥的[doge],2022-06-27 07:49:51,3,0
回复 @嗯额嗯额你说的对 :？咋做到的,2022-06-13 15:46:45,1,0
六月初，小雪人家包完美屏4400+下车。[吃瓜],2022-06-13 02:05:32,1,0
回复 @美娜meina :二十年前，小雪人家包完美屏倒贴我1w下车。[吃瓜],2022-07-10 09:15:12,0,0
回复 @ArmBoom :大家都会我就放心了，以为就我这样,2022-06-14 06:11:23,0,0
正常，PS5只有进游戏的一瞬间（和关机）才会进行HDR模式切换，电视机也一样 黑屏一下,2022-06-14 06:08:27,0,0
