评论,时间,点赞数,标签
[吃瓜],2023-02-14 12:30:51,2,0
不能接受,2023-02-16 14:04:01,1,0
小赚？我不能接受,2023-02-16 13:11:05,1,0
其实不是卡的问题，是对于人心的认识不足。多半是不会直说已经挽救过的,2023-02-16 13:10:05,1,0
抽奖永远与我无缘，又省下两个币，开心😁,2023-02-16 13:08:43,1,0
省流:买a卡,2023-02-16 11:46:08,1,0
快了快了  七千币了,2023-02-16 11:01:50,1,0
这都能AMD YES的么~~~~也太离谱了吧哈哈哈哈哈,2023-02-14 13:48:17,8,0
[妙啊]真-女生自用的卡，完全没拆过，也从没想过去改装什么..一张1660ti跑了三年还好好的，年前换卡在小黄鱼650出了。讲道理我认识的姑娘们闲鱼出这类东西的不是没有，账号的动态和卖东西的记录很容易发现是真的女生，问的人巨多，一般一两天马上就全出手了~,2023-02-23 09:21:36,1,0
怎么知道中奖了？,2023-02-16 14:38:17,1,0
二手市场和玩狼人杀一样,2023-02-16 14:34:54,1,0
给你点个赞，但别赌了，让咸鱼那帮玩意坑钱就难受,2023-02-14 12:52:31,13,0
"第1次装机大家帮我看看有什么问题
配置列表：
CPU  R5 5600六核十二线程 可超频 散片 738元
主板  华硕 PRIME A520M-K 399元
散热  天极风 A100两热管 无光 17.5元
内存条  科赋雷霆 海力士CJR DDR4 3200 16G(8G*2) 289元
显卡  RX6650XT8G蓝宝石 白金版OC 2250元
硬盘  西数SN570 1TB NVME 469元
电源  振华铜皇额定550W铜牌 329元
机箱  航嘉 暗夜猎手5 白色 83.5元
显示器  ktc h24t09 plus 699元
总共：5273.5
各位大佬机箱还有什么推荐求求了，想换一个机箱[抱拳][抱拳]",2023-03-04 13:21:12,1,0
可以在视频里曝光那几个不如实描述的卖家吗？,2023-03-03 06:00:44,1,0
现在要赌卡，不如去实体店淘矿卡，或者去废品站淘垃圾,2023-02-15 00:43:56,2,0
咋抽呀,2023-02-16 11:47:42,1,0
笔记本有像风扇润滑不足异响震动咋回事,2023-02-16 13:32:23,1,0
我的一键三连也是在赌一个中奖的机会！赢了别墅靠大海，输了夜场露大腿！,2023-02-16 15:32:24,1,0
赌狗赌到裤衩变三角,2023-02-28 04:56:40,1,0
正片开始：3:35,2023-02-23 04:38:54,1,0
应该是卖家yes,2023-02-14 13:50:48,0,0
"○呐,圆圆的[doge]

——来自多看一眼就会爆炸的华为儿童手表3PRO[doge]",2023-03-03 06:49:23,8,0
"○呐,圆圆的[doge]

——来自多看一眼就会爆炸的华为儿童手表3PRO[doge]",2023-03-03 06:49:23,8,0
