评论,时间,点赞数,标签
我从来都没有见过烟雾式鲁大师练太极功休息上厕所的时候在抽大烟,2022-09-17 09:34:41,1,0
这个up主让我看到了人与人的差距😖😖😖,2022-09-12 05:52:40,1,0
几十块钱的电脑显示屏，你把背板卸了一样是透明的[doge]价值直接翻倍是吧？哈哈哈,2022-09-12 13:36:27,1,0
音响不错,2022-09-11 08:15:19,1,0
666,2022-09-12 09:04:08,1,0
本来想赞，但不忍打破250赞,2022-09-11 05:24:29,1,0
这不是之前200的电脑嘛[脱单doge][脱单doge][脱单doge],2022-09-11 02:17:39,1,0
请教，IPS屏显示和背光是同一根排线，把背光膜撕掉后是不是还要把背光供电给剪了？我找不到哪个位置,2023-03-22 07:37:34,1,0
手机,2022-10-06 15:29:07,0,0
更新一个做手机的。,2022-10-06 15:28:52,0,0
更新。,2022-10-06 15:26:19,0,0
不觉得很[墨镜]吗？后面的我忘了[脱单doge],2022-10-04 01:51:14,0,0
背带呢？,2022-10-03 05:44:57,0,0
牛逼哄哄啊兄嘚，,2022-10-02 15:36:05,0,0
原来屏幕剥离就行啊下次我也买个电视试试[吃瓜],2022-10-01 09:01:50,0,0
原来49999的利润这么高[滑稽],2022-09-30 11:04:09,0,0
嗯，透明的见过，透明会冒烟的还是头一次见？,2022-09-29 07:31:09,0,0
律师函警告,2022-09-29 06:59:48,0,0
资本化,2022-09-28 09:55:15,0,0
不错啊，我喜欢,2022-09-28 09:14:13,0,0
