评论,时间,点赞数,标签
up很专业,2022-12-21 00:46:32,3,0
手上的充气宝，偶尔拔管不能正常触发开机操作，有时候很慢很慢抽开就行。闲置很久了，刚好up的视频有指导性，准备自己修来试试。请问up能点拨一下么，先三连感谢了！[脱单doge],2022-12-20 13:59:30,1,0
就冲这3秒钟  我要投两个币,2022-12-20 08:44:46,1,0
你会火的,2022-12-20 08:39:36,1,0
可以模型喷漆用吗,2022-12-20 06:36:39,1,0
缺点，线太短了。,2022-12-20 05:20:24,2,0
买了快半年，pdd100多，给我电动车配的，确实有用，只要不是轮胎扎穿了，我就能用它轱辘到修车的地方[doge],2022-12-20 04:49:25,1,0
我用了一年了，平时放后备箱应急，每次轮胎扎到钉子以后就先用充气泵给轮胎补补气，然后开到汽修厂补胎，也不用换备胎，平时还能给电动车打打气，挺好的，但是电池容量比较小，不过拿来应急是足够了,2022-12-20 04:23:56,4,0
模具仿真部分相当不错,2022-12-20 04:16:24,1,0
可不可以娃娃充气？,2022-12-20 04:09:34,1,0
除了噪音大几乎没有缺点。,2022-12-20 04:07:07,3,0
你这评测我看着就不错[脱单doge],2022-12-20 03:32:01,1,0
做意式咖啡神器[doge],2022-12-20 03:16:12,6,0
我就买了一个，放在自行车后包里面，充气贼方便,2022-12-20 03:04:33,1,0
低温工作不行，充满电，冬天放车里，大概零下 5度左右，一个轮胎从胎压1.6充到2.2就没电了，还不是大轮胎，夏天用着还行,2022-12-20 00:09:08,4,0
牛啊，工业设计前来学习，快来人关注啊！,2022-12-19 15:03:25,1,0
三连了，结构大湿,2022-12-19 13:09:37,1,0
很有参考价值[脱单doge]，不知道为什么iPad看是黑屏[笑哭],2022-12-19 12:28:30,2,0
这个外壳确实可以[脱单doge],2022-12-19 12:24:36,3,0
同款用了两三年，主要问题如下：1.拔下导气管就开机的功能没用一个月就失灵了，现在需要摁按键开机；2.自动停机不准，实际气压比表显高0.1bar；3.电池衰减还是有的，现在连达四条车胎，2.0打到2.4，就需要重新充电。[无语]车用的话，建议大家还是买那种插点烟器充电的,2022-12-20 15:17:01,4,0
视频4:34他指的那个微动开关换了应该就能好，动手能力好的话拆开处理一下触点应该也行,2022-12-20 15:06:54,1,0
感觉楼上说的对，就洞口那个开关，拆开直接触发看看，有问题换一个,2022-12-24 15:53:45,0,0
不错，这必须点赞回复[打call],2022-12-20 13:40:20,0,0
仍需努力[打call],2022-12-21 13:29:37,0,0
有一个保压模式 不知道好不好用,2023-01-04 09:46:36,0,0
B站上有这么干的，可以搜搜,2022-12-21 10:25:40,0,0
喷不了吧，有那种喷模型的罐装的漆,2022-12-20 13:13:44,0,0
回复 @叮咣拆机 :又不是找老婆，外观不重要，实用才是关键,2022-12-20 13:53:53,0,0
是有点操作受限，不过再长点影响整体外观了,2022-12-20 13:11:57,0,0
看来你是刚需用户,2022-12-20 13:30:13,0,0
放后备箱你不怕炸？,2023-01-07 17:48:51,0,0
本来就是探索试试，结果忙完第二天就阳了，看来是值得的,2022-12-20 13:47:12,1,0
买回来两年，自己用过3次，帮路人打过2次，应急确实不错。,2022-12-20 17:47:41,0,0
万物皆可充，搞个试试呗[doge],2022-12-20 04:50:25,0,0
嗯嗯，第一次运行吓我一跳,2022-12-20 04:45:02,0,0
[给心心][给心心][给心心][热词系列_吹爆],2022-12-20 04:50:54,0,0
是啊，之前给篮球、平衡车打气都是盲打，这玩意引入数据的概念挺好的，再加上电控，确实方便,2022-12-20 13:19:28,0,0
这玩意对汽车来说。只能起到应急补气的作用。对对两轮才有充气效果,2022-12-20 00:32:30,2,0
这个支不支持边充边用？,2022-12-20 03:21:30,1,0
回复 @梵Tall先生 :并没有虚标，低温影响电池而已……,2022-12-20 14:19:51,0,0
牛，不错，讲究[奥比岛_击爪],2022-12-20 04:55:47,0,0
不敢当啊，感谢支持[抱拳],2022-12-19 13:31:56,0,0
那必须，只做有价值的分享[响指],2022-12-19 13:20:47,0,0
确实可以，第一个设计者也不知道从哪学来的,2022-12-19 13:26:08,1,0
回复 @白哔哩 :是，单纯给车用还是点烟器靠谱,2022-12-21 13:23:47,0,0
之前买过途虎定制款，尤利特代工的，50块钱，三年了好得很，还经常借同事打气，车载还是插电的好使,2022-12-21 11:35:10,0,0
:  后面打空格了，没法跳,2022-12-25 13:52:18,0,0
回复 @彼岸之间001 :点击播放之后才能点着跳,2022-12-26 11:06:29,0,0
cycplus有个399的迷你电子打气筒，和airpods盒子差不多大，希望up主能找个拆开看看[doge],2022-12-28 13:40:45,0,0
:  后面打空格了，没法跳,2022-12-25 13:52:18,0,0
回复 @彼岸之间001 :点击播放之后才能点着跳,2022-12-26 11:06:29,0,0
cycplus有个399的迷你电子打气筒，和airpods盒子差不多大，希望up主能找个拆开看看[doge],2022-12-28 13:40:45,0,0
