评论,时间,点赞数,标签
"对于玩游戏的设计师有高性价比的屏推荐吗[妙啊]，27英寸2k的，平时大型休闲3a，对画面色准有要求,刷新率希望高点，120hz用习惯了,响应速度外观品牌都无要求[doge]",2022-06-01 08:15:27,4,0
玩玩3a，不玩FPS，友达2.3是不是也可以考虑[doge],2022-05-31 11:26:23,7,0
不着急买的可以等等 下半年有更好的选择,2022-05-31 10:08:05,4,0
泰坦军团那款miniled怎么样呀比ktc便宜500真的心动了,2022-05-31 09:23:46,4,0
xv272k求评测[妙啊],2022-05-31 08:48:06,7,0
6100闲鱼买了一台pg32uq，卖家给的购买记录是今年5月份才买的，希望到货不会出问题[妙啊],2022-05-31 05:09:00,4,0
DP2.0要来了，打游戏要买中高端高端显示器最好还是等等，现在带宽都不够，4K144都是靠抖出来的。下一代显卡才支持DP2.0,2022-05-31 04:22:58,11,0
这种直接拿着面板推荐，自己按照价位选购真的很有参考价值。,2022-05-31 04:08:44,9,0
所以27gp95r和飞利浦279m1选哪个呀,2022-05-31 04:42:09,7,0
大佬们，有没有Mac外接显示器推荐的,2022-05-31 13:07:13,6,0
还有万人血书LG48GQ900,2022-05-31 12:26:07,5,0
友达2.3的泰坦军团4k144miniled 3999 分区背光比ktc的多一倍 到听雪人这么一说是不是要退了呢,2022-05-31 14:58:26,6,0
"SPECTRUM 4K 144Hz显示器了解一下？

LG27GN950同款面板，98% DCI-P3广色域，HDR600，对比度 1000：1

基本亮度 450 尼特，峰值亮度 750 尼特

1ms GTG响应时间，同时支持AMD FreeSync和兼容英伟达G-Sync

接口十分强大，包括 2个HDMI 2.1 、1 个 DP 1.4、USB-C（支持100W PD 协议的充电功率），额外 3 个拓展 USB 3.2 接口

同时支持 DSC 技术，单 PD 就可以实现 4K 144Hz

618直降2400元，到手仅需3999元，可？[doge][doge]",2022-06-13 06:52:44,9,0
还是两千档位更平民一点[笑哭],2022-06-03 07:17:57,6,0
飞利浦27e1n8900京东618好像5099就能买到了[笑哭]对能接受60Hz刷新率OLED的人还是很香的,2022-05-31 23:56:06,6,0
KTC 4k144 miniled到手只有4099了,2022-05-31 12:24:23,6,0
还是等友达2.9的面板，下个月应该就出了,2022-05-31 09:09:29,6,0
vx2880 4k pro，除了色域不行还有其他缺点吗？,2022-05-31 05:50:11,3,0
HKC Pg271q 这款miniled在1999了，能买吗[喜欢],2022-05-31 04:30:58,3,0
去年双11卖1W2，今年618卖4999，今年双11卖3499交个朋友？,2022-05-31 04:25:25,3,0
求,2023-02-12 12:46:58,0,0
我也是同样的需求,2022-06-08 18:20:26,0,0
想玩ps5 又可以做设计的屏幕,2022-06-03 17:40:00,0,0
回复 @挖苦挖苦稀得一路 :我是从2k的aoc qxp/d换上来的 可能响应时间也没有特快 所以我没有什么感觉  不过买这玩意感觉都是看自己需求  r8面板确实响应快 颜色可能调教的好一些  但是miniled黑的够黑 亮度也有1000nit  对比r8的1000比1对比度优势也是很明显  我个人是看电影 玩3a  目前来说是觉得这个miniled要香的多 像csgo玩家那还是上r8吧,2022-06-03 03:39:40,4,0
回复 @sinaiw :我根本看不出来。。。。很少玩FPS。。。。,2022-06-05 09:27:54,0,0
回复 @sinaiw :主要就是响应时间慢了点,2022-06-03 03:30:17,0,0
回复 @不会存在的名字 :看预售。。基本差不多价位,2022-06-02 00:10:28,1,0
回复 @不会存在的名字 :现在处于老面板清库存时期。。,2022-06-01 15:53:12,1,0
回复 @克格勃驻地球办事处 :友达新面板是4K160 HDR600的吧。。有些商家会标出来，或者直接问客服,2022-06-08 17:30:30,0,0
回复 @sinaiw :泰坦就是联合创新下面的品牌，口碑实话一般,2022-07-07 17:17:00,0,0
回复 @齐辰雨 :请问具体有什么问题呀，我之后ktc4100买了是觉得ktc会更新固件，电源异响给换，有评测买了感觉稳一点，但是一直对泰坦军团1152分区和3999念念不忘想着退不退ktc呢  就是一直没评测,2022-06-09 09:42:47,0,0
很垃圾我已经退货了[无语],2022-06-09 05:26:17,0,0
回复 @你是内个内个 :主要是怕屏幕有问题,2022-08-26 05:09:12,0,0
回复 @你是内个内个 :我最近闲鱼上看4799 想入手,2022-08-26 05:09:31,0,0
回复 @星川可可 :显示器没什么翻车的吧，我的那个很新的，卖家才买了一个月，有发票记录。,2022-08-25 11:15:43,0,0
4K160+10bit444+HDR，DP1.4都够用，没必要等DP2.0,2022-05-31 04:34:04,6,0
"回复 @一贱清新2 :DP 2.0接口标准早在2019年就敲定了,而是标准组织VESA在终端调试方面因为疫情延期,导致至今都没有相关显示器、显卡问世。
AMD宣布，下一代显卡将转为DP2.0，从而实现4K 240输出。显卡没延期，至于显示器延期不延期，就是看清这些老库存清得快不快。看跑不跑得过显卡[滑稽]",2022-05-31 05:20:36,5,0
踢我,2022-05-31 07:04:38,1,0
Lg啊 价格都差不多 就砍个电磁炉 小学生还说提高了对比度 lg自己的面板自己调教不比第三方好？,2022-05-31 05:42:36,1,0
踢我,2022-05-31 05:36:53,1,0
lg ultrafine 5k,2022-06-08 07:35:11,0,0
"4k60就行，小米4k,up850,u2723qe都可以",2022-06-03 06:10:30,0,0
同求,2022-06-01 13:30:12,0,0
"我也买了这个 
但是确实目前没测评",2022-05-31 19:20:46,1,0
我也买了，不知道为啥说慎重[笑哭]打算等测评出来再决定退不退了,2022-05-31 22:13:44,0,0
回复 @柚子欧尼酱zzz :有文章测评，但是内容比较少，还是要等实际体验怎么样吧,2022-05-31 23:36:30,0,0
用的怎么样,2022-11-01 11:36:00,0,0
我也买的这个，高刷没啥用没需求，HDR玩3A很不错。,2022-06-22 08:27:18,0,0
付定金和不付定金一样的价格，老套路了[tv_doge],2022-05-31 13:28:56,0,0
为啥我看一直是4499啊,2022-06-01 02:49:33,0,0
回复 @阿窝额衣屋吁 :应该只有5月31号晚上8点到12点是这个价,2022-06-01 03:27:48,0,0
回复 @军校宅了四年 :微星的MPG321UR和华硕的PG32UQ都用的2.3面板，目前已知优势是2.9响应速度更快，原生160hz,2022-06-15 07:38:16,2,0
回复 @其实我爸爸是你爷爷 :每个面板各有特色。我是觉得目前JD 6500价位的32寸友达2.3面板肯定不如下个月新出的友达2.9面板，而且价格可能同档次品牌后者更低点，所以想等等。,2022-06-06 02:45:43,1,0
回复 @konam2017 :都9月了还没出，当初看你这条一直在等[笑哭],2022-09-11 14:16:32,0,0
回复 @因吹撕铤 :值得啊，分辨率摆在那,2022-06-05 08:18:36,0,0
回复 @SevenTi :对比gp850值得入手吗,2022-05-31 23:33:07,0,0
-2只要2499,2022-05-31 14:54:00,0,0
3999有可能,2022-05-31 05:56:47,0,0
