评论,时间,点赞数,标签
关注up了，我日版续航动森限定还好好的，因为我也不知道撒时候抽筋就先关注了[笑哭],2022-07-06 08:32:05,8,0
up，我这有个ns，开机之后音量总是自己跳到最大，按音量键也小不了，一直按着home键跳音量，调下来之后等一下又跳到最大,2022-07-06 07:14:26,5,0
老任就是能用两毛的材料给你造卖一块的零件，就不会用三毛的。而且据说仓库还有好多屏幕没卖完，不知道新版还会不会用老屏幕[脸红][脸红],2022-07-05 15:10:53,12,0
《插孔耳机重度依赖》[doge],2022-07-18 10:06:48,4,0
我的手机开机只能开一会然后就黑屏了qwq，检查说是主板坏了，不知道只修不换主板多少钱呢[大哭],2022-07-13 01:55:29,4,0
用心做游戏，用脚趾甲盖做游戏机，预算全花在游戏上了[doge],2022-07-06 16:10:22,7,0
手柄漂移可以修么 我上次去我们这边的店里修 就换了个摇杆 收了我130 太贵了[大哭]，某宝一个摇杆也就二十多,2022-07-06 08:17:46,4,0
人家明明什么都不懂，就说要修主板，所以说有的时候还是专业的靠谱,2022-07-06 07:28:36,4,0
老徐，老徐，你这边能硬破国行吗,2022-07-06 02:12:25,4,0
看了几期视频关注了，希望以后不会私信up主[笑哭],2022-07-05 13:11:56,7,0
up真良心，咱先关注，等咱出问题在来[脱单doge],2022-07-05 12:10:33,4,0
"想问问up我手机的问题怎么解决
玩游戏会疯狂掉帧但重启后会正常运行但是手机达到一定温度后退出再进游戏会暴卡掉帧游戏能运行但是非常卡
保持一定低温后大概过个15分钟只要没有后台运行玩游戏也不会掉帧但温度感觉烫但不是非常烫的时候关闭后台再进游戏依旧会掉帧我这个大概是什么情况
然后就是开小窗口看直播或qq加载图片之后会自动往左上角放大图片不能自己手动调回去必须要退出图片再点才可以直播的话要进软件再开小窗才能恢复
我手机大致有这两个bug[保卫萝卜_问号][保卫萝卜_问号]",2022-07-16 12:43:03,7,0
upup，我的Switch一开时间长了热了后屏幕就开始有残影和密密麻麻的横竖交叉的黑杠，屏幕右边会有几根黑线一跳一跳的，第一次出现在保修期内跟客服反应过，后来有事没寄，第二天好了，然后没怎么用过以为好了，结果这段时间玩的一多发现还是有这个毛病,2022-07-19 22:36:34,3,0
Up 我的switch很久没用，前两天想玩玩，发现充不进电了是啥情况[辣眼睛],2022-07-16 12:39:16,2,0
从来不去商家那修，都是找朋友修的，从来没听过什么cpu问题什么的，维修费最贵是一百二（请了一顿饭）[笑哭],2022-07-06 12:35:27,6,0
那为什么插上耳机就能避免接地？！耳机和铝壳有啥联系吗,2022-07-06 08:47:07,7,0
那么为什么带耳机不影响呢[口罩],2022-07-06 08:26:25,2,0
不懂就问 为啥插耳机就没事[脱单doge],2022-07-06 08:18:00,2,0
可以问一下一般出问题的是国行还是日版,2022-07-06 02:34:33,2,0
牛逼,2022-07-06 09:18:17,5,0
回复 @佬徐徐徐徐徐 :好，我试试,2022-07-07 02:15:00,0,0
是的,2022-07-06 16:16:28,0,0
回复 @佬徐徐徐徐徐 :音量排线么,2022-07-06 15:15:29,0,0
被宝马车主亲自辟谣的谣传就不要再信了，库存，上哪整那么多库存去，一辆新能源车型能卖1000万就不错了，那点供货的库存需求都不够ns这种亿级消费品塞牙缝的,2022-07-12 02:55:52,0,0
据说？据哪里的说？Aya的尾巴大叔说NS的OLED屏幕是订制的，买不到，去年老任还下调了出货预期，今年财报材料采购费用也是暴涨，还搁这传库存屏幕的过时谣言呢[尴尬],2022-07-09 18:30:02,0,0
一个摇杆20多？你被骗了，正常价格是7块一个，多买还能再便宜点儿，真品,2022-07-12 02:58:10,1,0
25邮费自理,2022-07-06 08:19:27,0,0
现在要七八百了,2022-07-06 08:19:55,0,0
排线松了吧,2022-07-27 01:35:51,1,0
有可能是屏幕,2022-07-21 20:13:13,1,0
回复 @看天skggfv :好，谢谢，我开学去专卖店看看,2022-07-27 02:10:30,0,0
拿大功率激活一下,2022-07-21 20:17:26,0,0
插耳机那条短路的线路不工作了 感觉猜测是这样的,2022-07-06 09:10:01,0,0
个人猜测有可能是用耳机的时候 短路的那条线路主板不使用了，所以测不到它短路就不会报错了,2022-07-06 08:39:08,2,0
就不接地短路了呗。这东西挺玄学的可能是插上耳机的话那部分供电就不从那儿走了。,2022-07-06 08:36:54,1,0
插耳机那一路的电就断了 没用到那条线就等于没断路  猜测的[捂眼],2022-07-06 08:19:04,1,0
回复 @佬徐徐徐徐徐 :好的宝贝,2022-07-10 03:21:32,0,0
回复 @bb小帅锅 :很小概率 只是日版买的人多,2022-07-06 09:43:43,0,0
回复 @佬徐徐徐徐徐 :我超[tv_难过]我就想买日版,2022-07-06 09:39:41,0,0
大家修机器还是不要找淘宝那些销量排名前面的了吧 血一样的教训 再次感谢老板,2022-07-05 00:59:11,1252,0
回复 @一碗知识面 :曝光一下，好主板都被换掉了。,2022-07-06 04:11:27,458,0
大家修机器还是不要找淘宝那些销量排名前面的了吧 血一样的教训 再次感谢老板,2022-07-05 00:59:11,1252,0
回复 @一碗知识面 :曝光一下，好主板都被换掉了。,2022-07-06 04:11:27,458,0
