评论,时间,点赞数,标签
麻老师，小米超大杯都测了，vivox90pro+也测一下吧[笑哭],2022-12-11 15:14:10,0,0
实力,2022-12-06 19:58:49,0,0
原图在哪里可以取到嘞？,2022-12-03 15:38:44,0,0
哈哈 我也是12su小机主一枚 今天去街上拍了一下 有兴趣可以来主页看看 （水平很一般 随便拍的哈）[吃瓜],2022-12-03 12:33:25,0,0
老师买12sultra能学摄影吗,2022-11-28 08:02:18,0,0
12s能不能出一个[难过],2022-11-27 16:26:04,0,0
11u拍出效果差别大吗,2022-11-27 14:35:36,0,0
麻雀大人!! 问您下！小米12su 值得买吗？还是等小米13 会不会更好,2022-11-24 10:02:55,0,0
麻雀大人!! 问您下！小米12su  算不算是最好的手机了，比iphone14 max  是不是更好用啊！！！,2022-11-24 10:02:24,0,0
我也是看了你视频买的12su,2022-11-22 05:08:55,0,0
多出点小米相机专业模式的教程,2022-11-22 05:08:28,0,0
牛逼,2022-11-20 22:49:38,0,0
为啥EV都是-1[脸红],2022-11-19 04:07:48,0,0
所以还是拍的好，还是镜头后面那个头,2022-11-19 03:49:04,0,0
太短了啊 雀[呲牙],2022-11-18 16:43:09,0,0
😆沒用的，沒有妹紙啥也不是,2022-11-18 08:47:36,0,0
模特好看，模特好看，模特好看,2022-11-18 08:01:16,0,0
可以可以,2022-11-18 04:39:04,0,0
看到12SU就直接投币了[喜欢],2022-11-18 03:28:45,0,0
同为摄影，同手持12u，官方自动拍照识别人物的时候取景器看着好好的，成片就高对比了，光线差点看起来贼拉，小米万年拖后腿的还是人像模式，底子这么强，人像模式真的一难难尽，拍出来也是对比高还偏暗，还锐化，有时候真就不敢给妹子看,2022-11-17 20:28:08,0,0
可以等13出来再看看，对摄影有追求12su可以入,2022-12-04 01:44:15,0,0
改手动曝光EV就不能调了,2022-11-19 05:43:55,0,0
回复 @Nano锌 :2倍裁切又有点离谱，3倍有5倍加持合成，就是美颜失效,2022-11-18 12:25:44,0,0
关闭ai，关闭hdr，人像模式怼大头拍，普通就用二倍拍，我都是这样用12su拍妹子的，比苹果好看多了,2022-11-18 07:44:57,0,0
