评论,时间,点赞数,标签
手持马克兔和iPhone13，还是觉得马克兔香[思考],2022-06-30 11:29:57,1,0
"其他的手机:我们是生活的中心
索尼的手机:我们是影音的中心",2022-06-30 07:08:17,3,0
以后索尼就变成魅族辣，机尼太魅了嗷[笑哭][笑哭],2022-06-30 06:36:30,1,0
然并卵，拍不久,2022-06-30 05:20:04,2,0
从索尼1 ii开始到1iv，我感觉最特别的是拍照风格还原真实写实，这点个和所有其他手机完全不一样的，不像三星华为等旗舰各种靠算法，结果照片饱和度炸裂出片即美颜完全和肉眼看到的色彩完全不一样，大多数人都是拍风景比拍人更多些吧。至于影音也是最强的。玩游戏不是这部手机应该做的，而且火龙因为轻薄完全没搞散热而发烫，所以还是用ii代的865最香了，散热和续航都稳住了，价格也在3000块这样。,2022-06-30 05:03:39,3,0
极度容易过热……,2022-06-30 04:55:59,2,0
我想知道电影的名字,2022-06-30 03:50:02,3,0
终于来了～～～[鼓掌][胜利],2022-06-30 03:40:21,1,0
中间瑞安雷诺兹的电影是什么名字,2022-06-30 03:11:59,2,0
问一下2分钟音效那的是哪部电影？,2022-06-30 03:07:54,2,0
索尼的手机针对人群太强了，不适合大多数人使用，国外的品牌还的是三星本地化做的不错，不要说三星使用手册，那些功能需要的人会弄，不需要的人当个正常的手机是就行，别杠杠就是你对,2022-06-30 02:57:36,3,0
如果不是这个8根1,2022-06-30 02:48:12,3,0
昨天刚在实体店上手摸了下 确实和常见的手机不一样 特别是长长的机身 一眼就感觉的贵[OK],2022-06-30 02:45:29,1,0
最近几代的相机没有了1000帧/s的超级慢动作有点可惜了。,2022-06-30 02:43:53,1,0
各位大佬，请善待你们的手机，两年后海鲜市场再见[doge],2022-06-30 02:39:42,2,0
要是换个CPU[tv_难过],2022-06-30 02:22:07,3,0
"昨天马克兔刚更新12，这下更没有换手机的理由了，钉子户起立[doge]
才不告诉你们我用了微软桌面，快进到微软收购索尼[滑稽]",2022-06-30 02:18:36,4,0
[热词系列_13周年],2022-06-30 02:05:44,1,0
来了来了,2022-06-30 02:02:53,1,0
我来了,2022-06-30 02:01:48,1,0
还有这个手机发热严重是一点也不提嗷，拍摄就发热，发热就锁帧，120帧打开一会儿就自动锁60呢,2022-06-30 06:40:37,1,0
回复 @真苦- :谢谢大佬[脱单doge],2022-07-04 05:07:50,0,0
回复 @酒后行为艺术传承人 :自己查到了 亚当计划,2022-07-04 03:26:25,0,0
我也来插个眼[doge],2022-07-03 05:20:56,0,0
亚当计划,2022-06-30 10:09:27,0,0
好像是   亚当计划,2022-06-30 08:44:56,0,0
插眼[害羞],2022-06-30 08:43:23,0,0
我挂了你怎么不买[doge][doge][doge],2022-06-30 07:37:07,0,0
换个联发科芯片的话，算力会下降。8Gn1+还没出来那么A15凑合着用一下？[滑稽][滑稽][滑稽],2022-06-30 03:42:58,1,0
回复 @我的未婚期 :[tv_斜眼笑]索尼手机优化一般 联发科也够了,2022-06-30 08:44:07,0,0
回复 @CraigLo :更新后索尼自己的实在太丑了[doge],2022-06-30 03:23:59,0,0
哈哈哈哈索尼用户都用微软桌面嘛，我也是,2022-06-30 02:36:10,0,0
[抠鼻]那就真的不值了,2022-06-30 02:30:28,0,0
