评论,时间,点赞数,标签
果然还是美好的才最正义[tv_笑哭][tv_笑哭][tv_笑哭][tv_笑哭],2022-12-04 16:33:09,1,0
"我发布了一篇笔记，快来看看吧
会摄像🎥的大哥
00:10 发现瞬间的美

当你看镜子时你觉得很美，那时的你就是最美的，因为你觉得生活很美。😂
00:47 好美的画面

真后悔上学的...
https://www.bilibili.com/h5/note-app/view?cvid=20248424&pagefrom=comment",2022-12-04 13:13:50,1,0
来福州,2022-12-04 08:37:05,1,0
一不小心就成为了别人眼中的风景，世界的美好就在于此吧,2022-12-01 13:21:16,1,0
up快来厦门呀，真的很美,2022-11-27 07:45:33,1,0
可恶，你这个up主，我见你一次给你一次三连[傲娇],2022-11-27 05:30:15,1,0
废话我就不多说了，我真的超级喜欢你的拍照风格！[喜欢],2022-11-26 03:58:42,1,0
湖州,2022-11-26 01:31:21,1,0
同款卫衣,2022-11-25 03:46:40,1,0
等疫情好一点来太原叭,2022-11-24 15:27:34,1,0
up说我加男生微信，好礼貌[打call],2022-11-24 12:39:35,1,0
BGM是什么[微笑]好悲伤又好有故事的感觉,2022-11-24 10:03:22,3,0
好舒服的状态！！！,2022-11-24 08:00:41,1,0
加了微信，然后朋友圈发婚纱照广告，总有做成的，因为客户已经免费体验过了，不过我想到了，你也应该早就在行动了,2022-11-23 18:26:43,3,0
可以在最后加一句“祝你（们）生活愉快！[给心心]”[惊喜],2022-11-23 06:25:16,1,0
秒关注了,2022-11-22 10:42:26,1,0
如此美好的生活愿景，都是先辈们所创造的，铭记历史，过好现在，想好未来，加油吧！陌生人,2022-11-21 15:07:34,1,0
可是这不算侵犯肖像权吗？[思考]我只是问一下下[脸红],2022-11-21 12:00:45,5,0
@名字被猫叼 最后一张真的太好看了[大哭],2022-11-21 08:31:53,1,0
来湖北咸宁[doge],2022-11-21 02:46:14,1,0
是你--梦然,2022-11-29 12:36:47,0,0
商业人才,2022-11-30 03:57:07,0,0
回复 @奶盖都给你 :按照法条来讲，up没有侵犯肖像权哦，不过肖像权拥有者确实有要求up删除照片的权利,2022-12-12 16:39:39,1,0
回复 @鹿以温 :肖像权不是单纯以有没有商用来界定是否侵犯的，街拍对象有权要求抓拍者删除照片,2022-12-01 21:41:27,1,0
回复 @听故事的酒馆 : 语文不过关，基本的严谨性也没有，就在这大言不惭地和别人谈法说律，也是够搞笑的。爱杠的是你，先拉黑的也是你，好好读个书或找个厂上班吧，别霍霍B友们的心情了[OK],2022-12-15 07:43:31,0,0
头像和名字都是外物，喜欢up主能继续坚持下去，我也是一个爱拍照的大学生，up主做了很多我想做但没能力去做的事，加油[打call][打call],2022-11-15 18:00:33,19,0
up有找官方认证吗，外站来的可以直接认证小闪电⚡,2022-11-16 05:39:01,13,0
回复 @T1电子竞技官方俱乐部 :哈哈哈哈哈哈id 与言论相符[doge],2022-11-18 15:48:37,1,0
头像和名字都是外物，喜欢up主能继续坚持下去，我也是一个爱拍照的大学生，up主做了很多我想做但没能力去做的事，加油[打call][打call],2022-11-15 18:00:33,19,0
up有找官方认证吗，外站来的可以直接认证小闪电⚡,2022-11-16 05:39:01,13,0
回复 @T1电子竞技官方俱乐部 :哈哈哈哈哈哈id 与言论相符[doge],2022-11-18 15:48:37,1,0
