评论,时间,点赞数,标签
冷知识，IQOO9pro同配置（8+256）比12S还贵了700，而小米12S的超广角比同价的IQOO9还大[doge],2022-07-13 11:15:35,12,0
建议还是等3499与更低的时候入，小米系列一定会跳，稍微等等，也不至于等太久。,2022-07-13 11:51:48,17,0
要不是高刷没有dc，就给老婆推荐了，可惜,2022-07-13 10:43:42,9,0
手持12S，因为小机身还没什么散热，8g1+还是比较热的（不烫手，但是有点膈应）。所幸续航并没有崩，属于中规中矩，考虑到机身尺寸还算比较满意的。,2022-07-13 11:08:09,17,0
想知道屏幕和拍照对比mi10Pro提升大不大，想买但怕屏幕拍照不如10Pro[微笑],2022-07-13 11:20:43,8,0
唯一遗憾，就是不是2K屏,2022-07-15 03:40:14,17,0
推荐归推荐，买还是不买,2022-07-14 08:38:00,10,0
说12s不热的，都去小米之家体验下，多开应用不超过一分钟，手机上半部分就明显发热。那可是在商场空调里面呀。,2022-07-13 11:42:01,15,0
12系列目前唯一下不去手的地方就是屏幕和价格了，看13系列屏幕有改善吗？没有的话再买12s跳水也不亏,2022-07-13 10:42:09,7,0
为啥不出个中端小屏机，就小米12x升级版，主摄等不变，就处理器从870升级成8100（上9000估计不太可能[doge]），+个512g版本。价格最好保持现在的小米12x日常官方价格[doge]，12+256顶配是3299。,2022-07-15 14:16:23,22,0
本应该去年旗舰，摆烂两年卖今年价格,2022-07-15 10:51:31,12,0
据说没有DC调光，终于找到不买的理由，绝不是因为我qiong,2022-07-13 10:46:02,14,0
8g1+再好，低频pwm还是无法接受,2022-07-13 10:46:51,10,0
我快分不清12系到底谁是谁了，感觉名字是不是有重叠的[呆][辣眼睛],2022-07-13 12:34:56,17,0
"看了评论和弹幕,我总结下一些人的观点:11系列垃圾是小米优化问题,三星代工的888只字不提,12s流畅省电了是因为台积电牛逼,MIUI13的进步也是只字不提.华为用国产屏幕卖6999甚至9999都可以,得扶持国产,小米3999用国产不行,就是抠门省钱,我就真的好奇为什么你们这些人那么讨厌小米,看到了还是要点进来骂几句.恶心别人也恶心自己图啥?",2022-07-14 02:10:34,74,0
up不算米黑，up和大米一样，都是比较客观公正全面的,2022-07-13 13:55:03,17,0
这期吹的太过了，是恰饭了吗？,2022-07-13 12:49:47,15,0
2021年4月首批官网购入小米11ULTRA手机，金额6499，并购入micare两年质保的保险。 产品宣传IP68等级防水，并且该公司董事长雷军在微博发布小米11ULTRA手机水下开箱视频。 2021年8月小米公司承认小米11手机系列整体存在质量问题和设计缺陷，包括手机黑屏开机无反应以及“烧”WIFI现象，承诺进行换新或退货。 2022年7月，在两年质保期内，手机在使用微信过程中突然黑屏，并且无法开机无任何反应，联系官网送至山东省济南市天桥区北园街道云锦商厦6楼的小米济南市寄修中心进行维修，小米公司当天第一通电话承诺进行换新，但十几分钟后的第二通电话说手机有进液现象，不予换新，本人难以知道这段时间内发生了什么，并且小米公司两段电话出尔反尔，言而无信。 手机进液分为自然进液和故意进液，在手机从较冷的空调房中走入室外，会产生冷凝现象，这叫做自然进液。手机生产商无理由苛求消费者在日常使用中将手机始终存放在恒温恒湿的环境中，这既不合情，也不合法。小米寄修中心仅凭检测到进液现象就拒绝维修，实属荒谬。 并且，该公司在去年八月承认该系列机型存在质量问题以及设计缺陷，并宣布换新或退款，其性质上等同于召回，属于质量问题进行召回的手机，应只需符合质量问题的故障即可，凭什么苛责其他问题为理由拒绝换新？小米公司很清楚，手机黑屏不开机就是设计问题导致的，小米公司只想推卸责任。 手机质量问题的机型，不适用普遍的保修政策。 进液现象很难导致黑屏开机无反应，这种极其罕见的情况，却可因小米11手机的设计缺陷轻松导致，该公司忽视强证据、强关联，死抓弱关联，逻辑不通，法理也不通。 本人最早的一部手机是红米1，坦白的讲，我对小米产品的感情还是有的，作为一个“米粉”，看到小米公司用如此蛮横、无逻辑、敷衍、强硬的态度在电话中对我宣泄，我是十分失望的。 本人具有法学背景，已经组建了192人的小米11手机问题故障群，本人实在不想和小米公司闹到兵戎相见、你死我活的集体诉讼上，但如果小米公司依旧强硬的独断专行，不能与客户进行积极有效的沟通，与客户形成妥善的处理方案，本人也不得不拿起法律武器维护权利，这实在是对于一个“米粉”难言的痛。 本人的诉求是小米公司积极与本人进行沟通，并且妥善的进行换新。,2022-07-13 14:47:42,45,0
小米最大的问题其实是广告，红米有，你可以说利润低，小米数字系列也有，说不过去的。,2022-07-14 04:22:05,9,0
"手机坏了可以再买，眼睛坏了那就坏了。
这次12s系列我是半点想法没有，等红米的新lcd屏手机吧，note11tpro的塑料机身真不能接受",2022-07-13 17:15:31,29,0
？？？一一说，iQOO9Pro无论屏幕，指纹，充电规格不都比12s好？贵不应该？12s的超广角是ov13b10，和iQOO9的s5k3l6不都1/3.1的1300万，大哪了？,2022-07-14 04:44:37,4,0
讲个鬼故事，x80 12+256也在3800这个价位，屏幕，拍照几乎全方位吊打12s,2022-07-13 15:44:43,3,0
回复 @jbs皇 :讲个鬼故事，同价位的IQOO9在这个价位无论是性能拍照还是手感也是被12S暴打,2022-07-14 01:22:05,2,0
我等明年618，降个1500[doge],2022-07-13 13:52:02,2,0
回复 @大到有些滑稽 :8gen2估计贵700噢[doge],2022-07-13 14:29:21,0,0
回复 @前世是把杀猪刀 :我买8Gen2了[doge][doge][doge],2022-07-13 13:55:26,0,0
我也是[笑哭],2022-07-13 17:06:04,1,0
回复 @总之熊熊很可爱 :没断电是正常的吧，只是ui显示在充电而已，实际上用功率计测充电头已经没有功率了,2022-08-06 07:35:13,0,0
你充电到100%会自动断电吗，我的半小时后还没断不知道有没有问题,2022-08-06 06:52:29,0,0
刚买的12s,2022-07-27 14:57:38,0,0
"拍照阔以
不过屏幕就……",2022-07-13 14:35:32,3,0
肯定不如,2022-07-13 11:45:18,3,0
我10pro的摄像头出问题了，我也在看要不要换,2022-07-17 17:21:59,0,0
2k屁用没有，信哥们的，19年首发买的一加7p，算是比较第一批吃上2k高刷的了，21年买的一加9p。只有没用过2k的才强追2k，刚开始换确实你自己感觉不错，等后来你自己就关上了，尤其是夏天2k功耗和发热是真顶不住，有时候我自己都不记得到底开没开2k，根本看不出来，除了高刷感知明显，其他的你只要不是死盯着看，根本不知道的，什么10亿色一般的视频图片都不是这个格式，得亏没上，上了还得加价的。,2022-07-25 14:26:57,7,0
回复 @杏花酌酒送卿归 :自行参考魅族18，小屏2K加888，完全没有续航的存在,2022-07-23 00:26:55,6,0
回复 @bibililili666 :哥们，你认为大屏上了2k续航就很高吗[笑哭],2022-07-25 14:27:34,1,0
说完全不热肯定是假的，另外商场的手机大多是处在发热状态的,2022-07-13 13:05:29,13,0
说实话展示机就是热，24小时充着电开着演示模式，不热才怪,2022-07-14 12:21:48,11,0
商场展示机一整天都在亮屏+充电,2022-07-14 03:40:28,11,0
回复 @-太行山第六疗养院 :现在miui虽然不是最好的，但是肯定不拖后腿,2022-07-13 18:02:55,1,0
屏幕差太多 人家iQOO 三星屏加dc调光 还有那个橘子系统看着也不错,2022-08-04 01:16:43,0,0
