评论,时间,点赞数,标签
最新省流：鸿蒙温控保守导致HDR、魔法丢失概率变大 ，温度过高无法录制4K视频，夜景边缘提亮导致画面变脏，但3倍长焦新增4K60。如有遗漏请大家补充。,2022-07-01 12:26:54,11,0
能不能测一期同期小米10u的12.0.10和现在13.0.4的差别[支持],2022-07-01 12:08:29,11,0
说实话，mate40系列不能算老旗舰吧[笑哭]反正我p30不管是游戏性能和拍照表现都负优化了不少，画面泛白色彩寡淡，很多机主回退EMUI9.1后都实锤拍照提升,2022-07-01 12:07:33,11,0
解析力变差了，还不是负优化？,2022-07-02 12:49:35,19,0
都没新机了，为什么要负优化，mate 40优化的好，用得时间越长，高端就立得越久，我觉得华为没有动机去负优化，应该是正常优化出现了有些地方负优化的情况[tv_doge],2022-07-02 00:45:12,24,0
手机负优化又不是华为一家，是所有手机，记住是所有手机厂家[笑哭],2022-07-02 00:39:53,13,0
有一定负优化，个别场景比较明显，再就是鸿蒙和EMUI调教风格不同，这个就看个人喜好了。但是说实在的自己和身边人用过的华为手机大部分人都觉得不如刚拿到手时候拍照好用，最明显的是p40微距拍照模糊。,2022-07-01 12:18:29,13,0
M40PP有没有负优化我不知道，但是同为鸿蒙的荣耀这边的几个是优化的没法看了[辣眼睛][辣眼睛][辣眼睛]点名30PP和V30。,2022-07-01 14:55:48,15,0
花生锤一下小米11u或者10u的负优化吧，11u用户表示相机被削了好难受[大哭][大哭],2022-07-01 12:22:14,10,0
freebudsPro就是个负优化最好的例子[tv_目瞪口呆],2022-07-01 17:12:57,15,0
机主表示超广角负优化尤其严重。,2022-07-01 12:01:58,14,0
省流：都差不多，初版bug多，鸿蒙更怂[doge],2022-07-01 12:10:53,18,0
是不是因为很多人都不是首发买的，等大半年再入手之后发现拍照没想象中好，所以就说负优化了呢，我首发入的，只有一个感受就是鸿蒙系统的性能调度太保守了，即使这样还十分耗电，我觉得拍照要是有可能出问题的话基本就是鸿蒙的问题，而不是小版本更新的问题,2022-07-02 03:23:13,18,0
对比过好几台欧版p40p的EMUI10，11，12，色彩特别是有长焦侧光时画面发白发虚有差别，EMUI10更好，其他方面比较玄学，基本没有明显负优化，包括暗光表现，但不同机器光学素质的差别有，且非常明显,2022-07-01 13:35:02,9,0
下回，测测小米11Ultra，有没有负优化[doge],2022-07-01 12:26:22,9,0
我也不相信什么负优化，何必呢...为了什么？你说苹果降频？那没事了，哈哈哈[呲牙],2022-07-01 12:04:05,34,0
测测mate 20p30这些老机型或许更有说服力,2022-07-01 12:14:55,11,0
我工作经常需要开高倍拍厂房高处的设备铭牌，mate40pro+首发入手，现在版本对比emui版本明显涂抹感更强，文字没有以前清晰，色彩没关注过不清楚，负优化还是很明显的,2022-07-01 17:51:29,17,0
我觉得大家觉得负优化，主要是标准版和Pro吧，更多的用户用的应该不是超大杯[辣眼睛][辣眼睛][辣眼睛],2022-07-01 14:01:37,8,0
我的MATE30RS在更新最新版的鸿蒙后，极限夜景拍不出啥了[呆]而且对不了焦[捂脸][捂脸],2022-07-01 12:06:05,16,0
是不是温控导致高光压制变差或者hdr不生效，我不知道。我只知道我手机也不热，打开相机自动模式拍和大型商超的复杂光源夜景，大面积光源处压得差，不如最初买回来时的mpp表现好。,2022-07-01 14:41:11,3,0
回复 @Kirin-Liz :视频里是这样说的，你自己瞧瞧要不？,2022-07-01 16:44:41,1,0
回复 @奇葩的宝马哥 :自己去瞧瞧视频要不？,2022-07-01 16:45:18,0,0
我也是13，很差，想降级了,2022-07-02 10:53:50,0,0
快两年前的手机还不算老旗舰吗？,2022-07-02 05:40:40,0,0
把镜头擦擦？,2022-07-18 00:38:17,1,0
回复 @西格奈斯 : 人家说的视频里样张解析变差，但结论还是没区别，没有负优化。,2022-07-21 07:15:07,2,0
回复 @西格奈斯 :解析力和镜片有啥关系,2022-07-25 14:29:14,0,0
我也觉得。如果说想要去优化一个地方，他某一些部分肯定会损失优势，平衡点其实很难找的，任何方案其实并不会让所有人都满意，只能在瓶颈期中找到平衡点,2022-07-02 05:23:50,8,0
确实，根本没有负优化的动机，就跟做菜一样，你在调味的时候这个加一点，那个加一点，出现一些不和谐的口味很正常,2022-07-04 02:46:21,2,0
谁说没新机了p50不算吗，mate50呢？下半年就有。,2022-07-02 06:40:46,0,0
三星从不负优化，s10还吃上了s21系列的夜景算法,2022-07-02 04:40:48,10,0
我是每代都换的三星旗舰用户，其实三星也会有一点，只不过不像其他牌子相机负优化那么明显,2022-07-05 13:49:32,1,0
看我专栏两编对比，能把两个版本照片分辨出来吗？,2022-11-02 14:31:24,0,0
全网有种魔法叫做“你自己不会用，不要怪手机，我的怎么好好的”[无语][无语][无语],2022-07-01 14:19:07,1,0
现在最怕的就是老荣耀直接变弃婴，活成一加的模样。,2022-07-01 15:01:08,2,0
回复 @麦德伯堪科维奇 : 荣耀20Pro：说我呢？[doge]都是鸿蒙，我荣耀20Pro的备忘录什么的同步已经基本不同步了，matepad倒是很快一两分钟就同步了,2022-08-02 07:30:09,0,0
v30是imx600,2022-07-18 05:40:19,0,0
小心律师函,2022-07-02 05:25:18,0,0
你折腾下降级就知道了，负优化的根本是你耳朵习惯了养刁了,2022-07-02 02:32:58,5,0
回复 @慕橙cccc :一耳朵就能听出来的区别我感觉我不需要过多赘述，当然前提你耳机mic的防尘网清理干净了,2022-07-01 17:16:49,2,0
回复 @慕橙cccc :你降级回去用完就知道现在566固件就是最强[吃瓜],2022-07-01 17:16:21,1,0
此乃真省流,2022-07-02 16:37:17,1,0
是到现在还有人不知道苹果降频可以手动超控吗[辣眼睛][辣眼睛],2022-07-01 12:12:58,2,0
回复 @StevenLamda :结果就是用户有了选择权  而且也并不是去限制电池80以上设备的峰值性能 但是小米就不一样了 发售半年就开始云控你的性能 管你是小米11还是小米12 还是至尊版 统统一模一样 他们目的不一样 苹果是防止峰值性能超出电池衰弱后释放峰值导致自动重启 小米是用用户的体验换他的soc虚焊的质量问题  而且苹果早就给权利了 那小米呢？删除了云控 过一会自己又回来了 不仅不给权利 还自作主张,2022-07-01 15:47:47,1,0
回复 @bILLKERMAM233 :确实 就是电池那里可以选择强行正常峰值性能 控制权早就给用户了 这个人黑的有点过了 陈年旧事,2022-07-01 13:24:16,1,0
对,2022-07-02 00:42:35,0,0
锐化少了自然画面就肉了,2022-07-01 23:03:07,3,0
Mpp一样负优化。up根本就没去测复杂光源的夜景高光压制。全是测的大面积暗光零星灯光的场景。,2022-07-01 14:44:07,5,0
我估计up根本都不知道华为负优化导致的夜景高光压制变差到底是什么情况和场景下出现的。,2022-07-01 14:44:44,3,0
对不了焦可能是马达坏了，虽然说我是不明白这玩意为啥还能坏,2022-07-01 23:04:55,2,0
