评论,时间,点赞数,标签
样张建议多点[魔法美少女ZC_傲娇],2022-10-14 03:49:19,3,0
真的更新越来越快了，我都看不过来了[热],2022-10-14 03:21:36,3,0
带上Apple watch ultra[脱单doge],2022-10-14 03:06:36,10,0
华为和tim合作 感觉哪里怪怪的,2022-10-14 04:04:13,13,0
华为mt40pro，刚过保几个月，屏幕锁屏状态爆闪发绿，手机从没摔过，屏幕最近又出现了紫线，有相同问题的集合了,2022-10-15 02:36:10,10,0
拍一些隐入尘烟的平凡,2022-10-14 09:51:41,11,0
然而它只是个中规中矩的个六七千的4g手机 ……可以看看其他家的评测，拍照真的很一般,2022-10-14 06:05:28,18,0
华为充·值了[doge],2022-10-14 09:11:00,8,0
已经胜利了[给心心],2022-10-15 00:23:50,9,0
传下去:tim只有两分钟[doge],2022-10-14 03:03:54,8,0
00:38 《东方非想天则》,2023-01-28 02:53:09,2,0
华为卫星通信咋没用[脱单doge][脱单doge],2022-10-15 02:59:42,2,0
这就是我为什么一直想加入影视飓风，这种拍摄体验真的太棒了，也让生活多了一种色彩，而不是漫无天日的拍摄毫无技术含量的片子,2022-10-14 09:11:27,5,0
我们这边这样的山洞很多 不过我们都不会走到底 点火把火把灭了就出来 而且里面全是蝙蝠 小时候就喜欢这样探险,2022-10-14 08:30:39,2,0
666.拍的非常好。。。。[微笑][疑惑][笑哭][OK][OK][星星眼][脱单doge][辣眼睛],2022-10-14 07:52:37,2,0
仰观宇宙之大，俯察品类之盛，所以游目骋怀，足以极视听之娱，信可乐也。,2022-10-14 04:36:02,2,0
谢谢tim带我领略平常人看不到的美好！！！每当看到这里都会对未来充满希望！！,2022-10-14 04:12:41,5,0
以后抽奖能不能换成可以参与观摩影视飓风和@亿点点不一样 的项目，可以让普通人也感受这种奇特瑰丽的旅程，当然全场消费由Tim公子买单[热词系列_妙啊],2022-10-14 03:51:12,5,0
充足的光线 ，专业的助手 ，好看的模特 ，再加上几位数的配件 ，就是坐机也能拍出好看的照片 [脱单doge],2022-10-14 03:44:16,9,0
在，大号什么时候更新[脱单doge][脱单doge][脱单doge],2022-10-14 03:20:11,5,0
tim cook[doge],2022-10-14 04:05:35,4,0
和傻蛋在一起显的聪明[吃瓜],2022-10-14 09:15:21,1,0
都怪这次华为钱给的实在太多了[偷笑][偷笑][偷笑],2022-10-17 16:03:38,0,0
应该是被重压过,2022-10-15 03:14:34,3,0
这个就是屏幕后面受压受损了，去店里换一下就行了,2022-10-15 06:06:08,2,0
回复 @何以生削默 :我p40p骑车摔过也是绿线，闪屏可能是其他原因，但有紫线说明你那个地方内屏肯定有磨损了，可以买个200的屏保险免费维修,2022-10-16 15:01:41,0,0
那不就前几天的拍云朵挑战嘛,2022-10-14 15:14:05,0,0
参数党只讲参数不讲体验,2022-10-14 23:27:17,9,0
回复 @小镇下饭家 :人家有三星真实了解，你还要人家看测评[嗑瓜子],2022-10-14 23:18:44,6,0
看了其他家的，感觉也很不错啊，一个叫凛光暗切的up的视频,2022-10-14 07:57:47,6,0
我知道的，你已经阴阳两隔了,2022-10-15 01:54:23,5,0
洞穴探险区画质惨遭卷起[doge],2022-10-14 03:40:42,2,0
火把灭了肯定就出来呀，氧气不够了[doge],2022-10-14 12:54:33,1,0
回复 @青菜菜菜菜丶 :难道带火把不是为了检测氧气吗？,2022-10-15 01:03:28,0,0
回复 @重庆小雷哥 :有手电筒 带火把就是怕太深入了 [脱单doge],2022-10-14 18:43:55,0,0
回复 @久玉ei :亿点点飓风应该不差多带一个人吧[热词系列_梦幻联动],2022-10-27 14:22:59,0,0
是甲方爸爸买单,2022-10-27 13:34:14,0,0
