评论,时间,点赞数,标签
来哈尔滨溜达溜达，会有很多灵感,2022-12-04 09:08:45,0,0
照片怎么马上印出来？必须拍立得吗,2022-12-04 05:49:42,0,0
up主的照片都好通透，厉害👍,2022-12-04 04:01:42,0,0
谢谢up主，b站找到的第一个摄影愈疗地[打call],2022-12-04 03:46:59,0,0
感觉这是摄影最能打动我的地方，定格瞬间传递美好,2022-12-03 15:54:20,0,0
话说bgm也很好听呀  想知道是什么[大笑],2022-12-03 11:35:04,0,0
@飞行追梦人,2022-12-03 09:35:50,0,0
这就是摄影的意义吧 你的每个视频每张照片都好治愈❤️,2022-12-03 05:26:12,2,0
快四十了，看了UP的视频忍不住[热词系列_泪目]了，谢谢UP给大家带来的温暖，一起加油吧[奋斗],2022-12-03 00:58:26,0,0
这些地方我都去过呜呜，up主勾起了我本科的回忆以及我的青春的那个她，原谅我当时没有拍下这么多好看的照片[委屈][委屈][委屈],2022-12-02 11:35:27,0,0
要是我能受到这种照片我能收藏一辈子，在我老了的时候能拿出来跟我的子辈们讲讲这段小故事,2022-12-02 07:07:50,0,0
bgm好好听,2022-12-02 04:33:31,0,0
请问用的什么打印机,2022-12-01 13:21:38,0,0
这就是相机和手机的差别,2022-12-01 12:45:59,0,0
up主您的照片很治愈 是真的做到了把一刹那间的情感变成了永恒 在我看来 其他的艺术形式的后期和对光影与颜色对比强烈反光的照片来讲 这种形式的照片更具有收藏 留念 以及情感在里面,2022-12-01 12:05:40,0,0
这滤镜好看啊,2022-11-30 19:58:09,0,0
有摄影的朋友推荐个场变焦镜头7k左右，相机买的a73感觉配套的24-70的不好用，诚信发问,2022-11-30 14:26:58,0,0
真好啊！,2022-11-30 11:17:12,0,0
来北京吗[脱单doge][脱单doge],2022-11-30 05:24:02,0,0
熟悉的天津，看你的视频就像重走一遍天津。,2022-11-29 14:49:38,0,0
