评论,时间,点赞数,标签
你说的也许有道理，但你的成片。。可能你们选的场景太自然了吧，死库水应该是跟学生有关的，课堂上穿的东西，你们弄得这个衣服也不太对。。。。,2022-08-01 10:08:40,16,0
拍得很烂,2022-07-31 15:24:32,23,0
孩子问爷爷。。。。彻底疯狂！！！[生气],2022-07-31 11:25:19,6,0
太瘦了吧[囧]看着吓人,2022-07-31 08:32:38,6,0
好少有看到这种角度的解说，[鸡腿][鸡腿][鸡腿][鸡腿],2022-07-31 05:06:48,6,0
姐姐你的身材，注定你的视频会很纯洁[doge],2022-07-31 12:40:47,19,0
捕捉记录和创作是有区别的，受众也未必有太大重合度，但是不管是点进来的观众还是视频的推送机制本身，这两者都是混在一起的，从评论区就可见一斑了。。。不管怎么说，还是感谢up从另外一个角度去解读和分享[提摩西小队_抱住],2022-07-31 15:11:45,12,0
"不要再刷这种视频了，早点睡吧。
总有一天，你会碰到这样一个女孩，她温柔体贴，漂亮大方，不嫌你穷，不嫌你丑，不要你的钱，也不要你的车，也不要你。[tv_doge]",2022-07-31 11:54:24,15,0
可我觉得你们拍的也没有死库水的感觉啊,2022-07-31 13:09:39,15,0
这个模特年龄太大了没感觉,2022-07-31 12:46:23,20,0
第一这不还水库水，第二，死库水别人是学生上泳课的时候穿的，拿来拍艺术照也不大合适吧[无语],2022-07-31 11:40:04,22,0
上镜胖十斤，这姑娘真人得多瘦啊,2022-07-31 07:52:01,5,0
有没有一种可能不管比基尼还是死库水 大多数人在意的都不是衣服本身[doge],2022-07-31 06:20:51,5,0
这种道理和小孩子讲，我是听不进去了，你就说我色就完了，因为我无法用正常的眼光看[怪我咯],2022-08-01 00:41:55,14,0
不愧是在日本学习过摄影的，感觉就是一模一样。[吃瓜],2022-08-03 03:20:50,4,0
这年头随便找个泳衣就是死库水(=・ω・=),2022-08-01 14:40:15,14,0
直接上绝活儿了[奸笑],2022-07-31 15:06:41,4,0
？死库水是什么，我什么都不知道，只是进来替朋友康康[吃瓜],2022-07-31 09:35:59,4,0
你这啥叫真确理解死库水啊，你这都不是死库水，就算做个标题党也得认真点吧[辣眼睛],2022-07-31 13:24:25,13,0
治好了我的精神内耗,2022-07-31 11:47:42,8,0
回复 @六枚硬币啊阿 :不怕尿路感染？,2022-08-02 18:27:26,2,0
回复 @风雷九天 :。。。。。。。艹,2022-08-03 05:10:15,1,0
同感拍的。。。没有日系死库水的感觉！,2022-08-01 15:00:21,1,0
回复 @推荐看天降之物 :你看天降之物当然不要你啦，要看就看黑暗圣经,2022-08-01 10:17:21,3,0
回复 @特库拉玛塔塔 :[大哭],2022-08-01 13:09:41,0,0
可恶，居然不要我,2022-07-31 11:56:28,0,0
感觉换个比基尼也是一样的感觉,2022-08-02 20:44:26,0,0
第二很合适[doge],2022-07-31 11:50:30,0,0
是的，听他一解释，我反而觉得色倒是正常的，,2022-08-03 05:02:10,0,0
"助理小哥是拥有名字的
p.s.不是开封菜，我记得是金拱门吧",2022-07-31 07:37:41,15,0
回复 @Guitarlong :KFC开封菜[辣眼睛],2022-07-31 14:31:12,7,0
开封有个包青天，铁面无私辨忠奸,2022-08-01 15:13:22,10,0
"助理小哥是拥有名字的
p.s.不是开封菜，我记得是金拱门吧",2022-07-31 07:37:41,15,0
回复 @Guitarlong :KFC开封菜[辣眼睛],2022-07-31 14:31:12,7,0
开封有个包青天，铁面无私辨忠奸,2022-08-01 15:13:22,10,0
