评论,时间,点赞数,标签
终于等到小米的直边手机了，我的小米9可算是能换了[给心心][给心心][给心心][给心心][给心心]小米加油,2022-12-10 12:52:14,1,0
哈，以后米粉不敢喷苹果直角硌手了吧[笑哭],2022-12-10 11:59:36,2,0
真长这个样子必买，现在用的小米6已经受不了了,2022-12-09 16:34:24,2,0
很明显是realme大师探索版,2022-12-08 17:03:25,1,0
米冲高，关键年，小毛病，重启解，再不行，去售后，尽量忍，勿声张，免抓柄,2022-12-17 19:13:24,3,0
这是Realme GT2大师探索版,2022-12-09 10:34:02,1,0
我真感觉雷军多少是有点大病。想进军高端宣传却一直蹭别家，这样怎么高端啊？“这真莱卡”，这次又“全面对标苹果”，底气过于不足还进军高端呢，洗洗睡吧[笑哭],2022-12-20 13:30:51,2,0
假的,2022-12-08 13:44:34,1,0
所以咋不骂他抄苹果？[辣眼睛],2022-12-29 23:44:19,1,0
大探2[doge],2022-12-09 11:42:22,1,0
预言家,2022-12-27 15:29:04,1,0
一看见是小米弹幕就说像塑料机，结果哈哈哈哈哈哈哈，真是智商检测视频,2022-12-12 01:03:18,1,0
大探2是真的好看,2022-12-09 15:32:04,1,0
我想看它的摄像头[doge],2022-12-08 17:04:33,1,0
6,2022-12-08 10:45:37,1,0
不道歉，會被告,2022-12-08 13:29:07,1,0
还真是小米13,2022-12-11 15:11:44,1,0
假你代工的13,2022-12-10 01:29:17,1,0
realmeGT2大师探索版[大笑][大笑][大笑],2023-03-09 13:53:06,0,0
你这个手机的自动旋转怎么跟我的不太一样,2023-02-18 04:07:24,0,0
小米4[doge],2022-12-14 03:13:30,0,0
这是大探2[藏狐],2022-12-11 16:33:02,0,0
背面有弧度所以还是感哈哈哈,2022-12-11 16:01:16,0,0
买吧，我要看你动态,2022-12-16 08:29:33,2,0
出了。买吗,2022-12-15 17:32:28,2,0
6,2022-12-15 02:58:39,0,0
回复 @阿库娅的小短裙 :可视频里那个就不是小米手机[偷笑],2022-12-20 05:50:19,1,0
截图发到群里嘲笑你,2022-12-20 01:30:16,1,0
回复 @万由里裁决 :我从红魔7s的165hz转到90hz没感觉出来啥，绿边对我来说无所谓，，这台手机太适合我了，尤其是3d人脸识别，是别的厂商都没有的,2022-12-25 03:02:52,0,0
😋,2022-12-21 07:11:53,0,0
