评论,时间,点赞数,标签
为什么要明年见啊，难道一年只投一次币吗[辣眼睛],2022-09-18 11:04:50,5,0
年更必看系列！,2022-09-18 10:05:14,3,0
来了来了 从昨天等到现在 辛苦了,2022-09-18 09:32:54,5,0
你要说苹果拍照早就被安卓超越那不对，只是被少数产品的部份领域超越，你要说被多数超越的，可能只有Sony做到了，但是我猜说出“安卓阵营早就如此”的人不会说的是Sony吧？[抠鼻][doge],2022-09-18 15:24:49,4,0
拳打全画幅 脚踢中画幅 牛头滚一边 iPhone牛逼,2022-09-27 10:11:16,5,0
吹安卓的1e 2e的我都要笑死，安卓那个成像效果和视频录制，怎么吹得出口的啊[打call],2022-09-30 00:21:16,2,0
挺期待up主做一期小米12su的实拍,2022-09-19 05:41:06,2,0
嗯，买了iPhone你们也能拍出up主一样的好照片。加油冲,2022-09-19 04:58:07,5,0
拍出来的照片好像苹果官网的介绍照片👍,2022-09-19 02:59:54,2,0
为啥有人宁可相信安卓的所谓1亿像素都不相信苹果的4800万带来的效果呢。结论就是，其实所有人都心知肚明，那些说苹果不好的更清楚苹果好不好，只是酸。,2022-09-19 01:09:04,9,0
其实是真的很强,2022-09-19 00:04:01,2,0
"构图三要素：
第一，女模特。
第二，女模特。
第三，还是女模特。",2022-09-18 18:38:21,9,0
说得挺好but除了4800万我的13 Pro一样能拍出好片…鬼影才是导致iPhone夜晚完全不能出片的根本问题！但是iPhone拍视频hdr实在是领先太多…对比下来其他手机拍的差距大的就好像电影跟微信分享的压缩视频天差地别,2022-09-18 15:54:57,5,0
这个姐姐好像iPhone官方的模特,2022-09-18 14:58:15,5,0
每年必看节目[脱单doge],2022-09-18 13:05:44,2,0
想问一下靠像素裁切得到的两倍和真实的两倍焦段应该在成像上还是有区别的吧，像景深透视那些,2022-09-18 11:25:25,4,0
麻的 13pro在倍数变换附近直接拉跨 系统总是自动给我乱变,2022-09-18 09:59:29,2,0
求壁纸,2022-09-18 09:56:36,2,0
我感觉12pm也够用了[doge]等等15看看,2022-09-18 09:51:49,2,0
[脱单doge]正好今天14promax到了,2022-09-18 09:35:35,4,0
[doge]明年应该上潜望了,2022-09-18 17:49:14,1,0
哈哈哈，笑死，索尼早就是安卓手机的拍照的倒数了。sony现在做手机就是图个乐。,2022-10-06 11:32:58,1,0
只能说钱给够了,2023-01-13 07:42:44,1,0
我买了 不得不说确实拍的效果比以前好了很多,2022-09-19 14:34:46,1,0
主要是模特和视角,2022-09-19 12:14:09,0,0
这就是畜牧业！,2023-02-01 10:28:26,1,0
回复 @_陈羽橙_ :错 这就是产品 做得好 就会有人这样,2023-02-01 12:51:57,0,0
对对对,2022-10-12 04:02:03,0,0
回复 @iFanes : 因为没有漂亮的女模特,2022-09-20 04:15:34,2,0
我手握iPhone14 但是为什么拍不去up主这个效果？,2022-09-19 14:02:08,0,0
确实，用安卓手机拍的视频拿来看感觉不是同时代的产物,2022-09-19 17:21:46,0,0
白天清晰度和12Pro的两倍差不多晚上一般,2022-09-18 13:26:14,1,0
景深得看裁切以后的光圈，透视得看实际物距，一般来说透视由于实际物距没有改变，实际透视是不会改变的，景深的话得看光圈等效下来如何，像是12su这种1英寸底实际裁切等效下来会比一些原生镜头素质还好。苹果这个等效下来应该是等于一个1/2.6 f1.8的底，可用度在手机上来说还是不错的。,2022-09-20 08:55:31,0,0
如果真的需要裁切，还是老老实实用相机拍吧。,2022-09-19 07:44:00,0,0
[doge]15到时候a芯片能上3nm的话，直接换了，应该是上潜望，还有芯片架构会大改了,2022-09-18 17:53:17,2,0
回复 @七奈兽 : 那是不可能的,2022-10-31 11:48:20,0,0
回复 @狠人最美 :整个安卓备用机，或者换个电池,2022-09-18 13:29:28,0,0
不要试图跟杠精解释问题 最后倒霉的还是自己,2022-09-19 00:44:00,85,0
不用太解释这些问题，有些人并没有欣赏照片的那跟弦。就像有些人数学很好而压根读不懂语文阅读的作者感情一样。有些人能从一张照片里获得感动，而有些人看情感电影都不会有一丝波澜。很多只是用来扫码的人，只是不觉得记录生活对他们有什么意义。你对他们讲你要如何记录生活，就像是对读不懂阅读的学生说“你要体会作者的情感”。,2022-09-19 02:38:17,33,0
更好的相机可以在更远的距离扫码，很多扫码登记有个这个相机确实方便很多,2022-09-19 09:23:59,2,0
不要试图跟杠精解释问题 最后倒霉的还是自己,2022-09-19 00:44:00,85,0
不用太解释这些问题，有些人并没有欣赏照片的那跟弦。就像有些人数学很好而压根读不懂语文阅读的作者感情一样。有些人能从一张照片里获得感动，而有些人看情感电影都不会有一丝波澜。很多只是用来扫码的人，只是不觉得记录生活对他们有什么意义。你对他们讲你要如何记录生活，就像是对读不懂阅读的学生说“你要体会作者的情感”。,2022-09-19 02:38:17,33,0
更好的相机可以在更远的距离扫码，很多扫码登记有个这个相机确实方便很多,2022-09-19 09:23:59,2,0
