评论,时间,点赞数,标签
我一直对这类经济好奇怪，究竟怎么有支持的资金的？网红经济不是赢者通吃吗为什么有这么小的从业者真能收支平衡吗？,2022-08-09 10:14:21,3,0
拍完最后是不是可以做运动的,2022-08-07 14:06:31,6,0
这腿真棒,2022-08-06 10:12:06,3,0
三连了，但是你的老法师调色真的太重了，就不能调成小清新或者日系一点吗？！,2022-08-08 22:26:55,3,0
@果哥@白金,2022-08-09 11:52:35,2,0
可惜没钱没天赋，不然我也想学色影,2022-08-09 10:45:18,2,0
自律了，兄弟们,2022-08-08 13:23:08,2,0
老哥请问一下为啥带了3585还要一个2875呢，是为了预防万一吗，还是为了备着拍视频上稳定器用的呢[热],2022-08-08 00:19:47,3,0
请问UP主，第一视角用的哪款？,2022-08-07 14:16:21,3,0
注意身体,2022-08-07 10:08:33,2,0
请问小红书一般是模特主动联系你多，还是主动找模特多,2022-08-06 14:38:24,3,0
腰长腿短肩宽臀小,2022-08-06 10:55:41,2,0
我还是忘不掉上次冒雨拍的第一个[大哭][大哭][大哭],2022-08-06 10:35:45,3,0
流星流星，大爹一般找场地怎么找呀[脱单doge],2022-08-06 09:53:13,3,0
[脱单doge],2022-08-06 08:01:30,2,0
先均匀美黑，再把照片P白，这女生的脑回路有点离谱[疑惑],2022-08-08 12:44:29,10,0
我就羡慕这个场地。。。东北十八线现在连废墟都快没有了更别提泳池别墅,2022-08-23 02:07:53,1,0
地点不是国内吧,2022-08-18 04:55:19,1,0
这个民宿真不错耶，入场费50，是可以待多久？,2022-08-16 13:22:15,1,0
请教一下，比如第一张躺椅照片。拍之前模特右脸部分是有阴影的，但是成片脸部光线很均匀。是后期调的还是补光了呀,2022-08-10 14:03:22,1,0
一群人把另一群人推广给另一群人，好了，让钱流一会儿[滑稽],2022-08-10 01:55:31,1,0
回复 @你们好春天 :庞氏骗局是吧[思考],2022-08-12 14:56:04,0,0
浙江加10°,2022-08-08 03:43:23,1,0
哈哈 下次试试,2022-08-09 02:34:05,0,0
2875是拍视频用的,2022-08-08 04:47:30,0,0
大疆action一代,2022-08-07 17:55:51,1,0
回复 @摄影师流星s :谢谢,2022-08-07 17:58:58,0,0
没什么模特联系我，我都是找花钱的那种[喜极而泣],2022-08-06 14:48:10,0,0
这不就是一般人的身材吗,2022-08-07 01:28:49,0,0
哈哈,2022-08-06 10:53:58,0,0
我都是去小红书找,2022-08-06 10:00:31,1,0
说的是害怕均匀美黑，害怕被晒黑，这都能喷，你脑回路也有点[疑惑],2022-08-09 04:05:20,2,0
这场地在广东也是很罕有的,2022-08-23 02:33:09,0,0
回复 @冬日沧木 :几个吧，可能这地方小众老外喜欢来,2022-08-18 07:08:02,0,0
回复 @摄影师流星s :那这么多老外呢,2022-08-18 07:07:18,0,0
佛山,2022-08-18 07:02:33,0,0
一整天也行,2022-08-16 16:13:28,0,0
回复 @摄影师流星s :谢谢~很喜欢你的视频，从头到尾流程很完整，能学到东西[微笑],2022-08-10 14:38:51,0,0
后期调的,2022-08-10 14:09:49,0,0
还有其他的吗[脱单doge],2022-08-06 14:29:34,2,0
有付费的吗？[doge],2022-08-07 01:42:32,21,0
付费素材在哪里[doge],2022-08-07 08:25:21,7,0
还有其他的吗[脱单doge],2022-08-06 14:29:34,2,0
有付费的吗？[doge],2022-08-07 01:42:32,21,0
付费素材在哪里[doge],2022-08-07 08:25:21,7,0
