评论,时间,点赞数,标签
华为手机也爆炸过，你们怎么不去说华为十几年前的新闻还在说,2022-09-24 16:56:35,2,0
散了把，就是把屏拆下来而已，底下线还连这呢,2022-10-03 01:35:25,2,0
我的三星用了5年怎么还没炸?难道是假的？,2022-11-10 12:34:14,1,0
建议改成：《起 爆 符》,2022-11-02 11:55:54,1,0
"弹幕：不承认爆炸的是日本人吗
日本人：三星跟我有什么关系？",2022-10-31 06:17:17,15,0
三星手榴弹乌克兰都在用,2022-10-02 14:58:03,3,0
三星炸了,2022-09-30 14:24:13,3,0
炸弹变二向箔了[doge],2022-09-25 06:18:42,1,0
不如华为一根,2022-09-24 10:13:24,1,0
小心炸死你💣💣💣,2022-10-21 11:37:45,3,0
苹果、三星掌握核心科技[支持],2022-09-28 03:27:20,1,0
就这条视频下面爆炸怪多，官方其他视频下面都是0评论。这是触发了什么关键词[脱单doge],2022-10-01 15:59:42,12,0
屏幕和机身有一块线，他把它拆了，把线藏在手底下，触摸没有断,2023-02-18 13:58:38,0,0
@机器工具人 识别音乐,2023-01-17 13:43:33,0,0
这不就是当年lgg4,2023-01-13 15:03:57,0,0
最少12年的时候，类似的视频就有了，我们老师给我们看的,2023-01-11 03:12:35,0,0
《曲面屏》,2023-01-05 12:15:19,0,0
[doge]小心藏起下面排线的样子真的很（        ）,2023-01-05 10:32:24,0,0
用两天漏一手,2022-12-28 10:59:10,0,0
电池挤压漏液鼓包就不要用啦，所有的厂家都有那么几块电池太拉。,2022-12-24 06:04:39,0,0
经典，三星粉丝经典语录：苹果华为都炸了，为什么就逮着三星说，你们不要再说我dad了，虽然他们区别对待消费者，但它可是我dad呀，你们不能这样对他[脱单doge],2022-09-26 15:28:48,12,0
关键是三星没把手机召回，咱也没必要一踩一捧行不,2022-09-24 18:06:48,7,0
回复 @A左大朋友 :真别给三星洗了，他们自己都洗不动了，你还来洗,2022-10-06 01:30:38,5,0
回复 @算黒卦的 :明显都是机器人，这个up发那么多视频都是几乎0评论的，就这个几百号评论，还一半刷爆炸梗的,2022-10-28 13:20:01,1,0
xxs跟风刷烂梗罢了,2022-10-28 11:36:33,1,0
"您请求的音乐详细信息如下:
歌曲名:Unstoppable
艺术家(歌手):Sia
专辑:This Is Acting
请求的时候歌曲已经播放至:N/A(总时长N/A)
谢谢使用!
音乐识别技术由 BiliApi 提供
(本次识别结果来自缓存。若认为视频投稿已经换源导致缓存失效, 请考虑使用-f参数强制识别)",2023-01-17 13:57:37,0,0
