评论,时间,点赞数,标签
2021.10.23蹲双十一新视频！！！,2021-10-23 07:14:40,5,0
[doge]成，看见有我的机型，我就舒心了,2021-07-03 19:49:21,5,0
UP主推荐的都是以视频为主，且轻便为主的选择，如果只是想简单的拍拍照片，个人感觉在同价位没几个适合的。,2021-06-17 14:51:20,10,0
进来看100的[脱单doge],2021-06-15 12:38:32,5,0
"up主您好，我因为手机掉河里了，急于使用手机又怕家里人说我，就买了900块钱的红米9a，拍照效果太差了，完全不能满足我的日常拍照，所以能不能推荐便宜一些的，二手的也行
预算:2000以内
对象:主照片，晚霞，花，风景，如果可以的话20米左右拍鸟或者小动物（我老家这边好多好看的鸟，但是一靠近就跑了，所以得放大一点[笑哭]）
麻烦up主了[笑哭]",2022-07-30 16:21:27,15,0
看了极地老师视频，从佳能M100换到了佳能m6mark2，真香[脱单doge],2021-06-15 12:33:19,12,0
g7x3 4500是在哪里买的 现在不都是6000起步吗,2021-11-19 08:57:39,9,0
还有20多天双十一  开始催更doge,2021-10-16 16:21:09,4,0
up能出一期摄影指南吗？新手刚入坑,2021-07-04 04:06:29,8,0
想咨询一下各位 买个相机来记录生活 偶尔帮朋友拍些还不错的照片 女孩子嘛 喜欢拍照自拍 然后偶尔想拍vlog记录一些旅游的过程 不是很追求专业 镜头啥的没有入的打算 不能太重 揣不动 哈哈哈哈,2021-06-28 06:23:19,4,0
婚礼化妆师想入手一台相机，主要是拍人的妆面和整体造型，大佬们能不能推荐一下1000到3000左右价位的相机哇？相机最好能小巧便携一点，性价比高的，而且操作不要太复杂，我笨真玩不懂[大哭]感谢大佬们[藏狐],2021-06-25 06:38:21,8,0
松下lx10 和 索尼ZV1  [大哭] 不知道选哪个，我犹豫了,2021-06-23 01:04:35,4,0
胶片机推荐一个佳能eos100qd 价格很香 自动测光自动对焦可换镜头 可连拍 快门最快可以到1/4000，操作也很简单 且够用 很适合有佳能想要玩胶片的孩子 干活也不是不行 而且耐造 因为便宜嘛 做工是不用考虑的 93推出的机器 做工无限接近数码单反时代的佳能 电池也很好买,2021-06-17 09:07:58,8,0
"视频里的极地：我用松下gh5基本上都不调色的
视频剪辑课里的极地：今天我们学习调色的素材是由松下gh5拍摄的[妙啊]",2021-06-16 10:27:33,9,0
6000买m6 mark2 7999买尼康z5 主要人像 视频可能后期加一点 怎么选啊,2021-06-15 13:24:28,4,0
点进这个视频只是好奇100预算究竟是个什么玩意儿的我[doge],2021-06-15 12:36:29,4,0
学生党 预算四千五以内 喜欢拍拍云和天空之类的 偶尔也会拍拍人吧 什么相机和镜头配置比较好呢[脸红],2022-02-17 12:28:04,4,0
a6300yyds  [doge],2021-06-15 23:27:07,8,0
12:15,2022-01-22 04:08:23,8,0
大学就种草了M10,2022-01-21 13:04:10,3,0
请问你是哪款相机呀,2023-02-14 02:51:48,0,0
回复 @不够の : 那时候用的索尼6400，现在用的a7r4,2023-02-14 03:26:28,0,0
超级小白，求推荐5000左右的相机，只用来拍照，感谢！！,2021-10-02 15:09:12,1,0
回复 @A-Breakdown :5000相机加镜头还是单相机？要全新还是可以接受二手？,2021-10-03 14:08:25,0,0
老乡啊[喜极而泣],2021-10-17 13:11:28,0,0
建议换个手机，我现在用的iqoo系列拍照很好,2023-03-19 16:20:44,0,0
我没有单反没有发言权，我只有个大疆Osmo Action，个人感觉，便携，方便，拿出来就能拍，有防抖，对我这种新手简直不要太友好，而且我都是录的4K60帧（可以看我的vlog😂），不过晚上光线暗的时候就有点拉了，预算充足可以考虑索尼A6400了这种的了，因为白色好看😂只是个人感觉，仅供参考,2021-06-28 15:50:20,6,0
回复 @SixMA :这个阔以拍照不[惊喜]我不是很懂这些,2021-06-29 03:12:45,0,0
不知道你预算多少，感觉富士很适合你，相机小巧好看，自带滤镜，拍视频相片都可以。索尼不适合轻度爱好者，照片、视频很吃后期调色,2021-07-07 14:24:40,3,0
索尼a6000,2021-07-02 10:04:01,0,0
别买a6000！！你会后悔的！！盲入a6300就对了！,2021-07-05 15:46:38,1,0
回复 @小凤小凤Chefy :为什么啊,2022-02-17 02:01:09,0,0
入哪个了 好不好用[藏狐],2021-08-30 11:50:46,0,0
宝，入手哪一个了，好用吗,2022-04-14 13:31:12,0,0
哈哈哈哈 为了讲课 我可以打自己的脸,2021-06-16 11:19:28,1,0
回复 @极地手记 :所以你不懂我想催更视频剪辑课2.0吗[妙啊],2021-06-16 11:20:41,0,0
我最后选了Z5,2021-06-15 13:35:52,1,0
回复 @RR喵帕斯 :好的 选择尼康我们就是兄弟,2021-06-15 13:47:55,1,0
这还用选[吃瓜]肯定z5,2021-07-03 01:04:09,0,0
同问，蹲蹲蹲[脱单doge],2022-02-27 07:08:07,0,0
蹲蹲蹲,2022-03-06 02:18:27,0,0
蹲蹲,2022-03-27 04:21:53,1,0
确实 6300再战五年[doge][doge],2021-06-16 01:01:32,0,0
6300用过一段时间，拍4k 不错，但是照片涂抹感人和续航。。。,2021-06-28 04:26:44,0,0
a73m怎么样?,2021-08-02 05:31:20,0,0
