评论,时间,点赞数,标签
每次都是激情拍摄[保卫萝卜_哇],2023-03-07 06:37:29,6,0
你喜欢麻园诗人 你喜欢摄影我们都是好朋友捏[doge],2023-03-06 07:09:30,16,0
昨天刚拍,2023-03-07 05:36:56,3,0
前两天刚入坑，买了个二手索尼套机镜头拍的，当时没发现镜头脏了[笑哭]上面有好几个小点可惜了，现在弄干净了。,2023-03-06 12:51:10,10,0
初学者拍的,2023-03-21 02:13:20,1,0
"大爷~[脸红]
奶奶！[嗑瓜子][脱单doge]",2023-03-07 12:01:33,2,0
只觉得缺了些什么,2023-03-06 23:28:59,2,0
是这样的，[doge]和做题是一个道理，如果你不会然后基于自己的理解去嘎嘎刷题，那么错误和正确都非常鲜明，再看答案的学习效率会非常高。,2023-03-06 12:44:35,8,0
摄影主要是快乐🙂,2023-03-07 05:06:37,3,0
手机拍的[脱单doge],2023-03-09 11:39:16,1,0
手机拍摄[doge],2023-03-09 10:44:00,1,0
摄影，凭感觉来就好了啊[向晚_微笑],2023-03-09 09:38:40,1,0
我参数乱调，我高对比战士，我不会构图，啊总之还没开始学，对摄影的要求还停留在给爸妈拍照不手抖……,2023-03-08 12:42:01,1,0
第一次拿相机拍人 主要也是室友人美 很喜欢,2023-03-08 11:11:54,1,0
上个月才到手的60D[微笑]，拿起相机，将看到的好风景定格到小小的屏幕里是我最开心的时刻[大笑]啊对还有调色[大笑],2023-03-13 15:27:02,1,0
浅浅的讲一下个人的摄影经历和对摄影技术还有照片审美的看法 自己从高中玩摄影一直到现在工作有七八年的时间 一开始摄影也up说的一样用m拍的多 自己后来发现m档不是效率最高的那一个（因为在学生时代经常承担各种活动的记录者） 但是弄明白了光圈 快门 iso 三者的关系 对于一张照片好与坏有很多的看法 我对一张照片能否被人记住成为最重要的指标既摄影师是否能通过照片来讲故事,2023-03-12 18:08:46,1,0
帮俺看看？[热词系列_肥肠自信],2023-03-11 05:28:43,1,0
前天刚去的动物园,2023-03-08 11:58:12,1,0
学校拍的，没咋学，全凭感觉,2023-03-25 10:39:12,0,0
我感觉我应该不算小白了吧[脱单doge],2023-03-25 03:23:04,0,0
你这第一张是不是快门太慢手了[doge],2023-03-07 15:48:25,0,0
没有实像。,2023-03-23 17:36:14,0,0
第一张…只能说挺少见的，初看很抓眼很有意思，可惜全虚化了没有,2023-03-23 17:36:00,0,0
陪爸妈去乡下随手拍的 人很少,2023-03-10 17:29:03,0,0
好干净！,2023-03-07 06:42:19,0,0
回复 @IAMDart零虚 :没细看，确实如你所说[OK],2023-03-07 04:04:24,1,0
回复 @人类行为首席研究员 :这很明显是明度噪声占大头，彩噪很少了。不过白日照度那么大有这么多散粒噪声的确很奇怪，合理怀疑一下是后期加的,2023-03-07 03:47:04,0,0
后期一下，把脏点拉掉,2023-03-06 17:06:12,0,0
缺少视觉中心，或者说兴趣点。照片可以没有主体，但是得建立在足够吸引人的情况下（也就是兴趣点）。如果画面各种元素均很常见，画面就会显得很平。什么叫做不常见呢，就是陌生感，可以是很抽象的，如一种独有的美感，可以是很具体的，如航拍的大俯角视角、如超广角（超长焦）带来的强烈的桶形畸变（枕形畸变）等等等等,2023-03-07 03:51:46,3,0
回复 @IAMDart零虚 :谢谢你的用心回复，听懂了，以后有时间专门去了解关于构图的这些知识吧，作为一个兴趣,2023-03-21 16:15:42,0,0
如果你不上手去做，那你永远都是纸上谈兵，甚至无可谈。,2023-03-06 12:45:51,0,0
方便问一下什么相机吗[给心心],2023-03-14 18:01:26,0,0
第一张好好看,2023-03-14 18:01:04,0,0
