评论,时间,点赞数,标签
求下这个支架,2023-03-11 02:57:14,0,0
R50有没有机顶闪？如果没有，干脆取消EVF再便宜点就更好了。另外，手机也能多张合成。,2023-03-10 18:12:54,0,0
现在已经上市了吗,2023-03-11 00:41:13,0,0
用的啥镜头,2023-03-10 16:39:40,0,0
RF镜头少，有什么解决的办法吗？,2023-03-10 13:10:30,0,0
up请问一下，新手直接买官网的套机组合吗，还是说只买机身另外买其他镜头，准备用来拍人像为主,2023-03-12 02:43:57,0,0
"Upup, M50二代和R50哪个更合适，纯小白",2023-03-11 03:30:21,0,0
卧槽比80d便宜，性能比80d高,2023-03-12 01:30:13,0,0
麻烦问下手持支架什么款式的，哪里有买,2023-03-18 14:37:35,0,0
想要～[罗小黑战记_哇],2023-03-18 18:18:11,0,0
这个币是投给你对象的 [doge],2023-03-18 14:10:53,0,0
抢不到呀,2023-03-17 02:33:15,0,0
为什么我的是4K 25p而你的是4K 30p捏？,2023-03-17 07:02:08,0,0
哈哈哈哈哈哈,2023-03-10 10:04:13,1,0
重庆嬢嬢？还是四川？听说凶的批爆[doge],2023-03-10 22:55:00,1,0
你谁啊,2023-03-10 11:12:34,0,0
真不错,2023-03-15 05:13:56,0,0
松下的GX9如何,2023-03-10 11:40:32,0,0
[星星眼]@晓晓晓东弟弟,2023-03-10 10:15:17,0,0
可以问一下么，[奶油兔_点个赞]本体加上套机镜头大概多沉呀？,2023-03-10 14:22:37,0,0
dji的 具体型号我也不知道 很久了,2023-03-11 07:26:55,0,0
有机顶闪,2023-03-10 23:33:24,0,0
有机顶但是热靴没通用触点[doge],2023-03-14 02:23:35,0,0
是的,2023-03-11 01:35:17,0,0
回复 @席泽霖 :up请问一下哪里购入比较快，官网没货，jdtb都是不知名小店预售，而且自营也没货[惊讶][惊讶][灵魂出窍],2023-03-11 09:40:20,1,0
人像是rf35 1.8,2023-03-10 23:33:05,0,0
转接,2023-03-11 07:05:28,0,0
回复 @席泽霖 :那如果拍远景呢,2023-03-20 16:19:14,0,0
回复 @花若满枝 :好的谢谢,2023-03-12 10:24:52,0,0
回复 @席泽霖 :好的谢谢up,2023-03-12 10:24:46,0,0
r50更好一点,2023-03-11 07:26:28,0,0
毕竟时代在发展,2023-03-12 03:41:46,0,0
女朋友好可爱！,2023-03-10 10:05:10,0,0
反正是川东那边的嬢嬢[doge],2023-03-11 08:21:34,0,0
[笑哭],2023-03-10 12:04:22,0,0
入门的话还是选对焦好一点的吧，松下gx9这对焦不大行。,2023-03-10 12:12:05,0,0
回复 @席泽霖 :gx9不是对焦有问题，是追焦差了点,2023-03-10 15:05:33,0,0
我不要，我要你用尼康给我拍出比佳能更好的人像,2023-03-10 10:48:25,0,0
[笑哭]尼康忠实粉,2023-03-10 10:53:04,0,0
回复 @晓晓晓东弟弟 :哈哈哈,2023-03-10 12:10:57,0,0
机身329g，rf-s 18-45套机镜头130g，一共459g。,2023-03-10 23:55:31,0,0
回复 @席泽霖 :好，谢谢你(°∀°)ﾉ,2023-03-11 10:02:05,0,0
