评论,时间,点赞数,标签
我是徒步登山的驴友，用的是富士套头（xt20+xc1650），再加一个国产手动超广星空头，机身加两个镜头连1kg都不到。而且富士的直出效果好，可以在旅途中不修图，直接相机WiFi传到手机就能发票圈。准备再去买一个影石go2当运动相机。对于我们这种玩家来说，体积重量太重要了，节省下来的空间负重多带瓶水都是很有意义的,2021-05-24 08:47:36,33,0
"我发布了一篇笔记，快来看看吧
如何选择相机  需要的知识  相机种类：单反：目镜，所见不是所得/重/镜头多，实惠，续航优，                   微单：目镜，所见就是所得...
https://www.bilibili.com/h5/note-app/view?cvid=14157603&pagefrom=comment",2021-11-25 08:35:00,16,0
"尼康D7500报道，目前还有四个镜头适马17-70三代，原厂35 1.8g，图丽11-20，腾龙70-300vc，讲讲我自己选择的理由，1.明确自己主要是拍照片，所以视频功能对我来说不重要2.想拍摄的题材很多，风光，人像，打鸟，射月，扫街。所以镜头焦段要全。3.相机加镜头还有配件一共预算1万以内。所以基本排除了全画幅。把镜头的价格考虑进去。4.自己要学后期，所以raw格式比直出效果更重要。因此宽容度，低感，高感各方面都要还可以。
最终倾向于索尼尼康佳能三个品牌，看了一下索尼微单的镜头贵，系统操作差。排除了，佳能的宽容度不好，微单镜头群超预算。单反只有90d比较喜欢，但是超预算。最终在尼康7200和7500中选择。7500虽然低感画质略低于7200，但是机身性能各方面更好。而且符合预算。最终确定了7500",2021-05-15 03:39:41,13,0
谢谢你泰罗,2021-05-13 08:51:28,31,0
@hcherishf,2022-10-22 05:15:28,1,0
最后对相机品牌比如成学生的形容很形象,2021-05-13 09:33:04,12,0
关于无反和单反的特点我想补充一下：up说无反目镜里看到的已经是拍摄出来的样子了，其实这个不一定。目镜里看到的确实不是真实世界，但现在的相机镜头都是电脑控制的，在取景的时候，一般会把光圈始终开到最大，当你按下快门的瞬间，光圈才会被缩小至你设定的，或电脑给你设定的大小。所以目镜能够中看到的与实际拍摄的照片还是不一样的，另外如果你用的是智能场景模式，你拍出的照片还会被优化一下，这个跟目镜里看到的取景时的图片差异就更大。关于单反，还要纠正一个说法：up说单反目镜里看到的和拍出来的照片是完全不同的，这个无法避免（然后弹幕就开始说单反劝退新手）。其实不对，这个是【可以避免的】，单反在打开显示屏取景的时候，反光镜是完全抬起来的，注意是抬起来就不放下了，这时候它使用主传感器取景，说白了，现在它就是一台无反相机！原理一模一样的。如果你是新手，那就不要用目镜，直接看显示屏就可以了。,2021-05-14 18:18:08,28,0
"不知道现在留言还能不能被翻到[喜极而泣]
老师您好，我是一个新手小白，没有理论基础，就是想出去玩拍拍照发发朋友圈，记录生活，如果有录像功能最好，偏于“学姐”型，要求不是很高，想要入一款“傻瓜相机”，不用麻烦调参，操作的，便携一点最好。
双十一准备入手，目前预算4-6k，意向佳能m50和索尼6400，希望可以给出建议[呲牙]谢谢",2021-10-23 04:07:18,11,0
"泰罗好 各位网友好
我差不多是学姐和学弟，现在考虑佳能200d Mark2和 富士st200，我应该选择哪个呢？还是这价位有更好的选择？😅 我觉得我目前后期能力不太行 如果购买st200 直出样张比较好看，但是我想可以慢慢学 如果我选择富士 开始学习点后期，如何？请大家给点意见 谢谢了[呲牙]",2021-05-15 13:02:28,10,0
我是大二学生，是一个完全的小白。平时其实摄影的机会不多但自己特别想学习一下，目前基础知识也不多，主要用手机拍照。现在想买一款入门级别的相机，主要拍照（人和风景），不怎么拍视频。目前看到的是佳能的M50，M6以及索尼的a6400，尼康的不太了解（如果老师有好的尼康机器一定要推荐呀！）。想向老师请教一下，谢谢！！！,2021-05-25 11:05:37,26,0
"泰罗老师，大家，我打算买一台佳能90d，是买那个18-200的套头，一镜走天下还是买什么或者哪些镜头好呢？我知道套头应该不是很好吧，但实在不懂。
要拍人像，街景，暑假也打算旅游，所以还要拍风光。大家能给我推荐一下镜头吗？谢谢！[脸红]还是现在退款还来得及？！",2022-06-09 13:39:47,5,0
"UP主你好，这边我想咨询一下相机的选购，本人是一名高中生（男），主要想拍摄校园风景；
目前本人的水平是手机摄影有一年，最近摸出了家里十年前的三星卡片机在乱拍；
想入手一台微单，半画幅，宽容度中等稍微偏上的相机；
并且最好能大一点，显得比较帅；
品牌方面个人不是特别了解，不是索尼就行（看评测感觉屏幕色差和菜单是真的劝退）
另外，目前想法是直接使用套机镜头，并不打算额外购买镜头，所以如果是好的相机而镜头不够大，可以通过加装配件解决的话，希望UP主多给给建议",2021-05-30 01:26:52,25,0
高考完买了A6400和两个适马定焦头，平时出去带两个头。适马镜头挺不错的，f1.4，价格两千出头；A6400屏幕确实烂，也没有防抖，但我现在操作起来也很顺手。我觉得几款新手常买的微单没有太大区别，虽然各有一些小毛病，但像索尼屏幕这种小问题其实不会太影响使用，但要注意A6400不要配手动镜头，不容易看清楚对焦点。,2021-05-13 11:36:42,29,0
"三连才对得起这么用心的视频。[热词系列_三连]
要不是房东不同意，我都想卖房充电了[热词系列_秀]",2021-05-13 09:14:27,7,0
R5飘过[呲牙],2021-05-13 09:07:34,7,0
新手.预算3000左右，想入手一款微单相机，主要想拍照片，人+风景。看上了一款佳能的m200，不知道具体怎么样，还有没有更好的推荐.求解（｡ӧ◡ӧ｡）,2021-05-27 10:07:11,24,0
已买6300,2021-05-13 08:52:40,6,0
"2017年上高中的时候想要买一台单反拍拍照，那时候在贴吧上看了很多写佳能70d的，看完就出不来了[辣眼睛]准备入手之前问了一个前辈他说80d都出了买70d不如80d[笑哭]没有对比就直接买了。到现在图片一般都是直出，后期没太研究过，之前没太高要求就一直觉得还好现在就真体会到“单反无后期，不如用手机”[捂脸]
现在街上都是微单，作为女生着实羡慕了，出门玩耍带单反确实是觉得有点不方便；去年入了一个小痰盂轻便了不少，带出门的频率也越来越高了。如果再给我一次机会我一定会选微单的[大哭]
看到泰罗的视频又头开始系统的学习摄影知识、后期处理，真的大有收获，谢谢泰罗老师！[给心心]",2021-05-14 16:27:29,24,0
