评论,时间,点赞数,标签
"https://b23.tv/BV13G4y1N7xz 
b站就有自己在公园瞎飞遇到人打下来还去骂人，后来被网友骂的剪辑了视频，但就是不承认错误",2023-03-09 11:20:27,11,0
只要不是被人用远程武器打下来的，那无人机主一定全责，不用想,2023-03-09 13:51:59,1,0
无人机穿越机有什么区别，还是说是一个东西两种叫法。,2023-03-09 08:30:59,1,0
空载4kg以上多旋翼无人机才需要驾驶证。而且4kg以下，120米以下活动的无人机，在非禁飞区是不用申请空域。目前明文规定禁飞区有机场、军政单位、战略要地和看守所监狱等范围，其中其中机场和军政单位是有电子围栏的。大部分穿越机都是250克以下，属玩具类别，不存在黑不黑飞这一说法，难道你们玩遥控车也需要驾照吗？,2023-03-09 16:35:42,1,0
确实是这样，一般穿越机是不能够在有人的地方低空飞行，伤到人就惨了。[doge][doge][doge],2023-03-08 10:13:00,16,0
科普一下，没有明确说明禁飞区就没有违法，小于250克飞行器不用报备，视频其实啥都没交代不要被误导，正确的处理方式是沟通，砸了就得赔。,2023-03-09 13:45:55,1,0
之前在部队旁边当地的在我们训练场地玩遥控飞机，战斗力类型的整天飞，真害怕哪天砸头上直接就G了，还好哪天没人直接扎地上起火烧了，大块人心,2023-03-09 13:43:25,1,0
欢迎自驾来新疆飞，飞久了还能定居,2023-03-09 10:46:44,1,0
低飞确定危险，,2023-03-08 09:50:05,4,0
飞这么低脑袋怕不是有啥问题,2023-03-08 11:50:28,15,0
有一说一[藏狐]这个镜头吓我一跳,2023-03-09 09:47:09,1,0
拍得对,2023-03-24 12:07:31,0,0
装药多少？,2023-03-24 10:12:35,0,0
首先确定，人多的地方飞不应该，但是视频中调头地点离飞手很近，速度并不快，很可能处于落地过程中，并且调头时视频后边明显有一大片空地没有人，是不是飞机在空地玩的，回来被人拍地上了？？？,2023-03-21 08:16:41,0,0
就不应该低空多,2023-03-17 11:19:34,0,0
这位飞友，感谢你对全面禁飞做出的贡献[辣眼睛],2023-03-13 12:18:20,0,0
打的好啊,2023-03-11 04:35:00,0,0
"精准打击，打的好。
在公园这种人较多的地方玩无人机真是莼莼的脑蛋",2023-03-09 15:46:21,0,0
这玩意打到人 高低得整个大口子,2023-03-09 09:58:14,5,0
如果换成一条狗不知道是什么节奏,2023-03-09 15:33:25,0,0
"https://b23.tv/BV19v4y1e7wG  
 那个视频被删了，估计是怕了，但是嘴很硬，死不承认。",2023-03-09 12:43:36,0,0
以前我天天骂他，现在被他拉黑了,2023-03-09 14:46:52,0,0
视频还改过一次,2023-03-09 14:47:10,0,0
穿越机速度很快，嗖嗖的,2023-03-09 08:44:42,0,0
穿越机是无人机的下属分类，普通消费者一般用的无人机可以分为玩具无人机、穿越机和航拍机。玩具无人机大部分就是极其便宜的，飞不高飞不快不能离开操作员太远而且录像拍照功能很差；穿越机一般是速度极快动力很强灵活性极佳的机型，录像功能一般较差，是追求刺激、动感的机型，因为动力非常强螺旋桨转速很高速度很快而且一般没有主动避障的功能，所以危险性也是最大的；航拍机就是拍照录像功能很强，追求稳定性和续航能力的机型，动力弱于同尺寸的穿越机，一般使用大直径螺旋桨所以转速慢，危险性小一些。而且由于不追求极致机动性，所以桨叶前段也有一部分是软橡胶的进一步降低可能造成的伤害,2023-03-10 13:50:45,0,0
五寸的都大于250克，两寸或者三寸差不多吧,2023-03-24 12:18:03,0,0
部队旁边不都是禁飞区吗,2023-03-09 14:12:55,0,0
太低了……人也多在这玩这点都不安全,2023-03-09 09:47:25,0,0
記得只要支付最多5000元就可以隨便在這裡飛吧？有錢人還是禁不了的,2023-03-14 23:38:36,0,0
