评论,时间,点赞数,标签
分别是400mm 800mm的镜头，就手机那数码变焦我还真不信不用算法,2023-03-16 04:53:48,0,0
[doge]苹果拍的，感觉还行,2023-03-16 00:40:50,0,0
华为就有 之前看过一个视频就有拍水中倒影的月亮 然后出来个贼拉圆的月球照片[doge],2023-03-15 10:42:32,10,0
三星倒退了！看我的三星note10+[doge],2023-03-16 10:32:15,0,0
果子14pm拍的,2023-03-15 19:15:19,0,0
华为拍的,2023-03-15 22:53:48,0,0
这个我熟,2023-03-15 15:48:27,0,0
华为当年也是这样做的,2023-03-24 14:02:18,0,0
"学 华为 学 小米
这就是现实",2023-03-23 03:03:49,0,0
至少人家的相机三个镜头都能用不像一些国内爱国品牌镜头是摆设,2023-03-23 10:57:27,0,0
为啥那么多刷华为，我用的就是啊，拍出来就是一团光啊,2023-03-22 01:38:18,0,0
华为:只要你的脑袋足够光滑锃亮照样能帮你自拍出理想中的月亮[doge],2023-03-18 07:26:39,0,0
符合西八的特质,2023-03-16 10:31:55,0,0
Vivo表示内行,2023-03-16 10:57:15,0,0
我红米note8Pro用专业模式也能拍的较清晰,2023-03-16 10:53:06,0,0
华为不也一样吗,2023-03-16 08:31:26,0,0
[思考],2023-03-16 04:18:03,0,0
安卓机的几乎全是这样,2023-03-16 08:44:52,0,0
肯定是小米工程师偷偷潜入干的坏事！大家跟我一起抵制小米！[打call][打call][打call],2023-03-15 18:17:54,8,0
我说么怎么我的相机那么糊，原来是你们有ai修图啊,2023-03-16 10:30:35,0,0
回复 @bili_65317646763 :13年的老相机，1600W像素，现在有些手机拍照直出比我这相机好多了，唯一缺点就是底没我的大,2023-03-16 14:25:34,0,0
你这清晰度跟手机已经不是一个量级了,2023-03-16 09:55:07,0,0
回复 @巴伐利亚的老虎 :不管不管，那也是华为拍的，前面套个哈勃也是华为拍的[doge][doge],2023-03-16 05:06:20,0,0
还是不怎么样的设备哈哈哈,2023-03-16 04:17:52,0,0
这个紫边，外置光学设备了吧,2023-03-16 01:37:55,0,0
密码正确,2023-03-16 00:27:12,0,0
