评论,时间,点赞数,标签
再见了并没有完全再见[doge],2023-03-02 03:31:03,13,0
我是学生，包邮送我[doge],2023-03-24 09:48:41,1,0
刚想入手台rx1r所以希望你快点出视频吧[呲牙],2023-03-02 10:57:40,3,0
省流：芸留给我了[给心心],2023-03-02 07:16:12,2,0
有推荐rf系统转接ef镜头吗，rf的头实在太贵了[酸了],2023-03-02 15:16:05,2,0
这么多镜头按全新算总价估计超过百万了[doge],2023-03-02 03:33:18,5,0
佳能的50.2真是痛。重量比50.2Gm重了200g，是个伪内对焦，对焦速度和静音效果线性都没GM好，价格还贵了大概3000多。但是做为佳能主机的用户实际上并没有得选择，毕竟gm装不到r6上。,2023-03-02 04:23:41,3,0
世界疑问，顾俊哪来的这么多钱[doge],2023-03-02 03:37:04,4,0
我怀疑他在炫富，但我没有证据。唉不对啊，他一桌子都是💲💲,2023-03-02 05:04:07,3,0
"钱包表示，买不起，买不起，看看就好。
虽然恰恰同学没有展示过人家的镜头墙。
但是我还是认为澳洲三杰器材最多是他。
索尼顾俊最多跟大马老师挣第二多器材。",2023-03-02 04:41:30,2,0
顾老师退网的话，可以把相机99元特价出我们吧，当作粉丝福利呗！,2023-03-20 08:49:49,1,0
[doge]想知道顾老师到底是做什么工作的，有时间话可以拍一个工作vlog吗,2023-03-02 03:53:15,3,0
这个时长真的吓到我了[doge],2023-03-02 08:21:45,3,0
省流：破产，所有相机镜头都抽掉,2023-03-02 04:39:23,3,0
建议做个视频，将顾俊瞎比买买前，此视频，瞎比买买后 连在一起,2023-03-02 03:45:48,13,0
"sony卡口全福镜头整理：

17-28 F2.8 A046
24-70 GM2
70-200 GM2
200-600 G

14 F1.8 GM
20 F1.4 DGDN
20 F1.8 G
24 F1.4 GM
35 1.4 GM
35 F1.8 
50 F1.2 GM
85 F1.4 DGDN
85 F1.8
100 F2.8 GM
135 F1.8 GM",2023-03-02 18:06:55,3,0
顾老师，有个疑问，你已经有了85 1.4 为什么还要保留85 1.8，类似这样的参数规格不太亮眼的老镜头不趁早出掉呢，镜头随着时间也会贬值的吧[喜极而泣],2023-03-02 04:18:50,5,0
省流：你真的需要,2023-03-05 03:15:27,1,0
上百个镜头，只有一个尼康[脸红],2023-03-05 01:20:15,1,0
其他up都是借镜头评测，或者评测完就退货，顾老师是都买下来，实力太强了,2023-03-04 22:30:03,1,0
快跑,2023-03-11 13:11:40,0,0
别买，毛病太多了。,2023-03-04 02:54:49,0,0
既然都转接ef了，按着红圈大小三元买呗，和e口副厂差不多一个价位。1635 2.8三代，6000左右；1635 f4轻不少，3000左右，性价比神头；720 2.8二代，比三代划算，内变焦，画质和rf差不多，就是大…还有适马一堆ef定焦都很能打，35 40 50,2023-03-02 15:29:45,2,0
回复 @煮月饼 :ef转接的对焦都没问题。成像特色差异大，适马50是特别锐，红圈ef50 1.2是很油润，需要实物试试喜欢哪个风格,2023-03-03 12:09:29,1,0
回复 @lanedeer :阿里嘎多美羊羊桑！,2023-03-04 01:49:06,0,0
回复 @Amoy哈哈哈哈 :如果是全新的首发肯定有百万，二手的没有的,2023-03-17 02:24:23,0,0
回复 @Amoy哈哈哈哈 :二手不至于，毕竟没有特别贵的，二手不用交税,2023-03-02 04:39:37,0,0
按照二手算也过百万了,2023-03-02 03:48:42,0,0
我给的,2023-03-02 17:22:12,0,0
澳洲收入,2023-03-02 05:05:09,0,0
婚纱摄影，看工作流程就看金叔的呗，他们都是在澳洲工作，职业也都一样,2023-03-03 03:14:57,0,0
[妙啊]不是所有人都是需要卖二手的,2023-03-02 04:40:11,7,0
回复 @旺喵星人 : 是我格局小了哈哈[脱单doge],2023-03-02 04:40:58,2,0
镜头不一定会贬值[doge]，我手里好几个镜头都升值了,2023-03-02 10:51:35,1,0
